正股,長江實業(集團)有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,29.5798,20.1487,20.9999,31.4324,27.0918
21/01/2021,29.0043,17.7399,20.2440,31.2213,26.9003
20/01/2021,29.6531,19.0277,20.2085,31.1979,26.8855
19/01/2021,28.9271,18.0966,20.4842,31.1105,26.8794
18/01/2021,29.4173,16.3248,19.8557,30.9801,26.8094
15/01/2021,28.5438,20.8755,20.4730,30.9793,26.8506
14/01/2021,29.7623,22.2340,21.6143,30.9283,26.7953
13/01/2021,30.5494,20.3053,21.3230,30.7573,26.6946
12/01/2021,30.3268,20.6482,22.1903,30.8238,26.6772
11/01/2021,30.6244,20.6421,21.7182,30.8553,26.6221
08/01/2021,29.1354,18.8493,21.5513,30.8352,26.5576
07/01/2021,30.4790,18.8128,22.2116,30.8420,26.5553
06/01/2021,29.5554,25.2814,21.7370,30.7268,26.5037
05/01/2021,30.0068,26.0159,21.7600,30.7990,26.5775
04/01/2021,28.8658,26.0228,22.4492,30.8451,26.5621
31/12/2020,27.5751,21.7666,20.7026,30.3742,26.2040
30/12/2020,27.5670,20.2647,20.3162,30.2054,26.1016
29/12/2020,28.1431,23.5411,25.2183,30.2123,26.3751
28/12/2020,29.4515,24.1440,25.7445,30.1982,26.4089
24/12/2020,27.8677,21.9604,25.6115,30.0818,26.2901
23/12/2020,27.9790,20.8842,25.9078,30.0494,26.2675
22/12/2020,28.5408,18.8965,29.5388,29.9916,26.2178
21/12/2020,27.8397,14.8576,29.3259,29.4435,25.8077
18/12/2020,25.6368,15.5060,29.9993,29.3917,26.0997
17/12/2020,25.9664,15.2924,30.9603,29.8505,26.4506
16/12/2020,26.1383,16.6001,39.5051,30.1124,26.4469
15/12/2020,26.8901,22.1427,39.5436,30.1112,26.6929
14/12/2020,26.2691,19.1858,39.3610,29.7984,26.3960
11/12/2020,26.6702,21.2312,39.0879,29.7216,26.3599
10/12/2020,27.8129,21.2527,39.0156,29.7415,26.7041
09/12/2020,26.6696,21.1419,39.0440,29.7869,26.7181
08/12/2020,27.3402,23.9119,39.2375,29.8091,26.7110
07/12/2020,27.6524,24.1058,39.1842,29.8028,26.7597
04/12/2020,27.8165,23.2253,38.7355,29.6899,26.6455
03/12/2020,28.7419,25.1675,38.8040,29.7957,26.6986
02/12/2020,29.9312,23.9745,38.1367,29.5864,26.5879
01/12/2020,31.0410,18.9724,37.9361,29.1982,26.3091
30/11/2020,31.9317,33.1720,37.7966,29.1690,26.3011
27/11/2020,31.5200,30.9933,37.0598,28.7630,26.0849
26/11/2020,32.7479,30.5011,37.2565,28.8146,26.0620
25/11/2020,33.3853,32.6808,37.4477,28.8030,26.0628
24/11/2020,33.3373,38.9798,37.3304,28.6045,25.9060
23/11/2020,34.3873,39.8839,37.3569,28.7028,25.9145
20/11/2020,34.0138,42.6943,37.4401,28.7907,25.9624
19/11/2020,34.9604,43.5629,36.7537,28.4030,25.8554
18/11/2020,35.0717,57.7193,36.7536,28.4532,25.8707
17/11/2020,38.3049,57.6975,36.6375,28.4659,26.0989
16/11/2020,36.2539,55.1997,34.2383,27.1067,24.8409
13/11/2020,34.6692,55.2010,34.0651,26.9462,24.7716
12/11/2020,34.3048,55.2589,34.0254,26.8353,24.9257
11/11/2020,35.0985,53.2779,33.4466,26.6248,25.6107
10/11/2020,30.7742,51.2150,30.7194,24.6507,24.2980
09/11/2020,29.5184,50.3020,30.0611,23.9657,24.3410
06/11/2020,29.6749,47.4886,29.2503,24.1366,24.1253
05/11/2020,31.7703,43.7297,29.1048,24.1705,23.8317
04/11/2020,24.4919,17.3225,16.2229,16.5250,19.1868
03/11/2020,24.6083,17.7228,16.3643,17.0923,19.1917
02/11/2020,24.1096,11.5437,14.2846,15.9382,18.5327
30/10/2020,22.9301,11.0647,13.7281,15.7303,18.4730
29/10/2020,22.3147,11.1390,13.6879,16.6137,18.3842
