正股,中電控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,15.5991,11.2581,14.1341,14.1262,14.3664
21/01/2021,15.8244,10.6101,13.9211,14.0305,14.3044
20/01/2021,15.8123,11.1977,13.7759,14.1190,14.4998
19/01/2021,15.7688,11.4898,13.7765,14.2705,14.5391
18/01/2021,15.3571,10.2660,13.4722,14.2044,14.4228
15/01/2021,14.2496,14.6062,13.5699,14.2565,14.4235
14/01/2021,15.1666,14.4621,13.6693,14.0805,14.3246
13/01/2021,15.7838,15.0985,13.5630,14.0375,14.3187
12/01/2021,15.6491,15.1154,13.5784,14.0588,14.3631
11/01/2021,17.2347,15.1907,13.5783,14.2998,14.3631
08/01/2021,16.7684,14.7308,13.5085,14.2601,14.3884
07/01/2021,13.9426,14.8724,13.4099,14.1938,14.3772
06/01/2021,13.8563,13.8539,13.6871,14.4734,14.3002
05/01/2021,14.4335,16.7206,13.7213,14.4285,14.3060
04/01/2021,14.0723,19.9122,13.7196,14.5773,14.2807
31/12/2020,14.0439,18.4108,12.4809,14.2991,13.9692
30/12/2020,13.6578,17.3109,12.2056,14.1616,13.8876
29/12/2020,13.7342,17.1164,11.7476,14.2594,14.1970
28/12/2020,13.9960,17.1372,11.7441,14.2524,14.2233
24/12/2020,13.6133,17.0063,11.6071,14.5492,14.2055
23/12/2020,13.8580,17.0359,12.4654,14.7539,14.2598
22/12/2020,13.5788,16.4586,15.9195,15.3360,14.2627
21/12/2020,13.5727,16.4005,15.9654,15.5392,14.3121
18/12/2020,11.3867,13.6222,15.1698,15.1618,14.1374
17/12/2020,11.0527,5.4565,13.4156,14.5306,13.8002
16/12/2020,11.2085,5.4372,13.5077,14.4998,13.7778
15/12/2020,11.1585,6.1404,13.3867,14.4935,13.8155
14/12/2020,11.9971,6.8148,14.1987,14.4700,13.8080
11/12/2020,10.0193,6.8064,14.1916,14.4924,13.8087
10/12/2020,11.4269,6.9476,14.2950,14.5434,13.8067
09/12/2020,11.8921,6.9430,14.3161,14.5437,13.9049
08/12/2020,11.6115,6.9826,14.3157,14.5431,14.0789
07/12/2020,12.1226,10.6008,14.6389,14.9098,14.1217
04/12/2020,12.5060,10.7889,14.9551,14.9719,14.1135
03/12/2020,12.7473,10.9131,15.1188,14.9666,14.1183
02/12/2020,13.0904,10.7817,15.1373,14.9335,14.0939
01/12/2020,13.5450,9.2832,14.7138,14.7520,13.9345
30/11/2020,13.8325,9.0843,14.7267,14.7908,13.9331
27/11/2020,13.9085,9.3708,14.7538,14.8482,14.0385
26/11/2020,14.1500,9.3594,15.2179,14.8475,14.1609
25/11/2020,14.3742,12.3290,15.2041,14.9169,14.2804
24/11/2020,14.5767,21.7480,15.1646,14.9462,14.2754
23/11/2020,13.9816,20.9627,15.4481,14.6893,14.1124
20/11/2020,14.1377,20.5989,15.3357,14.6834,14.0544
19/11/2020,14.1695,20.3515,15.6232,14.6638,14.2124
18/11/2020,13.8599,20.4798,16.0854,14.7507,14.2112
17/11/2020,14.7139,20.1744,16.0414,14.7490,14.3514
16/11/2020,15.3735,21.3097,16.4622,15.3642,14.5205
13/11/2020,14.8018,21.4684,16.4550,15.4011,14.5122
12/11/2020,15.4313,21.9098,17.1032,15.4228,14.9419
11/11/2020,14.7444,19.4224,16.7482,15.1100,14.6835
10/11/2020,13.6044,10.6019,14.9539,13.4993,13.5355
09/11/2020,14.6565,11.6931,15.3407,13.5511,13.9008
06/11/2020,14.5224,12.8174,15.4058,13.7243,13.9504
05/11/2020,15.2056,13.6469,15.7744,14.0796,14.0172
04/11/2020,14.5469,13.5005,15.6598,14.0215,14.0349
03/11/2020,15.7125,13.4996,15.7530,14.1276,14.0730
02/11/2020,15.2458,9.9827,14.9117,13.7221,14.2629
30/10/2020,16.5760,9.9974,14.9767,13.7275,14.7439
29/10/2020,15.7415,11.1607,14.9904,13.6767,14.7373
