正股,香港中華煤氣有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,15.4224,11.6641,12.6188,13.8286,14.2228
21/01/2021,15.3383,12.0868,12.6991,14.1342,14.2667
20/01/2021,14.3400,9.7113,12.0068,13.9076,14.1332
19/01/2021,13.8474,9.5851,11.8423,13.9105,14.5967
18/01/2021,13.4610,11.8439,11.6880,13.8680,14.6817
15/01/2021,13.2285,13.8955,11.8564,13.9717,14.6821
14/01/2021,13.9453,13.9503,11.9348,13.9568,14.6724
13/01/2021,14.6810,17.2939,12.1046,14.2564,14.6725
12/01/2021,14.8081,16.4401,12.3091,14.2633,14.5582
11/01/2021,15.6427,16.2848,12.6084,14.6092,14.6887
08/01/2021,15.2261,15.6430,12.9844,14.6884,14.7422
07/01/2021,14.7998,15.6245,13.1237,14.6750,14.8375
06/01/2021,14.8037,14.2174,12.8523,14.5427,14.7180
05/01/2021,13.5456,12.5957,12.4423,14.3093,14.7825
04/01/2021,15.4683,12.2309,11.9653,14.5447,14.6573
31/12/2020,15.2679,11.1997,11.4561,14.6128,14.6325
30/12/2020,14.7475,10.7494,12.0346,14.6253,14.8424
29/12/2020,14.6821,10.0399,10.6737,14.2077,14.6935
28/12/2020,15.0235,9.8709,10.7295,14.2056,14.6960
24/12/2020,14.4954,8.8653,10.5527,14.2560,14.9865
23/12/2020,14.8727,8.7079,10.7385,14.4958,15.0603
22/12/2020,15.4378,9.0376,14.9584,14.8634,15.1075
21/12/2020,14.5801,9.1588,15.2466,14.8650,15.1553
18/12/2020,11.8386,9.7983,15.2121,14.8853,15.8710
17/12/2020,13.2200,9.7901,15.2644,15.0818,15.9087
16/12/2020,12.0960,10.6116,15.3883,15.2016,15.9099
15/12/2020,13.3091,11.0192,15.4487,15.2440,15.9931
14/12/2020,13.2622,8.2939,14.7173,14.8018,15.7624
11/12/2020,12.1380,10.0034,14.7173,14.8479,15.7943
10/12/2020,12.5719,11.4657,14.6618,14.9029,15.8042
09/12/2020,13.5584,12.8295,14.7108,14.9446,15.8047
08/12/2020,13.7953,13.3752,15.4074,15.0111,15.7990
07/12/2020,14.7918,13.8870,15.4196,15.0447,16.1985
04/12/2020,14.5652,13.1848,15.3609,15.6919,16.0960
03/12/2020,14.9110,13.3281,15.2281,15.7675,16.0829
02/12/2020,15.7320,12.7927,15.5339,15.7792,16.1925
01/12/2020,15.6414,14.4272,15.5255,15.7835,16.3433
30/11/2020,14.9189,13.9739,15.6469,15.6703,16.2759
27/11/2020,15.2408,12.2947,15.4355,15.3755,16.2161
26/11/2020,15.5884,11.7194,16.2243,15.5679,16.1839
25/11/2020,15.8266,9.6763,15.7792,15.3998,16.0419
24/11/2020,15.8707,19.2247,15.7435,15.4854,16.0434
23/11/2020,15.9898,19.5165,15.8450,15.5330,16.0277
20/11/2020,16.0053,19.0642,15.7547,15.8386,16.1242
19/11/2020,15.9664,17.9306,16.4614,15.7549,16.1851
18/11/2020,16.4091,17.1036,16.6317,15.8032,16.3942
17/11/2020,17.5897,16.9547,16.4762,15.9634,16.3075
16/11/2020,18.4866,16.0600,16.3801,16.1396,16.5000
13/11/2020,16.5976,16.4246,16.3999,16.1484,16.4930
12/11/2020,18.3169,16.1310,16.5036,16.5810,16.7055
11/11/2020,18.2278,17.1220,17.0609,16.6399,16.7989
10/11/2020,15.2200,12.3486,14.7816,15.2520,15.7764
09/11/2020,14.9246,11.5295,14.6595,15.2299,15.7396
06/11/2020,14.7431,12.7708,14.7553,16.3042,15.7386
05/11/2020,13.2816,12.5545,15.1577,16.3453,15.6944
04/11/2020,14.7996,13.2214,15.2543,16.2923,15.6936
03/11/2020,15.8731,12.9485,15.2348,16.3819,15.7340
02/11/2020,16.1605,13.8946,14.8573,16.3073,15.7918
30/10/2020,16.5980,14.9550,14.9103,16.3455,15.9265
29/10/2020,17.4958,16.7700,15.1550,16.3960,15.9341
