正股,九龍倉集團有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,23.6954,31.0315,30.2981,32.6961,30.1082
21/01/2021,25.0381,32.8651,29.5332,32.1879,29.7052
20/01/2021,25.4367,34.0774,29.4953,32.0695,29.6152
19/01/2021,26.7332,34.1427,29.4021,32.0854,29.6137
18/01/2021,23.7372,27.8043,28.7201,31.6615,29.8194
15/01/2021,24.3448,29.7953,28.3239,31.4160,29.6567
14/01/2021,23.1564,34.2766,26.7322,30.5512,28.9220
13/01/2021,23.1283,34.0317,27.8397,30.0276,28.5883
12/01/2021,24.1801,34.3109,27.8259,30.0281,28.6129
11/01/2021,24.5478,34.3710,27.7530,30.2789,28.7044
08/01/2021,24.2335,35.3484,27.8258,30.3074,28.7656
07/01/2021,23.7104,32.6488,29.9109,30.0410,28.6102
06/01/2021,23.9814,31.0280,29.1487,29.5657,28.3581
05/01/2021,25.3097,29.4928,28.3525,29.1560,28.1115
04/01/2021,23.6454,36.6648,28.3990,29.1560,28.0980
31/12/2020,23.6382,30.2660,26.5827,28.1154,28.2225
30/12/2020,22.9205,26.0779,25.2824,27.4405,27.7520
29/12/2020,25.2990,21.8739,24.5780,27.4318,27.5179
28/12/2020,24.7649,21.8671,24.7936,27.4800,27.5292
24/12/2020,26.1068,22.8770,24.7605,27.5421,27.7631
23/12/2020,26.9646,22.6710,25.6482,27.8631,27.7915
22/12/2020,27.8938,22.8254,25.7409,27.9043,27.8594
21/12/2020,27.7267,23.6560,34.1304,27.9437,27.8464
18/12/2020,24.6680,23.3989,34.9520,28.1605,27.8451
17/12/2020,24.2419,13.6684,33.5464,27.4288,27.2384
16/12/2020,26.3677,14.4039,33.4965,27.6253,27.3272
15/12/2020,28.6125,16.8719,33.8431,28.0478,27.3484
14/12/2020,27.7320,26.2485,33.8253,28.0367,27.3484
11/12/2020,29.5263,26.1582,33.8755,28.6857,27.5379
10/12/2020,29.8984,25.7084,33.9426,29.3461,31.0754
09/12/2020,32.0509,25.9112,34.0348,29.3832,31.1897
08/12/2020,32.7661,33.4761,34.0730,29.4543,31.2028
07/12/2020,28.3895,32.5435,33.7746,29.3025,31.1225
04/12/2020,30.0698,32.5583,33.6799,29.2836,31.1043
03/12/2020,27.8397,32.0071,33.6249,30.0274,30.9978
02/12/2020,24.4273,33.6593,33.7615,30.2133,31.0766
01/12/2020,25.3281,32.9047,34.1186,30.0939,32.4364
30/11/2020,24.3920,26.7462,31.9082,29.0051,34.1146
27/11/2020,25.2088,27.3983,31.8523,29.0353,34.5737
26/11/2020,26.5759,27.1493,32.5704,29.2484,34.6296
25/11/2020,27.5344,30.4354,32.7124,29.3593,34.6761
24/11/2020,23.1278,21.5294,30.5859,28.1698,33.9659
23/11/2020,23.0304,45.8380,30.4656,28.2029,33.9156
20/11/2020,21.8693,48.0365,30.4227,28.2182,33.9117
19/11/2020,21.6143,48.5952,30.3667,28.1524,33.8924
18/11/2020,22.0097,47.1605,30.0206,29.2059,33.7801
17/11/2020,26.0406,46.5948,29.8513,29.1108,34.0282
16/11/2020,24.2941,46.2988,30.4447,29.0398,34.0411
13/11/2020,24.8559,45.6985,30.3311,28.9915,34.0169
12/11/2020,25.1381,46.9248,30.4922,29.3214,35.4726
11/11/2020,25.1229,44.7692,30.1353,29.0118,35.4126
10/11/2020,25.8822,44.7714,30.2259,29.0708,35.5334
09/11/2020,25.3832,21.9304,20.2512,24.1423,33.3013
06/11/2020,25.8754,16.8113,19.5941,23.6989,33.2154
05/11/2020,23.5868,15.4911,19.8214,23.6996,33.0516
04/11/2020,28.7211,16.9522,20.2956,23.8539,33.3357
03/11/2020,29.2831,17.4447,20.7920,23.5373,33.8424
02/11/2020,28.4015,16.6746,20.6286,23.4696,33.7818
30/10/2020,29.0938,16.6856,22.6037,23.7531,33.8155
29/10/2020,30.0397,18.4675,24.4066,29.7465,35.3644
