正股,匯豐控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,33.8170,33.2190,29.0398,35.7401,38.3696
21/01/2021,35.0959,29.9072,27.9205,36.0933,38.0631
20/01/2021,34.6657,35.3533,29.2857,36.9060,37.9422
19/01/2021,34.3346,36.7247,29.6265,37.1218,37.9050
18/01/2021,34.1737,32.6206,27.0874,36.3813,37.3590
15/01/2021,31.6286,30.2694,27.1203,35.9656,37.1786
14/01/2021,32.1699,30.0755,29.0348,35.9850,37.2414
13/01/2021,32.5133,30.1119,29.2758,36.1998,37.2527
12/01/2021,35.5886,28.4432,29.2892,36.0167,37.2406
11/01/2021,36.0428,28.9159,29.2539,36.4157,37.2896
08/01/2021,35.1474,27.5539,29.2261,37.0609,37.2630
07/01/2021,35.7542,27.3401,34.4614,37.0609,37.3844
06/01/2021,34.9221,19.1711,32.1574,36.1380,36.8814
05/01/2021,32.1425,24.1864,30.8968,35.6444,36.5764
04/01/2021,32.8358,24.7028,30.8479,35.6110,36.5930
31/12/2020,31.9133,25.3448,30.7622,35.6098,36.5693
30/12/2020,33.4224,25.6122,30.7623,35.6145,36.5701
29/12/2020,33.8029,25.2443,30.8357,36.3325,36.6621
28/12/2020,33.9357,24.8052,32.9115,36.4116,36.6629
24/12/2020,32.8684,24.8061,34.1534,36.9471,36.7111
23/12/2020,32.5954,23.1568,34.6815,40.7665,36.6599
22/12/2020,33.9576,24.1080,36.6013,40.9654,36.8369
21/12/2020,33.5580,28.8952,42.9520,41.0014,36.8817
18/12/2020,28.6239,23.5632,40.7347,39.8455,36.9893
17/12/2020,30.7115,24.1824,40.4280,40.0302,37.1868
16/12/2020,31.1389,26.5585,40.4327,41.9345,37.1840
15/12/2020,32.5945,32.8758,40.4791,41.9363,37.3881
14/12/2020,32.8520,33.1917,40.7877,42.3655,37.4371
11/12/2020,31.6572,33.5559,40.7235,42.3938,37.4190
10/12/2020,33.7783,33.4312,40.7307,42.3808,37.4014
09/12/2020,32.7457,33.5849,41.1035,42.3983,38.2624
08/12/2020,33.9880,46.9566,42.9576,42.4230,38.4152
07/12/2020,32.3035,40.9989,42.4304,41.6456,37.8604
04/12/2020,32.1769,37.7964,41.9573,41.4376,37.9089
03/12/2020,31.6086,38.7394,41.9707,41.4317,38.0209
02/12/2020,31.8957,38.7493,41.8739,41.3634,38.0415
01/12/2020,30.2496,35.5869,41.3532,40.9261,37.6990
30/11/2020,32.4395,34.4652,41.0534,40.8111,37.6327
27/11/2020,32.1247,36.5900,40.4902,40.7876,37.8154
26/11/2020,31.4501,41.8850,41.3869,40.8648,38.0136
25/11/2020,34.4071,44.2556,42.7843,40.8375,38.0232
24/11/2020,32.8220,36.9201,39.6897,39.0449,36.5533
23/11/2020,32.4944,52.4580,39.7477,39.2835,36.5185
20/11/2020,32.4855,52.6089,39.7644,39.3443,36.5026
19/11/2020,33.5831,51.7974,39.7547,39.3807,36.5407
18/11/2020,33.3763,51.0647,39.7238,39.3803,36.7335
17/11/2020,36.6377,50.9544,39.6747,39.3758,36.8847
16/11/2020,37.1508,51.4587,40.7286,39.4902,36.8397
13/11/2020,35.1697,49.8054,39.7886,38.6577,36.9377
12/11/2020,34.5179,45.1881,39.5719,38.2046,36.7189
11/11/2020,34.8544,42.3823,44.9979,37.8588,37.4053
10/11/2020,34.4150,47.9612,44.6779,37.2595,36.7912
09/11/2020,32.1182,36.5742,39.6067,33.5672,34.6585
06/11/2020,32.4550,38.3884,39.6259,34.9726,34.6579
05/11/2020,32.1674,38.3030,40.2800,35.3548,34.6672
04/11/2020,35.3802,38.3065,43.8665,35.3412,34.6369
03/11/2020,35.7448,38.5644,43.8595,35.6223,34.6868
02/11/2020,36.7216,37.8076,43.9273,35.1673,34.4721
30/10/2020,36.1554,37.0844,43.5825,34.9172,34.3585
29/10/2020,35.9042,39.0694,43.5653,34.9392,34.3787
