正股,電能實業有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,18.4251,9.6727,12.5997,14.0875,13.2902
21/01/2021,18.7043,9.7585,12.5918,14.1717,13.2844
20/01/2021,18.7834,10.0524,13.1659,14.2631,13.4311
19/01/2021,18.6626,12.6342,14.2206,14.2533,13.4102
18/01/2021,17.4665,8.4085,13.5686,13.9846,13.1743
15/01/2021,17.1434,13.2933,13.6105,14.1706,13.2850
14/01/2021,16.9771,13.1866,13.9573,14.1164,13.2543
13/01/2021,17.8068,15.5510,13.9797,14.1164,14.1563
12/01/2021,18.4931,15.6990,14.2844,14.1186,14.1627
11/01/2021,19.1906,16.7347,14.2480,14.4708,14.1685
08/01/2021,18.7461,16.4273,14.1294,14.4271,14.1409
07/01/2021,18.5684,16.1738,14.1052,14.4075,14.1730
06/01/2021,18.4125,15.6628,14.6793,14.6563,14.1466
05/01/2021,17.2264,12.9771,14.0060,14.3789,14.0284
04/01/2021,17.1956,12.7100,14.0627,14.4381,14.1421
31/12/2020,17.8630,12.3806,13.5418,14.0881,13.9404
30/12/2020,17.6294,12.5954,13.5745,14.1906,13.9557
29/12/2020,17.7796,12.6748,12.9267,14.0629,13.9659
28/12/2020,17.5361,13.0957,12.8821,14.0472,13.9554
24/12/2020,17.1528,11.4005,12.3408,14.1034,13.8881
23/12/2020,17.1005,10.9010,12.8697,14.1850,13.9184
22/12/2020,17.4012,9.9572,14.8443,14.0884,14.0320
21/12/2020,17.2078,12.7291,15.3940,14.1274,14.0314
18/12/2020,14.5682,15.1786,15.2887,14.0911,14.2999
17/12/2020,14.9152,15.0979,15.2881,14.1020,14.3546
16/12/2020,14.9143,15.0012,15.6307,14.0434,14.3245
15/12/2020,15.4753,15.7404,15.4561,13.9285,14.2433
14/12/2020,15.6138,14.9171,15.5311,13.7980,14.3678
11/12/2020,15.5314,15.4647,15.6635,13.7707,14.3409
10/12/2020,15.8003,15.2567,15.5655,13.7596,14.4418
09/12/2020,15.8480,15.0359,15.6294,13.7211,14.4138
08/12/2020,16.2039,14.9907,15.8102,13.7097,14.5249
07/12/2020,15.6235,15.6586,15.4782,13.6060,14.3324
04/12/2020,15.3903,13.0498,14.5228,13.0956,14.0698
03/12/2020,15.9888,13.1419,14.5881,13.0888,14.0684
02/12/2020,16.2458,13.6984,14.9394,13.2310,14.2636
01/12/2020,16.3571,11.9467,14.4851,12.9595,14.1110
30/11/2020,16.8533,12.1131,14.4781,14.2871,14.1106
27/11/2020,16.8557,11.1223,14.1937,14.1834,14.0839
26/11/2020,16.9897,11.1091,14.9269,14.2002,14.1390
25/11/2020,16.8989,13.5928,14.9485,14.2002,14.1700
24/11/2020,17.1689,19.2487,14.9346,14.2683,14.1658
23/11/2020,17.3634,18.7756,14.8143,13.8274,13.9033
20/11/2020,16.9251,18.4712,14.8747,13.9365,13.8542
19/11/2020,17.2653,18.3345,14.9381,14.1294,13.8441
18/11/2020,16.8877,18.3802,14.8438,14.2015,13.7869
17/11/2020,17.7125,18.3878,15.0124,14.1990,13.8294
16/11/2020,18.0768,18.9376,15.3276,14.5153,13.8474
13/11/2020,17.8284,20.0229,15.3278,14.5308,13.8549
12/11/2020,18.3294,20.0229,15.8708,14.6768,13.9958
11/11/2020,18.9153,17.7175,15.5120,14.5170,14.1272
10/11/2020,15.9739,14.2435,13.5444,13.7282,13.4276
09/11/2020,16.2271,13.0384,12.9371,13.3787,14.6900
06/11/2020,16.2161,12.9321,13.0133,13.8808,14.8712
05/11/2020,15.4605,13.1954,13.0384,13.9784,15.0123
04/11/2020,16.5340,11.7708,12.2955,13.6760,14.8119
03/11/2020,18.1406,11.4719,12.2507,13.6581,14.8853
02/11/2020,18.8333,8.0636,11.5111,13.6484,14.7659
30/10/2020,18.8636,7.9447,11.4364,13.5646,14.8353
29/10/2020,18.8386,9.9893,11.5294,13.7817,14.8353
