正股,恒生銀行有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.4601,19.3871,21.5093,23.8314,25.3675
21/01/2021,25.5165,19.8804,20.7035,23.6236,25.1531
20/01/2021,25.8254,29.4694,20.2927,23.6209,25.1139
19/01/2021,25.6606,27.8411,19.7790,25.6220,24.9877
18/01/2021,25.1606,27.3895,19.4582,25.5131,24.9706
15/01/2021,23.7208,26.9609,19.0601,25.2729,24.8898
14/01/2021,24.1467,27.5794,19.4345,25.2547,24.9543
13/01/2021,25.2292,27.4129,20.0200,25.2550,24.9542
12/01/2021,25.6659,26.6640,20.8088,25.1969,24.9939
11/01/2021,25.5577,26.5046,20.8242,25.8361,25.0443
08/01/2021,25.6298,24.0249,20.4714,25.8008,25.0785
07/01/2021,25.6935,24.3836,21.6461,25.6257,25.3316
06/01/2021,23.7779,14.7650,17.4766,24.0234,24.2811
05/01/2021,22.3560,17.2378,17.4997,24.0952,24.3790
04/01/2021,22.9736,19.2664,17.5303,24.3578,24.3489
31/12/2020,21.8414,13.6968,16.8922,24.0227,24.1391
30/12/2020,21.6690,13.5268,16.7816,24.0028,24.1245
29/12/2020,21.8807,12.5268,16.7024,23.9913,24.1682
28/12/2020,21.6493,12.4325,16.7748,24.0441,24.1700
24/12/2020,21.1905,12.2252,17.1699,25.0902,24.1963
23/12/2020,21.2205,11.0651,19.2312,26.1803,24.2239
22/12/2020,22.2173,11.9440,20.5548,26.2120,24.2234
21/12/2020,21.9386,11.7491,23.7693,26.7887,24.2773
18/12/2020,19.6100,11.0176,23.3599,26.8245,25.5697
17/12/2020,20.1904,7.4388,22.7149,26.7319,25.5414
16/12/2020,20.7171,8.4187,22.6323,27.0516,25.5224
15/12/2020,21.3847,11.2157,23.3707,27.0628,25.6338
14/12/2020,21.3700,13.9394,24.5109,27.1640,25.6331
11/12/2020,20.9558,16.9565,25.2327,27.2218,25.6095
10/12/2020,21.5605,16.8889,25.7293,27.2497,25.6061
09/12/2020,22.0673,16.8201,26.1974,27.2604,26.1159
08/12/2020,22.8193,23.0178,26.5648,27.2695,26.2750
07/12/2020,23.3917,22.8885,26.7603,27.3661,26.2592
04/12/2020,22.5106,23.0379,30.4976,27.3749,26.2493
03/12/2020,22.9541,23.3665,30.3730,27.4646,26.2632
02/12/2020,23.1544,24.4404,30.3546,27.4932,26.3585
01/12/2020,23.5156,23.4706,30.2259,27.4265,26.5140
30/11/2020,24.2944,22.1159,29.7121,27.2418,26.4150
27/11/2020,24.1233,18.2936,28.8892,27.0092,26.3618
26/11/2020,24.3060,20.7530,30.1717,27.0733,26.3784
25/11/2020,25.0283,27.1461,30.4318,27.2447,26.4160
24/11/2020,22.1158,25.0871,29.4217,27.1372,25.9160
23/11/2020,22.5299,32.5078,29.3722,27.1871,25.8842
20/11/2020,22.4154,32.3744,29.4213,27.3106,25.8851
19/11/2020,22.6876,31.7217,29.8116,27.2624,25.8574
18/11/2020,22.7458,31.0057,29.6232,27.1776,25.6768
17/11/2020,24.3771,32.9123,29.6828,27.1929,25.7792
16/11/2020,24.8701,34.9282,29.5880,27.2758,25.8580
13/11/2020,24.1668,36.4211,29.6395,27.2561,25.8766
12/11/2020,23.8408,36.3299,31.1362,27.1654,25.9150
11/11/2020,22.9290,32.1847,30.9746,26.4459,25.6955
10/11/2020,23.0594,32.7184,30.5286,26.0131,25.3720
09/11/2020,21.8739,26.9561,29.8436,24.6813,24.6600
06/11/2020,22.3973,37.1195,30.2979,26.7587,24.6345
05/11/2020,22.6376,37.1772,30.6032,26.9543,24.8158
04/11/2020,23.7128,37.1794,31.1436,26.9223,24.8715
03/11/2020,24.9889,34.8549,30.6896,26.8172,24.7244
02/11/2020,26.2640,33.4144,29.7669,26.2034,24.2556
30/10/2020,26.7262,31.7902,28.8167,25.6269,23.8476
29/10/2020,25.2478,33.8820,28.7285,25.5107,23.9283
