正股,恒基兆業地產有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.1647,19.2844,18.8661,21.8287,20.6983
21/01/2021,27.4853,18.1304,18.4758,22.0169,20.5740
20/01/2021,27.3808,18.2605,19.2648,22.5964,20.5860
19/01/2021,27.1737,18.4820,19.2500,22.6221,20.5683
18/01/2021,23.1595,17.5122,17.5057,21.8799,20.0195
15/01/2021,22.4711,19.5570,17.5518,21.8327,19.9479
14/01/2021,24.1682,19.7037,17.6675,21.8280,20.0295
13/01/2021,24.5629,18.9274,18.5172,21.7702,20.0176
12/01/2021,25.2973,19.2383,18.5966,21.9078,20.3127
11/01/2021,25.9848,19.0237,18.2573,22.1363,20.2627
08/01/2021,24.4642,18.5087,18.4459,22.1093,20.3153
07/01/2021,24.5892,17.3976,20.6687,22.0558,20.3485
06/01/2021,24.9245,18.9194,21.0876,22.2433,20.3550
05/01/2021,23.7710,21.7240,21.0494,22.1836,20.3246
04/01/2021,22.4358,17.4316,19.4494,21.6534,19.9296
31/12/2020,22.1786,14.5772,18.3353,21.2929,19.6938
30/12/2020,21.4560,15.6228,18.3260,21.2767,20.2542
29/12/2020,22.1013,18.8957,19.0628,21.4327,20.3984
28/12/2020,22.7914,17.0517,18.8207,21.8862,20.3193
24/12/2020,22.0042,17.0443,18.8671,22.1716,20.3842
23/12/2020,22.1545,16.9448,19.2443,22.4361,20.4558
22/12/2020,22.9927,17.1816,20.6035,22.4377,20.4530
21/12/2020,22.0145,18.2674,23.3937,22.4523,20.3839
18/12/2020,19.2642,17.5089,22.7760,22.1866,20.5295
17/12/2020,19.8426,17.4528,22.8739,22.3983,20.6792
16/12/2020,21.3266,17.5957,23.6506,22.2564,20.6061
15/12/2020,21.0391,16.8733,24.0785,22.1802,20.6891
14/12/2020,20.7793,16.1290,23.9979,21.6602,20.3126
11/12/2020,19.8386,16.9499,24.0500,21.7165,20.3093
10/12/2020,20.8105,16.9453,24.5459,21.7166,20.6909
09/12/2020,20.6828,17.2918,24.5913,21.7096,20.8369
08/12/2020,21.4068,24.6513,25.3599,21.6867,20.8153
07/12/2020,21.3303,24.1672,25.7595,21.3720,20.5797
04/12/2020,20.9304,24.1593,25.8359,21.3540,20.6217
03/12/2020,21.7347,23.5815,25.5806,21.2776,20.6297
02/12/2020,22.4738,22.6222,25.2689,21.0834,20.5937
01/12/2020,22.7819,22.5235,25.2546,21.1955,20.6696
30/11/2020,22.6431,20.4504,24.2313,20.7576,20.3643
27/11/2020,22.9035,20.4570,24.5898,21.1984,20.7815
26/11/2020,22.6450,21.2036,25.3188,21.2561,20.9961
25/11/2020,23.6574,21.9839,24.9748,21.2328,20.9627
24/11/2020,22.8012,19.6429,23.5402,20.3527,20.3528
23/11/2020,21.9224,26.2031,23.5907,20.1595,20.2313
20/11/2020,22.0078,26.2318,23.4906,20.1331,20.2907
19/11/2020,21.4763,25.9776,23.7670,20.3182,20.3019
18/11/2020,22.5867,26.8763,23.7333,20.4202,20.3379
17/11/2020,25.6478,26.5477,23.7118,21.1986,20.3561
16/11/2020,24.5424,27.8694,23.5342,21.1572,20.2734
13/11/2020,24.8863,28.9447,24.3859,21.1408,20.2467
12/11/2020,24.3789,30.1835,24.8807,21.2012,21.0049
11/11/2020,24.9266,28.0220,24.9682,21.0625,21.5583
10/11/2020,25.1269,30.7380,24.1523,20.5100,21.1776
09/11/2020,22.2229,28.9841,21.8372,18.8991,21.2743
06/11/2020,21.8370,29.0114,21.9637,19.4993,21.2636
05/11/2020,22.0434,28.8953,22.2981,19.6788,21.2866
04/11/2020,22.9974,25.8542,20.9654,18.9872,20.9414
03/11/2020,23.7256,23.4926,20.1233,18.7441,20.7740
02/11/2020,23.6225,16.3616,18.0352,17.6907,20.1618
30/10/2020,23.5409,16.5794,18.0853,17.6846,20.4407
29/10/2020,22.2725,17.2614,17.8307,18.2660,20.6034
