正股,新鴻基地產發展有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,26.4368,18.0184,19.4896,25.2956,21.6575
21/01/2021,27.1024,17.5066,19.5996,25.2571,21.6239
20/01/2021,26.4594,17.5066,19.6962,25.4288,21.6293
19/01/2021,26.0175,14.0378,18.9117,25.1413,21.4732
18/01/2021,23.2069,15.9868,17.4823,24.5845,21.0142
15/01/2021,22.3700,20.7408,17.4828,24.6194,21.0201
14/01/2021,22.8086,20.7102,17.4448,24.6718,21.1182
13/01/2021,23.5144,19.7456,17.4059,24.6824,21.2013
12/01/2021,23.3152,20.4233,18.2139,24.6782,21.1907
11/01/2021,23.8903,23.3273,18.2318,24.7190,21.6006
08/01/2021,23.3632,23.6115,19.1904,24.6903,21.6657
07/01/2021,23.4479,24.4505,19.3181,24.6754,21.7638
06/01/2021,23.7332,25.3081,20.1666,24.6807,21.7716
05/01/2021,24.1560,26.6489,21.5071,24.7333,21.7753
04/01/2021,22.3189,22.7412,19.2985,23.9641,21.1394
31/12/2020,20.9201,13.4764,16.4314,23.0831,20.7000
30/12/2020,21.2294,13.7560,16.2936,23.0445,20.7633
29/12/2020,21.1761,11.4416,17.4051,22.9517,20.6987
28/12/2020,21.0215,11.6664,17.4069,23.1824,20.7018
24/12/2020,20.6802,12.3699,17.0384,23.0050,20.5438
23/12/2020,21.0324,12.6964,17.9978,23.0083,20.5799
22/12/2020,21.6846,15.2259,20.4639,23.0041,20.5987
21/12/2020,21.2479,14.9887,24.7484,22.9585,20.5735
18/12/2020,18.5831,14.1217,28.1096,22.8295,20.7614
17/12/2020,20.5466,12.7349,28.4432,22.8430,21.0578
16/12/2020,21.0001,11.5631,28.4875,22.8945,20.9849
15/12/2020,21.1704,10.9322,28.4307,22.8746,21.1460
14/12/2020,21.2823,8.3457,29.4025,22.7213,21.0328
11/12/2020,20.4235,12.7540,29.8513,22.8400,21.0324
10/12/2020,20.9431,12.5041,29.8501,22.8093,21.2271
09/12/2020,21.1152,16.0716,30.3363,22.8098,21.2525
08/12/2020,21.2578,15.2893,30.2273,22.6791,21.2247
07/12/2020,21.3496,19.0790,30.4563,22.6575,21.3410
04/12/2020,21.0177,22.5303,30.4554,22.7287,21.3525
03/12/2020,21.9573,22.5336,30.3925,22.7022,21.4037
02/12/2020,22.4976,22.5342,30.4520,22.7095,21.4676
01/12/2020,22.4314,22.6768,30.5605,22.8602,21.4771
30/11/2020,23.0055,25.7712,30.6008,22.9741,21.5968
27/11/2020,23.1628,24.0348,30.0698,22.6777,21.5886
26/11/2020,23.4742,24.3084,30.1586,23.2322,21.5798
25/11/2020,23.4259,24.5268,29.3817,22.9514,21.3930
24/11/2020,23.5310,29.0508,29.3188,23.0397,21.4039
23/11/2020,22.7446,36.2566,28.8350,22.6912,21.2678
20/11/2020,22.6074,42.3542,27.8331,22.0769,20.8277
19/11/2020,21.8628,43.1350,27.9690,22.0958,20.8374
18/11/2020,22.9690,43.2033,28.0234,22.4587,20.8460
17/11/2020,24.7459,43.3232,28.0326,22.5605,20.8436
16/11/2020,24.2154,44.4970,27.4096,22.1565,20.7921
13/11/2020,23.9308,45.7383,27.7000,22.1559,20.8393
12/11/2020,23.7543,45.1852,27.6702,22.0841,21.5542
11/11/2020,25.4716,42.7070,26.7378,21.6337,21.8220
10/11/2020,23.1336,41.5063,25.4253,20.7707,21.1970
09/11/2020,19.6876,35.6795,21.4417,18.3567,20.0623
06/11/2020,20.1197,23.7420,16.2297,16.1183,18.4857
05/11/2020,19.9950,22.6230,15.8922,16.4614,18.4192
04/11/2020,20.0020,22.4972,15.8751,16.2877,18.3271
03/11/2020,21.1403,22.9679,15.9366,16.6475,18.4361
02/11/2020,19.6044,16.7680,12.8968,15.4220,17.6785
30/10/2020,20.9442,14.6175,12.7452,15.0775,17.7678
29/10/2020,20.7130,14.6259,12.5691,15.5012,18.1140
