正股,新世界發展有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,26.6945,15.3182,16.5334,26.4028,24.6931
21/01/2021,27.1833,13.7125,16.5716,26.4525,24.6386
20/01/2021,26.3644,14.6228,16.3935,26.4425,24.6157
19/01/2021,26.1723,14.9194,17.0665,26.4609,24.6280
18/01/2021,22.8961,9.7564,17.4916,26.0563,24.3275
15/01/2021,22.0465,14.2663,19.1882,26.0981,24.3406
14/01/2021,22.8658,14.6120,19.1741,26.0977,24.5545
13/01/2021,23.6134,13.3836,19.0045,26.0401,24.5181
12/01/2021,24.2020,13.8709,23.7764,26.0095,24.5010
11/01/2021,24.2788,13.8725,24.2900,26.0885,24.5200
08/01/2021,23.7437,13.6788,24.3801,26.0802,24.5731
07/01/2021,23.3962,14.1984,25.2997,26.0766,24.7423
06/01/2021,23.9238,15.6598,26.2236,26.1700,24.8539
05/01/2021,23.5664,20.1430,26.2113,26.4054,24.8560
04/01/2021,23.4526,20.6705,26.3136,26.3953,24.8350
31/12/2020,22.2886,17.7609,25.4627,26.5972,24.6487
30/12/2020,22.0622,18.8298,25.4568,26.8024,24.7267
29/12/2020,22.6484,18.4122,26.3525,26.7750,24.9264
28/12/2020,22.4708,20.1197,26.3821,27.0002,24.9168
24/12/2020,22.1833,19.8592,26.2906,27.0246,24.9220
23/12/2020,22.7012,19.8971,26.7756,27.2272,24.9931
22/12/2020,23.4280,20.3469,28.3364,27.1932,24.9490
21/12/2020,23.1123,19.4367,34.1787,27.2865,24.8391
18/12/2020,21.5580,17.4472,33.6999,26.8374,24.8366
17/12/2020,22.5141,21.3746,33.5366,26.8492,25.0190
16/12/2020,22.9671,24.9776,33.9631,27.5902,24.9899
15/12/2020,22.5146,23.7753,33.9346,27.6828,25.0880
14/12/2020,22.5909,23.6338,34.0141,28.1043,25.0900
11/12/2020,22.1333,32.9178,33.7424,27.9754,24.9163
10/12/2020,22.8497,34.7761,33.8715,28.0635,25.5298
09/12/2020,23.3829,34.8075,33.8061,28.0237,25.5031
08/12/2020,24.3648,36.4563,33.8952,27.9362,25.4487
07/12/2020,24.3560,39.2158,33.9666,27.9610,25.8914
04/12/2020,24.1374,37.3971,33.6447,27.7585,25.7761
03/12/2020,23.9087,36.1091,32.7394,27.2348,25.3730
02/12/2020,23.2322,33.8598,31.6844,26.6109,25.3749
01/12/2020,24.1055,33.8591,31.6749,26.9253,25.3824
30/11/2020,23.6991,36.0639,31.6836,26.9444,25.3829
27/11/2020,25.1956,22.8111,27.3415,24.6563,23.9752
26/11/2020,25.0664,22.0599,27.4180,24.5530,23.9550
25/11/2020,25.2398,24.1778,27.1619,24.5559,23.8929
24/11/2020,24.5761,26.8315,26.6540,24.4470,23.7611
23/11/2020,24.0640,40.6156,26.2238,24.3021,24.0071
20/11/2020,23.1933,41.7146,26.8021,24.3070,24.0616
19/11/2020,22.4921,40.2961,26.5063,24.1442,24.0220
18/11/2020,23.4920,40.6469,27.3798,24.2127,24.2283
17/11/2020,25.2142,40.0698,27.6232,24.3104,24.3977
16/11/2020,25.7449,39.5455,27.0401,24.2900,242.4385
13/11/2020,25.5351,40.0128,27.2155,24.2348,242.4216
12/11/2020,25.4530,40.6828,27.1934,24.2544,242.4332
11/11/2020,26.4429,38.1477,26.8586,23.9437,242.3731
10/11/2020,23.0086,37.7239,25.6492,23.1383,242.3672
09/11/2020,20.8863,18.3860,18.6123,18.8746,242.2331
06/11/2020,20.0509,17.3396,18.1399,19.2935,242.2527
05/11/2020,21.8415,17.3893,18.4806,19.7809,242.2404
04/11/2020,22.5652,13.3958,19.7191,19.3507,242.3367
03/11/2020,23.7572,11.9242,20.0627,19.5485,242.3395
02/11/2020,24.5752,11.1320,20.8693,19.4552,242.3434
30/10/2020,24.9473,10.2446,21.0669,19.3562,242.2972
29/10/2020,24.7129,10.6994,21.2392,20.4698,242.3391
