正股,太古股份有限公司 'A'

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,32.5790,30.3630,25.4309,37.5998,33.0004
21/01/2021,34.0067,19.6437,22.6507,36.7036,32.3962
20/01/2021,33.3694,19.2311,22.9689,36.8250,32.2978
19/01/2021,32.5505,19.1107,23.1161,36.8583,32.6365
18/01/2021,31.2947,22.0975,22.5558,36.9863,32.4737
15/01/2021,29.8314,25.0629,22.3262,36.9539,32.4028
14/01/2021,30.3508,25.6257,22.0342,36.8474,32.5393
13/01/2021,31.2602,25.5233,21.7889,36.7903,32.4664
12/01/2021,31.2619,26.1959,25.2901,36.7172,32.3807
11/01/2021,31.6320,24.6204,24.0500,36.5125,32.0865
08/01/2021,30.1251,23.8636,24.3937,36.5108,32.0742
07/01/2021,30.6129,24.0048,25.6373,36.5135,32.0824
06/01/2021,30.8950,26.1775,26.0732,36.5346,32.1697
05/01/2021,30.8222,31.0709,26.5522,36.5769,32.2064
04/01/2021,29.6738,26.4328,25.1235,36.0661,31.8240
31/12/2020,28.2114,20.0746,22.8293,35.4935,32.4371
30/12/2020,28.4747,20.0318,28.6031,35.5379,32.3914
29/12/2020,28.7687,19.0772,30.5701,35.4876,32.6345
28/12/2020,29.7808,19.4582,30.9492,35.4751,32.6792
24/12/2020,28.9784,20.0080,31.2975,35.4834,32.6817
23/12/2020,29.4296,20.0026,31.4377,35.7388,32.7671
22/12/2020,30.3033,19.0134,40.4761,35.7167,33.1031
21/12/2020,29.8788,19.7279,45.3611,35.6027,33.1895
18/12/2020,27.5941,15.3463,44.6883,35.1380,33.5580
17/12/2020,28.6240,15.8797,44.7769,35.9188,33.6854
16/12/2020,28.9793,14.8120,44.4255,36.1603,33.5926
15/12/2020,30.0723,14.5376,44.4262,36.2419,33.5921
14/12/2020,30.1328,13.0038,45.7369,36.1739,33.6898
11/12/2020,30.0168,26.0018,45.7298,36.2955,33.9879
10/12/2020,31.2344,25.8764,46.5032,36.3269,34.2337
09/12/2020,32.0607,26.1687,47.1170,36.3537,34.3822
08/12/2020,32.4123,30.4138,47.1872,36.3348,34.3778
07/12/2020,33.3029,30.8390,47.1645,36.2021,34.2244
04/12/2020,33.1589,31.8506,47.0809,36.6063,34.2025
03/12/2020,33.5166,32.3236,47.5921,36.5723,34.1859
02/12/2020,33.8371,31.7426,47.6534,36.5546,34.1805
01/12/2020,34.7797,44.8892,47.6359,36.7904,34.3450
30/11/2020,34.1987,48.6489,47.6058,36.8030,34.4358
27/11/2020,34.6278,42.4320,45.2373,35.5845,33.8100
26/11/2020,34.7434,44.0530,45.5261,35.5815,33.8088
25/11/2020,36.1630,43.6083,45.2058,35.4164,33.6939
24/11/2020,35.5603,59.5900,44.8349,35.0423,33.5879
23/11/2020,35.4801,67.4751,44.7448,35.0270,33.5903
20/11/2020,34.1227,66.8424,44.3680,34.8882,33.6521
19/11/2020,33.7501,63.7800,43.8879,34.7922,33.5379
18/11/2020,34.5159,62.6865,43.7670,36.1857,33.6798
17/11/2020,39.2925,59.8366,41.2378,34.3153,32.4132
16/11/2020,37.6046,61.0472,40.0632,33.8701,31.8328
13/11/2020,36.7690,58.5715,39.5687,33.7568,31.7224
12/11/2020,36.8988,59.4956,39.1264,33.5796,31.8968
11/11/2020,37.5100,60.7948,39.1062,33.5948,33.6448
10/11/2020,31.6483,47.8652,30.8256,29.0583,30.3167
09/11/2020,28.8825,33.3646,22.5023,24.9246,27.6497
06/11/2020,28.8421,33.0644,22.2964,26.3047,27.6037
05/11/2020,29.3038,33.9666,24.0647,26.4368,28.5947
04/11/2020,29.9745,33.7048,24.8183,26.3770,28.6258
03/11/2020,31.5124,33.6243,24.8167,26.3343,28.8833
02/11/2020,32.2154,19.3530,19.6649,24.5045,27.6325
30/10/2020,32.2076,18.8338,19.6601,25.2458,27.8163
29/10/2020,31.4439,17.1823,19.4376,25.5455,28.9801
