正股,東亞銀行有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.9589,11.7093,15.0482,22.6796,30.9728
21/01/2021,28.2770,11.6474,15.0224,22.7288,31.1285
20/01/2021,28.3568,11.0781,14.7948,22.9524,31.1203
19/01/2021,28.1199,16.3591,15.0260,22.9428,31.1153
18/01/2021,27.9408,15.1788,14.5795,22.8523,31.0421
15/01/2021,26.2021,13.7990,14.3438,22.7094,31.0806
14/01/2021,24.4765,14.9658,14.9859,22.7080,31.1550
13/01/2021,25.2784,14.9564,16.9787,22.9221,31.1902
12/01/2021,26.1145,14.9997,21.8432,23.1862,31.2134
11/01/2021,26.3524,16.6437,22.0119,23.0683,31.1847
08/01/2021,26.0082,17.4792,22.3764,23.5956,31.1878
07/01/2021,26.0685,17.5035,22.5514,23.5335,31.1761
06/01/2021,26.6909,18.3881,22.5631,23.5618,31.2268
05/01/2021,27.0213,15.1626,21.5777,23.5718,30.9732
04/01/2021,27.3067,17.5921,21.8386,23.5684,31.0065
31/12/2020,26.5828,18.7590,23.0422,23.5617,31.0036
30/12/2020,26.7506,18.3662,23.2701,23.4392,31.1201
29/12/2020,26.9357,18.3003,24.3928,24.1536,31.1237
28/12/2020,27.2288,18.3475,24.7252,24.3456,31.1913
24/12/2020,26.3639,15.4939,24.2054,24.1204,31.0248
23/12/2020,26.0033,15.7913,24.1117,24.0392,31.4481
22/12/2020,26.1909,15.6355,25.3223,24.1214,31.4355
21/12/2020,26.1361,15.3410,26.5754,35.6509,31.4097
18/12/2020,22.3876,14.2802,26.3171,35.6074,31.6192
17/12/2020,23.6080,11.8081,26.1484,35.6707,31.5177
16/12/2020,23.4079,9.2172,25.6935,35.8717,31.4135
15/12/2020,24.2296,12.1100,25.6584,35.9212,31.4139
14/12/2020,24.5685,18.8855,27.0146,36.5912,31.4143
11/12/2020,23.9280,30.3547,27.3325,36.5775,31.4256
10/12/2020,24.7297,31.1905,27.7505,36.5298,31.4240
09/12/2020,25.4568,31.8406,27.7643,36.5485,31.5995
08/12/2020,26.1250,32.1241,27.8203,36.7527,31.7375
07/12/2020,26.9783,32.2492,28.6058,36.7860,31.7626
04/12/2020,27.1565,31.6150,28.2656,36.7351,31.7465
03/12/2020,27.9192,31.8624,28.3166,36.7294,31.8883
02/12/2020,28.7205,32.8201,28.2188,36.8248,31.9191
01/12/2020,29.1017,34.4138,28.0968,36.7847,31.9996
30/11/2020,26.5640,30.4159,26.9103,36.4102,31.7995
27/11/2020,27.7856,24.9145,24.3714,35.1026,31.4516
26/11/2020,28.3651,22.9520,23.8225,35.0253,32.7689
25/11/2020,28.2989,23.1141,24.8790,34.8836,32.6826
24/11/2020,27.5570,26.1172,24.7520,34.7576,32.5980
23/11/2020,28.5810,28.8856,24.7842,34.8216,32.6330
20/11/2020,27.9486,29.9717,25.6278,34.8514,32.6452
19/11/2020,27.8275,30.2923,25.4836,34.7692,32.6120
18/11/2020,26.9055,29.2626,24.4640,34.2710,32.2978
17/11/2020,29.3506,27.2928,23.9903,34.3610,32.3655
16/11/2020,28.8106,29.0672,24.3291,33.8149,32.0327
13/11/2020,28.4473,27.9660,24.3801,33.8335,31.9964
12/11/2020,28.5689,29.8653,24.4274,33.8488,31.9762
11/11/2020,28.9354,29.1917,24.3489,34.5146,32.1622
10/11/2020,26.7011,27.7199,23.2808,33.8489,31.7802
09/11/2020,26.9393,25.5256,42.5301,32.9782,31.5506
06/11/2020,27.6242,24.8660,42.7524,33.4629,31.6206
05/11/2020,27.8617,24.8660,42.9555,33.4927,31.6424
04/11/2020,28.3853,24.4763,43.3813,33.4829,31.6381
03/11/2020,30.7704,24.5109,43.4988,33.4557,31.6507
02/11/2020,31.7241,18.6056,42.8469,32.5528,31.0719
30/10/2020,31.8328,16.9549,41.9536,32.0523,31.0809
29/10/2020,31.0694,16.4325,41.9580,32.1346,31.9832
