正股,銀河娛樂集團有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.7480,39.6952,31.5689,34.1602,32.6613
21/01/2021,35.4487,34.3007,28.8623,32.9776,32.1936
20/01/2021,36.5173,33.8572,28.2228,32.8541,32.0354
19/01/2021,35.7781,31.7547,27.6010,32.6510,31.8742
18/01/2021,37.6751,27.7490,26.8748,33.7516,31.5579
15/01/2021,34.8018,28.6546,27.1610,33.7483,31.8251
14/01/2021,36.6578,29.1304,27.0051,33.6535,32.8147
13/01/2021,37.3864,26.8221,26.2816,32.9221,32.7231
12/01/2021,38.0917,27.0347,29.3035,32.9108,32.7702
11/01/2021,38.0534,27.1650,28.9059,32.7018,32.7848
08/01/2021,35.9342,25.1178,28.1047,32.3079,32.5201
07/01/2021,36.7260,24.5330,27.6335,32.1244,32.4724
06/01/2021,37.0104,30.2712,29.3992,31.9999,32.5240
05/01/2021,36.5495,30.3697,30.8406,32.1199,32.6332
04/01/2021,35.4573,32.7136,30.6959,32.3135,32.8076
31/12/2020,34.7320,32.5289,30.6140,32.4088,32.9919
30/12/2020,34.8258,32.2643,30.4925,32.7764,34.5130
29/12/2020,35.0301,31.7011,29.5648,32.5207,34.3083
28/12/2020,35.4116,30.2168,31.4845,32.4714,34.2425
24/12/2020,33.9388,30.0941,31.1647,32.2686,34.1267
23/12/2020,33.1706,24.9723,29.8385,31.8361,33.8756
22/12/2020,34.2112,24.6923,30.7461,31.8618,33.8827
21/12/2020,33.6961,20.7707,31.8960,31.3633,33.4815
18/12/2020,30.6498,18.6956,35.3429,31.2742,33.4166
17/12/2020,30.6019,19.7192,34.5206,31.6594,34.3726
16/12/2020,31.0428,21.0495,35.5325,33.3028,35.5532
15/12/2020,31.3013,21.0495,35.5810,33.3551,35.5939
14/12/2020,31.8081,20.2731,34.7598,33.3676,35.3300
11/12/2020,30.8171,31.3738,35.1565,33.3090,35.2821
10/12/2020,31.4980,31.1398,36.5370,33.4246,35.3810
09/12/2020,31.7455,30.6552,36.6221,33.4454,35.3858
08/12/2020,31.8437,30.9331,36.8625,33.9665,35.4133
07/12/2020,32.6131,36.6955,37.0565,33.9818,35.4058
04/12/2020,32.7025,40.0788,36.9150,33.9376,35.3503
03/12/2020,33.5544,39.1163,39.0754,33.7786,35.3590
02/12/2020,34.5266,38.6114,39.0343,34.0996,35.3244
01/12/2020,35.4382,38.6992,39.0084,35.5762,35.8541
30/11/2020,35.0022,36.2138,38.6654,35.6992,35.6784
27/11/2020,33.8623,33.7046,35.6124,34.5933,34.9481
26/11/2020,34.8041,34.1628,35.6935,34.7805,34.9371
25/11/2020,34.4248,33.5389,35.7550,34.7370,35.6068
24/11/2020,34.7373,37.0345,35.7838,34.8454,35.8566
23/11/2020,35.7096,37.6407,34.5450,34.2141,35.4512
20/11/2020,33.7783,40.7253,33.1906,33.7431,34.9989
19/11/2020,33.6885,40.8838,33.9730,34.0642,36.3258
18/11/2020,34.0402,41.1095,33.9736,34.3644,36.2965
17/11/2020,35.1000,40.7773,34.5524,36.5657,36.4342
16/11/2020,35.7955,39.9261,34.6970,36.6146,36.6390
13/11/2020,33.7429,38.8135,33.4459,35.7882,36.2290
12/11/2020,35.7783,43.0427,33.2614,35.7638,36.4925
11/11/2020,36.7597,43.7442,33.5279,35.9271,36.4953
10/11/2020,37.0532,41.3266,32.2682,35.4797,36.3179
09/11/2020,35.0999,39.8344,31.1160,34.5103,35.8085
06/11/2020,33.0614,31.4523,27.2126,32.6465,35.2506
05/11/2020,33.4429,39.6282,29.0577,34.5249,35.4898
04/11/2020,34.5386,37.2047,30.9430,35.7597,35.3152
03/11/2020,35.3852,37.0771,30.7637,35.7726,35.2796
02/11/2020,36.0441,36.4102,30.8538,35.6166,35.3208
30/10/2020,36.0184,33.4050,29.0878,35.0689,35.5121
29/10/2020,35.7991,29.8761,28.8573,34.8028,35.6209
