正股,地鐵有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,20.6872,24.7023,20.6456,21.0036,19.9576
21/01/2021,21.5717,22.6545,19.9926,20.6014,19.6274
20/01/2021,20.5734,21.8028,19.8463,20.6654,19.6614
19/01/2021,21.3511,16.8630,18.4628,19.7839,19.0757
18/01/2021,20.6978,18.7382,18.1221,19.6404,18.9552
15/01/2021,19.7935,20.4259,18.4426,19.6890,18.9405
14/01/2021,20.4791,19.5070,18.1112,19.3761,19.0512
13/01/2021,21.2649,19.2826,18.2420,19.3991,19.0809
12/01/2021,21.7982,19.3209,19.1285,19.4975,19.0396
11/01/2021,22.1045,18.3364,19.3116,19.4860,18.9210
08/01/2021,20.9261,16.5857,19.0666,19.2244,18.7989
07/01/2021,21.5747,15.8759,18.9501,19.1608,18.7649
06/01/2021,21.4796,20.8142,19.6457,19.2317,18.7605
05/01/2021,22.1048,20.6138,19.8961,19.2224,18.7732
04/01/2021,21.6850,17.6826,20.2094,19.0686,18.4571
31/12/2020,20.8993,17.3803,19.6548,18.8677,18.4014
30/12/2020,20.9772,16.7786,19.4021,19.2098,18.3019
29/12/2020,20.7131,16.8694,19.5045,19.3571,18.3249
28/12/2020,20.8775,19.8018,19.4930,19.3476,18.3559
24/12/2020,20.3314,21.1692,19.5442,20.2482,18.3597
23/12/2020,20.4926,21.1671,19.5835,20.2840,18.3395
22/12/2020,20.5802,22.1598,23.6279,20.2808,18.3710
21/12/2020,20.4640,17.3554,22.5237,20.2582,17.9797
18/12/2020,19.1236,19.4627,22.5244,20.3128,18.3374
17/12/2020,18.9726,19.7310,22.5501,20.3147,18.3363
16/12/2020,18.4256,19.1096,22.2196,20.0860,18.4590
15/12/2020,18.8160,19.8030,22.2455,20.0255,18.4638
14/12/2020,19.4205,20.2621,22.2358,20.2907,18.4535
11/12/2020,18.3990,20.3234,21.2308,19.8627,18.1711
10/12/2020,18.7058,20.3641,21.3827,19.7305,18.3667
09/12/2020,18.4017,20.9653,21.4247,19.7700,18.3723
08/12/2020,18.6718,19.6657,21.4969,19.6021,18.2412
07/12/2020,18.6365,22.2640,21.7475,19.7320,18.3265
04/12/2020,18.4168,21.6958,21.2747,19.5173,18.3021
03/12/2020,19.4025,24.6310,21.2220,19.5081,18.3182
02/12/2020,19.5902,23.8605,21.1556,19.3199,18.2212
01/12/2020,19.7001,22.6544,20.8671,19.5251,18.0926
30/11/2020,19.5380,22.8689,20.7940,19.5830,18.0590
27/11/2020,20.6795,20.3426,20.0748,19.1540,17.8460
26/11/2020,20.8234,19.0966,19.9622,18.8759,17.6585
25/11/2020,21.0005,18.6448,19.6544,18.8114,17.6315
24/11/2020,20.1945,29.5494,19.6701,18.8029,17.6357
23/11/2020,20.4576,28.6849,19.1430,18.3541,17.3799
20/11/2020,19.9483,27.5675,18.8632,18.2692,17.3339
19/11/2020,19.1811,22.9321,18.0671,17.6951,16.9334
18/11/2020,19.3188,22.9381,18.1787,17.9112,17.0731
17/11/2020,19.8528,22.8260,19.1321,17.8942,17.1342
16/11/2020,20.8643,23.0858,19.4375,17.8671,17.6523
13/11/2020,20.1399,23.3955,19.5009,17.8926,18.0770
12/11/2020,20.5064,24.7078,21.2523,17.8964,18.2699
11/11/2020,20.9628,23.5457,21.2644,17.8551,18.9788
10/11/2020,18.5174,13.3301,16.5514,15.1379,17.2821
09/11/2020,18.6079,13.7686,17.4412,14.9713,18.2544
06/11/2020,18.9685,14.0191,17.5779,15.6538,18.5137
05/11/2020,18.7695,13.7090,17.4054,15.5706,18.8983
04/11/2020,19.8696,13.6181,17.2529,16.1304,18.8495
03/11/2020,21.0646,12.2970,16.8977,16.0538,18.7676
02/11/2020,20.9391,13.5459,17.7625,16.0474,19.3497
30/10/2020,21.9762,14.1456,17.7808,16.0574,19.5658
29/10/2020,21.1874,13.6507,17.8496,16.6016,19.4763
