正股,昆侖能源有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,44.5761,15.7796,41.3985,39.2164,37.1075
21/01/2021,45.8191,28.3157,41.5745,39.2993,37.0447
20/01/2021,46.3189,29.2875,41.1819,39.1552,36.9571
19/01/2021,46.2791,29.6754,41.1298,39.2050,36.9845
18/01/2021,48.4776,30.9234,41.2276,39.3012,37.1240
15/01/2021,47.6532,36.7517,41.2384,39.8869,37.1248
14/01/2021,48.8338,38.8408,41.7410,40.0922,37.1884
13/01/2021,47.7275,38.4647,42.0093,40.1533,37.3446
12/01/2021,46.7215,39.3453,45.4873,40.0880,37.9625
11/01/2021,48.6929,37.2318,45.0758,40.2330,38.1047
08/01/2021,49.9705,38.8738,44.1246,39.8713,37.8487
07/01/2021,48.6530,61.6365,43.0157,39.2686,37.5773
06/01/2021,46.5391,62.7605,43.4853,39.2652,39.8146
05/01/2021,47.2623,62.8886,43.4243,39.8960,41.7147
04/01/2021,46.8338,62.7156,44.2024,39.8603,41.6192
31/12/2020,42.6412,60.7555,43.0795,39.2016,41.1536
30/12/2020,45.2886,59.1330,43.3948,39.1995,41.0631
29/12/2020,45.0100,58.7884,43.4883,39.1995,41.0682
28/12/2020,47.9362,56.8010,43.8410,39.0834,41.0483
24/12/2020,43.8880,55.7503,44.1784,39.0891,41.0488
23/12/2020,43.7078,51.8740,43.1247,38.3285,40.6879
22/12/2020,46.8191,24.7324,31.7661,32.7957,36.9781
21/12/2020,47.7484,22.4433,32.5217,33.0618,37.0662
18/12/2020,46.2193,22.5382,34.9507,32.9130,36.9301
17/12/2020,46.5914,23.0186,34.9322,32.8682,37.1744
16/12/2020,45.9618,19.7464,34.4518,33.3584,37.0825
15/12/2020,44.6384,20.3773,35.1040,33.9215,37.0483
14/12/2020,44.5527,22.8487,36.4722,34.7007,36.9910
11/12/2020,41.4724,34.6871,36.3915,34.7977,37.2915
10/12/2020,40.3215,32.6443,37.4743,34.8166,37.1856
09/12/2020,40.1550,32.6559,37.4624,34.8564,37.1276
08/12/2020,37.2557,33.3429,37.4588,34.6901,37.0493
07/12/2020,38.1591,33.8121,37.4922,34.7197,37.2088
04/12/2020,38.3923,34.0829,37.7265,34.7714,37.2365
03/12/2020,39.5638,35.9264,37.9089,34.9390,37.2844
02/12/2020,41.0169,39.9094,39.0434,34.9390,37.2816
01/12/2020,42.0617,43.0797,39.0727,34.8386,38.2609
30/11/2020,42.1798,40.0757,38.8444,34.6916,38.0828
27/11/2020,43.1212,32.6779,34.6183,33.7773,39.9441
26/11/2020,42.9771,33.5785,35.5137,34.2082,39.9132
25/11/2020,44.5702,34.3827,35.8642,34.3080,39.9146
24/11/2020,43.2708,36.3816,35.8713,34.7030,40.0907
23/11/2020,43.6533,36.2815,35.2070,38.0476,40.7725
20/11/2020,41.8472,41.6455,36.7426,40.9444,40.8053
19/11/2020,41.9466,35.8572,35.3761,40.5530,40.9865
18/11/2020,42.9847,35.3332,35.3846,40.4604,41.4836
17/11/2020,45.3564,35.4418,35.1744,39.9937,41.2065
16/11/2020,45.8452,35.4167,35.0203,39.9785,42.0448
13/11/2020,43.4564,35.7083,34.4335,39.5081,41.7724
12/11/2020,43.1267,39.3038,33.9809,39.4221,43.3053
11/11/2020,43.8346,39.7037,33.5760,39.3632,47.8484
10/11/2020,41.3649,41.9838,34.2608,39.3528,47.6750
09/11/2020,39.2381,40.9328,34.1254,38.9840,47.4231
06/11/2020,37.7050,34.4360,31.0621,37.4241,46.7682
05/11/2020,38.0811,34.9017,31.0964,37.9652,46.9287
04/11/2020,38.2155,38.3794,32.4661,37.9949,46.9165
03/11/2020,42.8993,37.4371,32.4025,37.4254,46.6545
02/11/2020,42.6445,32.7627,32.3489,36.3050,46.1357
30/10/2020,42.0614,32.7160,32.8830,36.9823,46.1346
29/10/2020,42.8758,31.8306,32.1350,36.6764,45.9169
