正股,中國旺旺控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,31.1044,20.6559,27.5250,31.9599,28.2035
21/01/2021,31.8388,22.8116,27.5292,32.3673,28.2173
20/01/2021,32.2586,27.0547,27.3777,32.2189,28.1086
19/01/2021,32.0235,29.0053,27.3703,32.2113,28.1855
18/01/2021,32.4880,43.4758,28.2595,32.2161,28.1903
15/01/2021,30.2642,43.5758,28.2753,32.3028,28.2046
14/01/2021,33.1258,40.5914,26.7216,31.6586,28.0513
13/01/2021,34.6711,41.3806,26.8099,31.7132,28.0458
12/01/2021,35.0458,40.0443,27.5867,32.1585,27.9319
11/01/2021,35.9549,40.0483,27.9057,32.1531,28.0058
08/01/2021,34.6746,39.6596,27.7793,32.1079,28.0529
07/01/2021,34.3148,39.3401,27.7924,31.9960,28.0624
06/01/2021,34.4043,34.4876,25.9347,31.2203,27.6543
05/01/2021,34.3398,29.7252,29.7376,30.5549,27.1882
04/01/2021,32.7032,13.7681,29.4043,28.4570,25.5644
31/12/2020,31.8562,14.7362,32.2436,28.6466,25.5588
30/12/2020,31.2805,15.2375,32.9447,28.6524,25.5853
29/12/2020,30.8754,11.9234,33.0853,28.4969,27.2206
28/12/2020,30.5107,11.7814,33.1052,28.6552,27.2228
24/12/2020,29.2076,18.8189,33.7602,28.6651,27.2509
23/12/2020,29.8895,18.8248,33.8487,28.6447,27.7842
22/12/2020,30.4616,18.2379,34.6678,28.6028,27.7659
21/12/2020,30.0848,19.0537,35.0899,28.6067,27.9648
18/12/2020,26.4519,18.9252,35.8391,28.6583,27.9523
17/12/2020,26.7414,20.7170,35.6484,28.5741,27.9030
16/12/2020,26.2541,20.3701,35.9951,28.8579,27.8761
15/12/2020,27.7246,19.5653,35.9284,28.8413,27.8743
14/12/2020,28.5268,19.8453,36.0155,28.8809,27.8678
11/12/2020,28.2258,25.3778,36.0838,29.2665,28.1769
10/12/2020,27.0224,22.3791,36.3364,28.7844,27.8698
09/12/2020,27.8066,23.0608,36.2834,28.7601,27.9520
08/12/2020,27.8995,23.7644,37.0517,28.7825,28.0393
07/12/2020,28.7799,23.4231,36.8932,28.6926,28.3419
04/12/2020,29.1795,36.2043,36.8701,28.8083,28.3412
03/12/2020,29.0706,45.3854,36.2340,28.3848,28.0759
02/12/2020,29.3251,51.9242,36.3675,28.3906,28.2989
01/12/2020,29.3963,53.3409,36.3138,28.8515,28.5690
30/11/2020,28.5542,54.0899,36.2265,28.7518,28.4909
27/11/2020,30.4832,51.8376,36.6249,28.2823,28.2048
26/11/2020,30.4418,52.7701,36.3930,28.2741,28.1614
25/11/2020,30.0440,52.5081,36.3614,28.4217,28.0900
24/11/2020,32.2230,52.7214,36.0277,28.4042,27.9977
23/11/2020,31.8771,52.8736,36.1474,28.6880,28.0607
20/11/2020,32.6780,42.4613,31.4352,26.0336,26.4330
19/11/2020,31.2800,37.0116,27.8108,23.6658,24.8246
18/11/2020,28.5743,31.7870,25.0844,21.7530,23.8274
17/11/2020,31.7994,30.2096,24.0576,21.2070,23.6379
16/11/2020,29.9758,28.9450,23.3115,23.8390,23.3979
13/11/2020,28.1215,29.1559,23.7874,23.8420,23.4057
12/11/2020,28.2237,30.5870,23.0112,23.5568,23.1941
11/11/2020,28.6349,30.0654,22.8641,24.3948,23.5251
10/11/2020,28.3873,28.5481,21.2653,23.5676,22.9873
09/11/2020,27.5233,25.0662,20.3757,23.5323,23.0556
06/11/2020,27.3591,23.1157,19.4164,23.1106,22.9076
05/11/2020,27.3292,23.3371,19.5635,23.1635,22.9420
04/11/2020,28.2278,19.4142,19.3884,22.7090,22.6133
03/11/2020,30.0661,19.9838,19.4140,22.7281,22.9351
02/11/2020,30.0856,17.7004,19.2833,22.5504,23.4346
30/10/2020,28.7476,26.4155,20.1823,23.1919,24.0011
29/10/2020,29.6265,22.8080,18.9745,22.7607,23.8205
