正股,吉利汽車控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,63.7186,49.4478,72.4080,68.1266,59.6688
21/01/2021,66.8978,101.1170,70.9484,67.5476,59.1877
20/01/2021,67.6269,100.4143,70.4362,67.4353,59.1281
19/01/2021,65.2235,99.3580,69.8248,66.8815,58.8543
18/01/2021,70.9048,101.0424,69.7287,66.9248,58.8592
15/01/2021,67.7956,100.9461,69.9390,67.0653,58.7891
14/01/2021,69.8150,98.1105,69.3652,65.9671,58.0606
13/01/2021,74.6060,97.0612,69.3451,66.2167,59.3960
12/01/2021,77.3772,101.1396,71.9689,66.4990,59.5468
11/01/2021,83.4108,100.1567,72.1181,66.5061,59.8347
08/01/2021,81.1904,97.3561,71.3229,66.0718,59.8042
07/01/2021,62.0173,57.9998,52.7178,55.9862,52.2828
06/01/2021,59.4149,67.6444,51.2765,55.6751,51.7931
05/01/2021,59.5933,67.4688,51.3409,55.6723,51.8751
04/01/2021,59.0294,64.8392,50.9544,55.3319,51.6879
31/12/2020,58.2215,65.3680,50.8785,55.4272,51.6668
30/12/2020,53.8268,54.5566,49.1840,54.4020,50.0946
29/12/2020,52.8759,54.7129,48.8654,55.3996,50.3081
28/12/2020,56.1953,51.7595,47.9396,54.9750,50.0251
24/12/2020,52.8494,49.7592,46.2192,54.4359,49.5500
23/12/2020,53.1930,52.4021,49.1929,54.3638,50.9093
22/12/2020,53.5648,46.4911,49.8830,53.2423,49.9603
21/12/2020,52.4383,31.9897,47.9077,52.0191,49.0613
18/12/2020,50.2615,33.6472,47.8365,52.0998,49.0370
17/12/2020,53.4728,34.2352,48.4410,53.1747,49.0328
16/12/2020,52.2475,35.0472,53.9748,53.1692,49.0490
15/12/2020,56.8399,43.2687,54.3295,53.1302,49.1217
14/12/2020,55.6376,41.7668,55.7975,52.9709,49.0002
11/12/2020,53.3635,49.1566,65.8495,52.9471,49.0357
10/12/2020,53.2062,43.6652,65.5958,52.5545,48.7390
09/12/2020,53.5778,42.5886,64.7442,52.3327,48.5666
08/12/2020,51.3827,39.3963,64.7081,52.0586,48.2137
07/12/2020,52.1158,42.7768,64.8692,52.1335,48.2592
04/12/2020,52.3098,44.5456,64.6982,52.4056,48.3718
03/12/2020,52.6604,44.1727,64.6883,52.2890,48.3327
02/12/2020,54.7063,44.7323,64.8713,52.2402,48.3527
01/12/2020,55.7180,54.0615,63.4072,51.4239,47.8163
30/11/2020,57.1462,54.2658,63.8849,53.4877,48.0120
27/11/2020,58.6943,44.4954,61.7568,52.5294,48.0229
26/11/2020,58.9651,43.3368,61.6114,53.0389,48.0770
25/11/2020,58.6537,50.0865,61.5806,53.4938,48.1008
24/11/2020,59.0767,55.1575,59.3386,52.4802,47.4469
23/11/2020,59.0513,59.8513,59.7463,52.4191,52.3261
20/11/2020,59.1734,59.8586,59.7464,52.5381,52.4737
19/11/2020,62.1230,61.8482,59.7427,52.4755,53.1853
18/11/2020,60.5436,73.3559,59.9948,52.4765,54.7785
17/11/2020,58.0484,68.0912,59.4606,50.9549,54.0358
16/11/2020,59.4540,71.6270,61.7610,51.4210,54.0207
13/11/2020,56.8670,91.3081,61.8008,51.4190,54.0145
12/11/2020,57.2035,92.7268,62.0681,51.5129,54.2400
11/11/2020,52.9892,90.2379,59.9232,52.0003,58.5875
10/11/2020,56.6532,82.2251,56.7052,50.4162,60.7609
09/11/2020,60.9209,78.5124,56.1705,50.0278,60.5826
06/11/2020,58.2254,79.0711,56.2733,50.0246,60.6195
05/11/2020,62.1529,76.3215,57.7185,49.7014,60.6996
04/11/2020,59.6521,71.4749,53.2262,46.8212,59.3635
03/11/2020,61.5030,71.4519,52.8287,46.5993,59.2244
02/11/2020,58.7155,70.0229,50.8045,45.3383,58.6321
30/10/2020,49.1134,24.4475,34.6057,37.0975,54.8841
29/10/2020,48.6803,24.3653,34.7561,37.2151,54.8712
