正股,中信泰富有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,32.9030,32.3227,27.1431,32.3820,31.0699
21/01/2021,33.6986,23.3153,24.8533,31.7915,30.5739
20/01/2021,34.0234,23.9526,24.9869,32.0173,30.5813
19/01/2021,34.0411,24.4095,25.4332,32.2182,30.5661
18/01/2021,32.2922,18.8567,23.8431,31.2220,29.8089
15/01/2021,31.3918,18.8363,31.0083,31.1993,29.7816
14/01/2021,31.9648,15.7099,30.8998,31.1605,29.7722
13/01/2021,33.4555,10.8200,31.2402,31.0891,29.7533
12/01/2021,33.3952,17.7314,31.0208,31.7228,29.5491
11/01/2021,33.1876,17.4424,30.3639,31.5044,29.5265
08/01/2021,31.7160,18.9368,30.0020,32.0918,29.7991
07/01/2021,32.8291,21.7297,30.3905,31.9850,29.6954
06/01/2021,32.9020,27.0100,30.3929,32.6468,29.7627
05/01/2021,33.4880,28.1113,29.5555,32.3574,29.6120
04/01/2021,32.2829,27.9012,29.4058,32.4689,29.5572
31/12/2020,32.3882,27.4959,29.3200,32.5834,29.5597
30/12/2020,32.7527,27.4926,29.0510,32.7868,29.6204
29/12/2020,31.2282,27.3737,28.5197,32.7797,29.8371
28/12/2020,31.8480,26.6008,28.6156,32.7590,29.7718
24/12/2020,30.0202,24.5406,28.3207,32.6318,29.5319
23/12/2020,29.4951,20.1890,28.2417,32.1916,29.4983
22/12/2020,30.6723,21.0331,31.7069,32.4252,29.4725
21/12/2020,28.4381,21.1928,32.9291,32.3169,29.3707
18/12/2020,26.5206,19.7795,32.7051,32.2071,29.2873
17/12/2020,27.0222,21.3643,33.2935,32.8447,29.7693
16/12/2020,25.9575,37.6139,35.2893,33.0597,29.7673
15/12/2020,27.0185,36.6248,35.3207,33.0573,29.7223
14/12/2020,28.8186,39.4197,36.1594,32.9827,29.6336
11/12/2020,27.1466,39.6160,36.7207,33.0160,29.6341
10/12/2020,27.8430,39.0553,37.8584,32.9523,30.0276
09/12/2020,28.7516,38.3529,37.2569,32.7203,29.8381
08/12/2020,28.9400,40.5764,37.5778,32.6958,29.8193
07/12/2020,29.2195,38.8585,37.6538,32.5485,29.7642
04/12/2020,29.7258,39.0442,37.9812,32.4937,29.7309
03/12/2020,30.5779,38.4980,37.5720,32.3515,29.6148
02/12/2020,29.7103,19.4944,31.7196,29.4116,27.8156
01/12/2020,30.3332,19.4333,31.8249,29.4393,28.1306
30/11/2020,28.8922,16.2847,31.4497,29.1745,27.9406
27/11/2020,29.4294,15.5531,32.6195,29.0411,28.2400
26/11/2020,29.4843,19.4566,32.7507,29.3513,28.2313
25/11/2020,29.8104,25.9905,34.2012,29.9503,28.2077
24/11/2020,28.3537,33.5560,33.7883,29.5916,28.0013
23/11/2020,27.9166,37.6940,34.8342,29.6920,28.0679
20/11/2020,27.3104,37.8397,34.9013,29.8866,28.1194
19/11/2020,27.4361,38.5732,35.2055,29.8801,28.1114
18/11/2020,27.0543,40.7335,35.0583,29.9030,28.0383
17/11/2020,28.1735,42.0298,35.3520,30.0948,28.3984
16/11/2020,30.0760,43.3504,35.8131,30.6680,28.3948
13/11/2020,28.7591,43.8686,35.9097,30.5665,28.3153
12/11/2020,28.9733,45.8610,35.3646,30.2828,28.3541
11/11/2020,30.9856,38.0795,33.1636,29.9373,29.9889
10/11/2020,29.9352,37.6117,32.1506,28.4532,29.0741
09/11/2020,30.3599,37.5670,31.7044,27.7128,30.3454
06/11/2020,30.1170,38.3643,32.0006,27.7140,30.3128
05/11/2020,29.4497,37.6125,32.9279,28.1339,30.1509
04/11/2020,31.7303,32.1148,31.2014,26.8134,29.4444
03/11/2020,33.1997,31.5249,31.2091,26.7737,29.6547
02/11/2020,34.4562,26.8498,29.7100,25.8529,29.1369
30/10/2020,33.5535,31.1055,28.5416,25.2354,28.8319
29/10/2020,32.4108,26.4140,27.4319,25.4440,28.4410
