正股,萬洲國際

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,35.5063,37.6702,32.8828,32.7399,31.1191
21/01/2021,36.4054,32.5138,31.4834,34.5491,30.6415
20/01/2021,37.2641,34.5106,31.5365,34.6815,30.6746
19/01/2021,36.6014,34.2956,31.0968,34.4723,30.5446
18/01/2021,33.5428,41.4469,27.7011,33.0775,29.4251
15/01/2021,32.3899,44.9901,28.9112,33.0978,29.6207
14/01/2021,33.2621,44.8083,29.1463,33.0691,29.7737
13/01/2021,33.6978,43.4882,28.7535,32.9683,29.6202
12/01/2021,35.1598,43.5658,30.6912,32.9326,29.6080
11/01/2021,36.3588,43.2900,30.9253,33.1861,29.5907
08/01/2021,35.3404,41.1638,31.1807,32.9713,29.4690
07/01/2021,36.8202,40.6080,31.1043,32.9216,29.5926
06/01/2021,36.3999,39.1126,30.1885,32.4665,29.3029
05/01/2021,38.2655,38.1419,29.7658,32.6033,29.3420
04/01/2021,34.5919,21.7184,23.5312,30.3326,27.2288
31/12/2020,31.4685,13.3916,21.2796,29.5389,26.6255
30/12/2020,31.8666,14.1352,21.3061,30.0311,26.6551
29/12/2020,31.7704,14.1936,21.2529,30.1553,26.7960
28/12/2020,31.2136,12.7764,20.9620,30.0803,26.7369
24/12/2020,29.4616,11.6068,21.9019,30.0266,26.7294
23/12/2020,29.7331,12.1646,22.0757,30.0497,26.7411
22/12/2020,30.0050,15.6637,22.0930,30.1157,26.7475
21/12/2020,29.6382,14.2194,23.8121,29.9013,26.9536
18/12/2020,25.5693,13.9082,23.6490,29.9276,29.5930
17/12/2020,25.4795,15.2892,24.7099,30.1328,29.9537
16/12/2020,26.3423,22.0837,25.5865,30.5946,30.0248
15/12/2020,26.6703,23.0090,25.6029,30.5300,30.2667
14/12/2020,27.2994,23.4666,25.7766,30.5267,30.2607
11/12/2020,26.7347,30.5065,26.8679,30.5341,30.3163
10/12/2020,26.9420,31.5615,29.3971,30.5338,30.3293
09/12/2020,27.5701,33.7595,33.1544,30.4849,30.5007
08/12/2020,28.8788,31.5812,37.8426,30.4807,30.2679
07/12/2020,29.9669,31.3957,38.0529,30.5035,30.2702
04/12/2020,30.9474,31.4494,38.0553,30.5296,30.3327
03/12/2020,31.5162,32.1917,38.0691,30.4622,30.3327
02/12/2020,30.3418,27.7376,37.2901,30.2070,30.0137
01/12/2020,30.8908,25.9724,37.0844,30.2778,30.2338
30/11/2020,31.1614,24.4357,37.2018,30.1510,30.6465
27/11/2020,31.8150,17.8718,35.4798,29.3051,30.5158
26/11/2020,30.7157,20.1333,35.8355,29.1194,30.4139
25/11/2020,30.6850,16.5128,35.1947,28.8130,30.1818
24/11/2020,30.8162,16.6083,35.1688,29.0523,30.5660
23/11/2020,30.9252,23.5342,35.1148,29.0523,31.0783
20/11/2020,30.1922,23.4340,35.6917,29.2356,31.0429
19/11/2020,30.5196,23.3877,36.2930,29.0888,31.0359
18/11/2020,30.3671,24.0567,36.2749,29.0855,31.7549
17/11/2020,34.2079,23.7363,37.0213,29.1203,32.2316
16/11/2020,36.6361,23.2295,37.1990,29.3385,32.2473
13/11/2020,35.8772,29.0628,37.2152,29.3559,32.3510
12/11/2020,36.3735,36.7393,36.6977,29.0163,32.1008
11/11/2020,37.9364,46.1286,36.5946,28.9616,33.9077
10/11/2020,34.4779,57.1981,36.6959,28.9607,34.0353
09/11/2020,32.0866,55.8231,35.3835,28.5709,33.8571
06/11/2020,31.9940,55.8638,35.5251,32.2459,33.9974
05/11/2020,32.1458,54.5511,35.0001,32.2981,34.0195
04/11/2020,34.6635,53.1417,34.7903,31.9522,33.8475
03/11/2020,36.8791,52.9523,34.5980,32.2098,33.8094
02/11/2020,37.0727,53.0771,34.2075,31.9945,33.8491
30/10/2020,36.2022,51.7405,33.7498,31.8171,33.8810
29/10/2020,36.3121,48.4481,32.0124,30.9361,33.3648
