正股,國泰航空有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.4084,24.4928,24.2626,45.7800,43.5292
21/01/2021,35.0606,20.9957,22.6924,45.5957,43.2174
20/01/2021,34.7751,21.1644,24.4669,46.4962,43.2369
19/01/2021,35.9525,20.9673,24.2186,46.7762,43.1513
18/01/2021,36.7779,20.8432,23.6820,47.3986,43.1181
15/01/2021,35.9917,22.3107,26.6999,47.5573,43.1489
14/01/2021,33.8624,21.6816,26.4534,47.5570,43.0826
13/01/2021,32.9291,21.3768,27.1697,47.4569,43.0824
12/01/2021,33.9678,20.8143,27.0805,47.7377,43.1795
11/01/2021,35.4649,20.1808,27.0193,49.0305,43.1560
08/01/2021,34.7696,16.8636,26.4826,49.3025,43.3188
07/01/2021,34.5341,16.0823,26.2093,49.2868,43.2864
06/01/2021,33.8366,18.3298,34.1474,49.2296,43.3508
05/01/2021,34.1051,23.2022,36.3744,49.3014,43.4271
04/01/2021,37.5325,22.9521,37.2983,49.1307,44.5287
31/12/2020,36.4388,22.4113,39.6337,49.0940,44.6732
30/12/2020,36.6070,22.9304,39.9612,49.0020,44.6642
29/12/2020,37.6357,21.5864,44.3196,49.0022,44.6435
28/12/2020,38.2628,24.2224,45.5531,49.0009,44.6440
24/12/2020,38.1116,30.0503,46.6009,49.0887,44.8688
23/12/2020,38.5571,29.3960,47.2533,49.3697,44.8838
22/12/2020,39.5605,29.4905,47.3635,49.6973,45.3486
21/12/2020,36.9946,32.2279,59.9780,49.7685,45.5487
18/12/2020,36.5739,29.2304,58.7985,49.5002,48.8913
17/12/2020,37.4279,29.0205,58.3892,49.6524,49.0139
16/12/2020,38.9175,34.1668,57.8020,50.3453,50.5816
15/12/2020,39.9815,34.1608,57.9866,50.3481,50.5825
14/12/2020,40.8284,33.6460,57.3864,50.6089,50.5567
11/12/2020,39.6046,34.0049,57.5040,50.5825,50.9816
10/12/2020,38.3851,31.6065,57.5609,50.4567,50.9253
09/12/2020,37.2267,31.2919,58.7732,50.4209,50.9705
08/12/2020,37.1760,31.2847,59.6543,50.4875,51.0076
07/12/2020,38.0367,42.9626,60.1374,49.9661,50.6724
04/12/2020,40.7986,50.6154,60.3621,49.9312,50.8579
03/12/2020,37.5874,54.5993,61.7719,49.9565,51.1925
02/12/2020,40.3201,56.1190,61.2377,49.4099,50.8408
01/12/2020,42.5753,56.6203,61.5745,49.4361,51.3744
30/11/2020,44.3154,64.0588,61.4227,49.3140,51.2587
27/11/2020,42.3482,64.2821,61.5636,49.4433,51.2729
26/11/2020,40.2967,67.0716,62.9358,49.3782,51.2814
25/11/2020,42.2879,69.7582,64.0418,49.7545,51.4449
24/11/2020,42.8767,69.4733,64.0593,49.7630,51.5254
23/11/2020,40.7674,87.2944,61.0007,47.5559,50.3351
20/11/2020,39.6983,80.0840,59.3453,46.7858,57.6878
19/11/2020,38.1721,74.3943,58.1162,47.8361,57.4459
18/11/2020,37.9550,73.7044,57.0175,47.2166,56.9948
17/11/2020,44.0889,75.5699,56.8959,47.1241,57.5440
16/11/2020,44.4480,71.5790,53.9734,45.1694,56.3743
13/11/2020,37.4072,71.2758,53.0084,44.4962,56.0408
12/11/2020,39.3236,68.2373,52.2183,44.3540,55.9537
11/11/2020,39.4734,70.1359,51.9465,44.0612,56.1517
10/11/2020,39.8109,73.3586,52.6331,44.7011,56.1695
09/11/2020,33.8599,36.9414,37.0836,35.9597,51.3785
06/11/2020,32.5596,40.8336,37.3722,42.8788,51.2827
05/11/2020,31.8064,43.5311,37.7958,43.3091,51.4498
04/11/2020,35.0753,42.4340,38.6574,45.6348,51.1690
03/11/2020,35.3589,42.5703,38.6818,45.6377,51.1962
02/11/2020,37.8057,40.1218,38.6439,45.5168,51.0284
30/10/2020,37.4356,44.6991,38.6151,46.4649,51.0249
29/10/2020,37.6631,55.5051,38.7454,46.7211,51.0247
