正股,江西銅業股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,49.4682,55.6022,57.6766,51.1133,45.4982
21/01/2021,52.6158,57.8402,54.8236,49.4531,44.4164
20/01/2021,52.9365,61.8354,55.5965,49.8024,44.2159
19/01/2021,50.9563,67.3923,54.6973,49.1522,43.6611
18/01/2021,56.7225,65.2314,53.8605,48.8146,43.3460
15/01/2021,53.0105,69.0280,54.6964,48.9792,43.7994
14/01/2021,54.1281,68.6993,54.7022,48.9189,43.7942
13/01/2021,57.5084,67.5523,54.4331,48.7121,43.7608
12/01/2021,53.7886,69.7845,55.5591,48.7042,43.8220
11/01/2021,55.8133,69.6840,55.9144,48.8993,44.0587
08/01/2021,56.5220,53.8417,53.5717,46.8233,42.5750
07/01/2021,55.0801,51.1814,52.4745,45.6569,41.7208
06/01/2021,54.0757,64.9554,51.1076,44.4903,40.8334
05/01/2021,49.8174,54.7784,48.1357,42.4576,39.2319
04/01/2021,49.2356,54.3227,48.9991,42.4134,39.1559
31/12/2020,44.6011,54.4117,46.8640,40.8515,38.0172
30/12/2020,45.1008,54.8187,47.0563,41.4274,38.0622
29/12/2020,45.4209,54.9419,47.1253,41.6408,38.0616
28/12/2020,46.0296,54.6828,52.1886,41.4432,37.9308
24/12/2020,42.7063,52.7183,51.8741,41.2290,37.6939
23/12/2020,42.5397,54.0090,52.0964,41.2166,37.7670
22/12/2020,43.7840,54.6837,52.0937,41.3035,37.8438
21/12/2020,46.3412,43.3401,46.7059,38.8105,35.7002
18/12/2020,47.4382,44.4489,47.1064,39.2517,35.7669
17/12/2020,43.8766,44.5910,47.1264,39.9640,35.7750
16/12/2020,40.9727,30.9137,44.5647,38.1674,35.9210
15/12/2020,40.8239,32.7518,45.0251,38.2097,36.0630
14/12/2020,41.1515,33.2678,45.3483,38.4984,36.0326
11/12/2020,41.0922,41.0522,45.2897,38.7898,36.2564
10/12/2020,42.0883,40.6452,44.4538,38.7007,36.0663
09/12/2020,42.4973,46.7165,44.3781,38.5448,36.2203
08/12/2020,40.9202,48.5202,44.3699,38.5122,36.1558
07/12/2020,42.0760,47.7542,44.0316,37.7897,35.6151
04/12/2020,42.6444,47.4893,43.1224,37.4625,35.3917
03/12/2020,43.1571,49.4375,43.7358,37.5278,35.4058
02/12/2020,43.9866,47.9475,42.5067,37.6821,35.0529
01/12/2020,46.0916,47.9310,42.5084,37.6984,35.5184
30/11/2020,47.1232,49.1203,42.4975,37.8456,35.5477
27/11/2020,47.0907,59.0484,41.3916,37.1109,34.8823
26/11/2020,48.1859,58.3300,41.2894,37.3017,35.2960
25/11/2020,43.8847,57.5175,39.8747,36.1049,35.3178
24/11/2020,44.9798,52.9847,38.3877,35.6355,34.9384
23/11/2020,45.3348,52.0812,37.4648,35.0528,35.6165
20/11/2020,40.9165,51.1995,36.6120,34.3738,35.4486
19/11/2020,41.1490,48.9392,35.4785,33.4920,34.8732
18/11/2020,40.0059,45.2597,34.2851,33.1731,36.0586
17/11/2020,49.5077,48.4776,35.3950,33.0876,36.8536
16/11/2020,53.3946,48.2649,35.8358,33.0463,38.5175
13/11/2020,37.1472,30.4139,27.6506,28.2900,38.0687
12/11/2020,37.9077,28.1801,27.6899,28.4038,38.1482
11/11/2020,40.3473,26.0775,27.2333,28.4771,39.7882
10/11/2020,37.5936,26.2388,27.5116,28.6586,39.8005
09/11/2020,38.2631,34.3344,29.4802,28.7707,41.0048
06/11/2020,37.8528,32.6632,29.5803,28.3627,40.9789
05/11/2020,39.1509,33.7974,30.8087,28.1753,41.0097
04/11/2020,35.9221,35.6826,30.2295,30.4201,40.8951
03/11/2020,39.7658,32.7319,30.1112,30.4116,40.7423
02/11/2020,38.1401,30.2261,29.5036,29.7467,40.4812
30/10/2020,36.6334,27.2924,28.9673,29.8328,40.2320
29/10/2020,38.1789,28.5314,29.8119,29.8294,40.2254
