正股,中國石油化工股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,36.5897,38.0927,29.9403,40.0871,37.6127
21/01/2021,36.8819,28.5839,27.2243,39.7687,36.9712
20/01/2021,37.6661,29.1739,31.5618,40.0269,36.9403
19/01/2021,37.7653,29.5887,31.5143,41.9055,37.0770
18/01/2021,36.8456,29.0268,31.7356,41.5844,36.8052
15/01/2021,36.1487,27.5662,31.6584,41.5349,36.9698
14/01/2021,37.2483,30.9653,31.9969,41.7010,36.9567
13/01/2021,35.1280,29.7837,32.0373,41.6637,37.0790
12/01/2021,33.7909,21.6654,36.1863,40.6129,36.2158
11/01/2021,34.6250,22.8742,36.2459,40.6601,36.3168
08/01/2021,32.9377,20.7918,38.8860,42.3214,36.5305
07/01/2021,31.4669,21.6046,40.1464,42.2906,36.4919
06/01/2021,29.5041,23.2503,39.7436,42.1511,36.5777
05/01/2021,30.5481,22.8945,38.9383,41.7290,36.2347
04/01/2021,29.8434,22.9381,39.1716,41.7400,36.2377
31/12/2020,28.4346,21.4334,38.9458,41.6158,36.1711
30/12/2020,29.0613,19.7322,38.8052,41.6373,36.1194
29/12/2020,28.7845,20.1226,38.8522,41.6323,36.1582
28/12/2020,30.0357,20.6226,39.1527,41.6382,36.1564
24/12/2020,27.4858,28.4780,38.9941,41.4257,36.0386
23/12/2020,28.0826,28.3767,38.9747,41.3293,36.4944
22/12/2020,29.1155,28.9669,40.3879,41.4440,36.4986
21/12/2020,28.9771,37.4998,49.0868,41.6463,36.4500
18/12/2020,30.4882,36.9992,48.7216,41.6110,36.2899
17/12/2020,30.5716,38.3577,48.8650,41.8615,36.3967
16/12/2020,31.0553,38.3577,48.9380,41.9451,36.4273
15/12/2020,31.8430,40.0740,49.5061,41.9365,36.4653
14/12/2020,30.7612,41.0780,49.8859,41.9223,36.5357
11/12/2020,30.4807,54.1701,50.1702,41.8849,36.7194
10/12/2020,30.3061,45.4379,48.8208,40.8729,36.0096
09/12/2020,29.8647,55.3970,48.6506,40.8166,35.9553
08/12/2020,29.3602,59.6978,49.5766,40.7611,36.1263
07/12/2020,30.2706,54.1114,47.5681,39.4617,35.1715
04/12/2020,30.4877,54.4207,50.7813,39.6028,35.1610
03/12/2020,33.1512,53.1762,49.9310,39.2889,34.9277
02/12/2020,32.9246,53.6291,49.9015,39.5624,34.9389
01/12/2020,33.7834,52.8013,50.0811,39.3733,34.7899
30/11/2020,33.9253,52.3958,50.0383,39.4438,34.7248
27/11/2020,32.2218,35.3733,44.4231,36.5213,33.3164
26/11/2020,32.6692,36.7263,44.1837,36.6101,33.1878
25/11/2020,32.3747,30.0572,46.0161,35.6333,32.2365
24/11/2020,31.6014,29.0256,44.9992,34.8434,31.7188
23/11/2020,32.2349,55.9894,45.0014,35.2244,31.7728
20/11/2020,30.9992,55.9511,44.8988,35.1416,31.6926
19/11/2020,31.2211,54.4500,44.6351,35.0240,31.6994
18/11/2020,31.5103,52.8686,44.4109,35.0223,31.6400
17/11/2020,35.1111,55.0098,44.4584,35.0157,31.8582
16/11/2020,36.0152,55.2846,44.4693,35.0627,31.9185
13/11/2020,32.1577,55.5900,44.3698,34.9067,31.8087
12/11/2020,33.9275,53.0169,43.7667,34.7678,31.7653
11/11/2020,36.0300,50.4441,43.1995,35.3416,32.0314
10/11/2020,36.2002,55.7558,42.5005,34.6858,31.6888
09/11/2020,32.4139,33.1398,33.4380,28.5170,27.7607
06/11/2020,32.8377,46.1960,33.7161,28.3751,27.7552
05/11/2020,31.2074,45.8831,33.9032,28.4204,27.6230
04/11/2020,32.9663,45.6872,33.7512,28.3020,27.6379
03/11/2020,35.1570,44.4107,33.2109,28.0483,27.4995
02/11/2020,35.2010,42.9325,32.1699,27.6742,27.1340
30/10/2020,33.8398,40.8296,30.9604,27.5639,26.7901
29/10/2020,33.3268,41.0152,30.9480,27.6904,26.8034
