正股,香港交易及結算所有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.1931,30.0106,27.4757,28.6170,26.8079
21/01/2021,35.5928,27.7494,27.0331,29.1028,26.7955
20/01/2021,36.1057,31.2582,27.1527,29.1784,26.8432
19/01/2021,36.4557,34.7124,28.4072,29.2287,26.8166
18/01/2021,35.8646,33.6134,27.0780,28.4144,26.1735
15/01/2021,33.6940,29.8903,23.8955,26.7874,25.4324
14/01/2021,35.3576,29.9835,24.7817,26.7955,25.6066
13/01/2021,34.8191,31.8594,24.7664,26.8939,25.8067
12/01/2021,34.9949,32.4041,24.8563,26.9131,25.7917
11/01/2021,34.6613,32.2246,24.8300,27.7846,25.8113
08/01/2021,35.9092,32.0647,24.7346,27.8819,26.1597
07/01/2021,33.2551,31.8859,25.6990,27.6559,25.9760
06/01/2021,33.4748,32.3471,27.1313,27.5223,25.8886
05/01/2021,34.4897,28.4460,26.2268,27.4541,25.8250
04/01/2021,33.5783,26.9152,25.0621,26.6885,25.4315
31/12/2020,33.7454,22.4048,23.0315,25.5960,24.6995
30/12/2020,32.4070,21.7675,23.2856,25.9967,24.7959
29/12/2020,31.2164,22.4123,22.1755,25.4861,24.4001
28/12/2020,32.1468,21.9059,22.1472,25.4926,24.5325
24/12/2020,31.2136,21.8286,22.1467,25.5313,24.5471
23/12/2020,30.0517,20.3361,21.5264,25.2854,24.5343
22/12/2020,29.2428,19.0837,24.6433,25.1186,24.4380
21/12/2020,30.8299,16.2232,24.8564,25.6800,24.2958
18/12/2020,25.0650,17.0264,24.5249,25.3758,24.0993
17/12/2020,24.8837,19.3377,24.6048,25.4427,24.0982
16/12/2020,24.9103,19.0233,25.8101,25.4959,24.2102
15/12/2020,25.4493,20.0424,26.1096,25.4000,24.1637
14/12/2020,25.2164,18.6728,25.8688,25.3492,24.0505
11/12/2020,25.2211,18.5696,26.0196,25.3971,24.3796
10/12/2020,25.9888,18.9865,28.0815,25.3894,24.4947
09/12/2020,26.0043,18.9774,28.4255,25.4282,24.4966
08/12/2020,27.0967,22.3898,30.1003,25.6062,24.7347
07/12/2020,27.4688,30.7671,30.2459,25.7316,24.8424
04/12/2020,28.1885,28.3108,29.6538,25.3790,24.6722
03/12/2020,27.5816,27.9139,29.2642,25.1442,24.8639
02/12/2020,27.2110,27.4372,29.2245,25.7008,24.9899
01/12/2020,29.5826,26.0184,28.7300,25.6717,25.8353
30/11/2020,31.0870,26.2017,29.0535,25.9634,26.6721
27/11/2020,30.4969,26.1446,29.0554,25.9609,28.0462
26/11/2020,30.9830,26.0069,30.4426,25.9436,32.1539
25/11/2020,31.2616,26.1374,30.6104,26.5728,32.1579
24/11/2020,32.8094,32.2547,29.7582,26.1227,32.2792
23/11/2020,29.6220,26.3936,27.6789,24.8434,33.2166
20/11/2020,28.9882,28.3531,28.0616,25.1407,33.2173
19/11/2020,29.2047,26.7657,27.6708,25.1385,33.2230
18/11/2020,29.5186,31.8926,27.7211,25.2717,33.2464
17/11/2020,30.5825,32.8180,28.5354,25.3984,33.3675
16/11/2020,31.5460,33.2572,28.6917,25.4343,33.8674
13/11/2020,29.9658,33.5215,28.6858,25.5480,34.1826
12/11/2020,30.3443,37.7928,28.7131,25.5675,34.2922
11/11/2020,31.2544,38.3322,28.8002,25.8806,34.4563
10/11/2020,33.6152,36.2589,25.9946,24.5256,33.8122
09/11/2020,33.6014,34.7781,26.8991,24.2185,35.0238
06/11/2020,32.6924,34.3884,26.6158,24.0806,35.2633
05/11/2020,33.8121,34.2604,26.6673,24.0470,35.2388
04/11/2020,34.5029,31.1259,25.5626,23.5341,34.9013
03/11/2020,35.0292,29.4360,25.1139,23.3512,34.7856
02/11/2020,35.1321,30.0814,25.2252,23.2630,35.0121
30/10/2020,34.5287,29.8739,25.1477,23.6926,35.4620
29/10/2020,35.0449,28.1237,22.8407,22.7438,34.9438
