正股,中國中鐵股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.3444,35.5560,31.5988,30.4261,29.0267
21/01/2021,39.7605,31.3021,30.3939,29.9529,28.6723
20/01/2021,41.3501,31.6819,30.0167,29.7229,28.4619
19/01/2021,41.5329,37.9235,30.5353,30.1158,28.5423
18/01/2021,44.9326,41.1208,31.3154,30.0488,28.4201
15/01/2021,39.7358,42.2661,30.3401,29.5798,28.0711
14/01/2021,45.0636,37.2102,29.3355,29.4426,27.7534
13/01/2021,44.3131,37.6113,29.1050,29.9774,27.8379
12/01/2021,41.0932,37.7975,28.8762,29.7717,27.6531
11/01/2021,39.1829,37.5233,27.8525,30.2518,27.3769
08/01/2021,36.4128,36.9299,26.9436,30.2518,27.1195
07/01/2021,37.6062,36.0128,27.3959,30.2059,27.1135
06/01/2021,39.6546,35.1077,26.8369,29.9104,27.3792
05/01/2021,35.1349,29.2459,21.8061,28.0919,26.2186
04/01/2021,31.9565,17.5421,16.9164,26.6422,25.8653
31/12/2020,31.2688,18.0553,16.9492,26.6677,25.8454
30/12/2020,30.4830,17.7474,16.6468,26.6646,26.0668
29/12/2020,30.9794,17.6152,18.4349,26.8491,26.1086
28/12/2020,31.9432,17.6078,18.3810,26.8498,26.1584
24/12/2020,31.5023,18.2949,19.0931,27.0978,26.2355
23/12/2020,31.0545,17.2834,18.3679,26.9210,26.1214
22/12/2020,31.1353,16.5274,27.3634,26.9677,26.1562
21/12/2020,29.2034,15.9143,27.1403,26.9221,26.0531
18/12/2020,26.6356,15.0446,26.7111,26.7457,25.9440
17/12/2020,27.5214,17.6363,26.6946,26.9532,25.9887
16/12/2020,25.4835,13.2704,26.9227,26.9335,26.2082
15/12/2020,26.6087,13.8618,27.2343,27.9235,26.2318
14/12/2020,25.3190,14.4986,29.7373,28.0370,26.2307
11/12/2020,25.1880,14.1993,30.3750,28.0455,26.2303
10/12/2020,25.8125,15.5063,30.2101,27.9709,26.2840
09/12/2020,25.4600,16.0482,29.6593,27.7705,26.1364
08/12/2020,26.4819,17.0580,29.8450,27.7970,26.1157
07/12/2020,26.8256,18.0102,29.7429,27.6791,26.0308
04/12/2020,26.2553,17.8634,30.1883,27.6340,26.7280
03/12/2020,27.2749,15.2399,29.2432,27.1267,26.3880
02/12/2020,28.7581,15.5640,29.1193,27.1286,26.3412
01/12/2020,28.8775,15.4512,30.0102,27.1794,26.4473
30/11/2020,31.8974,20.4278,31.1760,27.4304,26.4424
27/11/2020,30.7529,18.4395,30.6149,27.2557,26.3478
26/11/2020,30.4015,21.5713,32.5282,27.3327,26.4453
25/11/2020,30.6075,22.4934,33.3157,27.3654,26.9082
24/11/2020,31.1887,39.4132,32.6417,27.0877,27.0531
23/11/2020,31.4143,39.4125,32.6836,27.8439,27.2173
20/11/2020,30.2227,39.8124,32.8308,28.2395,27.6458
19/11/2020,30.2274,39.9006,32.8912,29.2052,27.6790
18/11/2020,30.9564,39.6052,32.6521,29.1592,27.6141
17/11/2020,35.3249,39.5116,32.6095,29.4517,28.4212
16/11/2020,33.3724,42.0183,32.5946,29.1417,28.2526
13/11/2020,33.3025,41.8139,32.5543,29.2195,29.2459
12/11/2020,34.1099,38.2463,32.3196,28.9994,29.0786
11/11/2020,36.0703,35.1012,31.7670,28.8392,32.3849
10/11/2020,27.5820,24.3331,26.3221,25.6049,30.6688
09/11/2020,29.7979,25.8403,26.7618,25.6240,31.1633
06/11/2020,30.9722,26.6020,26.9436,25.6889,31.1417
05/11/2020,30.2120,27.6135,27.4183,25.7329,31.1990
04/11/2020,30.1970,27.3331,27.3031,25.9532,31.2903
03/11/2020,32.5748,30.9524,28.9359,25.8730,31.2480
02/11/2020,32.6234,28.8765,26.7377,24.5603,30.5372
30/10/2020,32.9427,27.8459,25.9811,24.1593,30.3421
29/10/2020,31.8747,33.3684,25.9707,24.3422,30.3543
