正股,東風汽車集團股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,67.6650,59.7382,58.2776,73.5877,63.6419
21/01/2021,75.0223,57.2101,54.9409,72.3456,62.5789
20/01/2021,75.6024,57.0532,54.3169,72.3978,62.5946
19/01/2021,72.9113,58.1903,53.1159,72.0746,62.4042
18/01/2021,71.1559,58.8940,53.1907,72.0764,62.3798
15/01/2021,69.9641,58.8854,53.7409,72.0522,62.3616
14/01/2021,71.1526,55.2134,51.2666,70.9748,61.8528
13/01/2021,73.4443,51.4693,50.0562,70.9598,61.5295
12/01/2021,77.7560,54.5864,50.1280,70.5755,61.4313
11/01/2021,76.8897,66.2352,48.6702,70.7943,61.4441
08/01/2021,76.1339,63.6610,47.7386,71.0117,61.2140
07/01/2021,73.5852,62.5699,48.1453,70.8578,61.0229
06/01/2021,72.7645,65.1486,48.2985,70.8368,60.9893
05/01/2021,72.1224,62.7643,46.1940,70.5708,60.8934
04/01/2021,70.2575,60.0126,45.9339,70.2609,60.7230
31/12/2020,68.6678,62.6902,47.5320,70.1815,60.7168
30/12/2020,65.6180,60.3771,46.8489,70.1997,60.4248
29/12/2020,65.8377,61.7600,46.7851,70.4205,60.4584
28/12/2020,65.0226,58.6207,46.9992,69.5861,60.1325
24/12/2020,57.5480,42.0236,46.1809,67.6127,58.3936
23/12/2020,57.8493,46.8304,48.7046,67.5129,58.3534
22/12/2020,55.9166,47.0046,48.7057,67.6646,58.3592
21/12/2020,51.4004,40.8589,52.4176,67.5145,57.8849
18/12/2020,48.7430,40.7506,55.9007,67.8145,57.8895
17/12/2020,46.4753,41.4871,88.4932,68.0722,57.8763
16/12/2020,51.2952,40.8452,88.3632,67.7728,57.6245
15/12/2020,51.4135,41.2511,88.4368,67.8112,57.7598
14/12/2020,53.7205,39.4082,88.1964,67.6483,57.6280
11/12/2020,46.4111,33.5846,87.5594,67.1087,57.1288
10/12/2020,44.9538,30.6723,87.5532,67.0417,57.2326
09/12/2020,47.0168,26.1021,86.5279,66.4799,56.8642
08/12/2020,47.7448,28.2425,87.0406,66.4816,56.9764
07/12/2020,48.7917,28.7392,87.6414,66.7768,57.0763
04/12/2020,49.7865,29.4682,87.6033,66.9518,57.7695
03/12/2020,48.3858,25.4219,87.5842,66.8982,61.3465
02/12/2020,50.6557,36.7929,86.9346,66.6296,61.1327
01/12/2020,56.5748,40.3485,86.7760,66.9172,61.1456
30/11/2020,56.7591,40.2910,87.7060,66.9277,61.1455
27/11/2020,61.9012,44.8173,86.9521,66.7649,61.0567
26/11/2020,62.1328,62.1216,87.8232,67.2883,61.0801
25/11/2020,64.3899,67.3882,88.5321,67.3169,61.2859
24/11/2020,69.3212,65.9008,87.4483,66.8150,60.9855
23/11/2020,71.2005,77.8284,86.7652,66.6155,60.9736
20/11/2020,71.5173,83.6696,87.2692,67.1483,61.0296
19/11/2020,72.5685,138.9581,86.6178,66.9728,60.9740
18/11/2020,71.9907,138.9801,86.4705,66.6060,60.8182
17/11/2020,84.1517,140.3540,86.6923,66.4411,60.9641
16/11/2020,86.6913,139.1446,87.3113,66.5312,60.9611
13/11/2020,78.0135,139.2658,86.7395,66.0918,60.4292
12/11/2020,81.7745,126.6249,82.1879,63.7441,59.2574
11/11/2020,87.4541,117.9161,79.4088,62.5115,59.5334
10/11/2020,89.0651,119.1802,79.4469,62.4175,59.6474
09/11/2020,79.9615,122.5697,78.3083,60.5092,58.7055
06/11/2020,85.9155,121.3903,77.7700,59.2404,57.8922
05/11/2020,47.8047,37.2068,39.6419,33.8867,43.2666
04/11/2020,46.1136,32.2436,37.8862,32.5603,42.9105
03/11/2020,48.9606,32.2522,37.9133,32.8134,43.3068
02/11/2020,48.0876,32.2384,36.6023,31.8832,42.8862
30/10/2020,46.0357,31.2354,36.5618,31.7272,43.2410
29/10/2020,46.4093,42.7788,36.9212,32.5174,43.6584
