正股,利豐有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
14/01/2021,202.1553,0.0000,0.0000,0.0000,0.0000
13/01/2021,200.8210,0.0000,0.0000,0.0000,0.0000
12/01/2021,199.5133,0.0000,0.0000,0.0000,0.0000
11/01/2021,198.2308,0.0000,0.0000,0.0000,0.0000
08/01/2021,194.5263,0.0000,0.0000,0.0000,0.0000
07/01/2021,193.3370,0.0000,0.0000,0.0000,0.0000
06/01/2021,192.1693,0.0000,0.0000,0.0000,0.0000
05/01/2021,191.0225,0.0000,0.0000,0.0000,0.0000
04/01/2021,189.8958,0.0000,0.0000,0.0000,0.0000
31/12/2020,185.5810,0.0000,0.0000,0.0000,0.0000
30/12/2020,184.5478,0.0000,0.0000,0.0000,0.0000
29/12/2020,183.5313,0.0000,0.0000,0.0000,0.0000
28/12/2020,182.5315,0.0000,0.0000,0.0000,0.0000
24/12/2020,178.6900,0.0000,0.0000,0.0000,0.0000
23/12/2020,177.7668,0.0000,0.0000,0.0000,0.0000
22/12/2020,176.8580,0.0000,0.0000,0.0000,0.0000
21/12/2020,175.9630,0.0000,0.0000,0.0000,0.0000
18/12/2020,339.3363,0.0000,0.0000,0.0000,0.0000
17/12/2020,329.0033,0.0000,0.0000,0.0000,0.0000
16/12/2020,319.7581,0.0000,0.0000,0.0000,0.0000
15/12/2020,311.4171,0.0000,0.0000,0.0000,0.0000
14/12/2020,303.8384,0.0000,0.0000,0.0000,0.0000
11/12/2020,284.6456,0.0000,0.0000,0.0000,0.0000
10/12/2020,279.1800,0.0000,0.0000,0.0000,0.0000
09/12/2020,274.0871,0.0000,0.0000,0.0000,0.0000
08/12/2020,269.3249,0.0000,0.0000,0.0000,0.0000
07/12/2020,264.8569,0.0000,0.0000,0.0000,0.0000
04/12/2020,252.9351,0.0000,0.0000,0.0000,0.0000
03/12/2020,249.3786,0.0000,0.0000,0.0000,0.0000
02/12/2020,246.0003,0.0000,0.0000,0.0000,0.0000
01/12/2020,242.8116,0.0000,0.0000,0.0000,0.0000
30/11/2020,239.7455,0.0000,0.0000,0.0000,0.0000
27/11/2020,231.3304,0.0000,0.0000,0.0000,0.0000
26/11/2020,228.7548,0.0000,0.0000,0.0000,0.0000
25/11/2020,226.2804,0.0000,0.0000,0.0000,0.0000
24/11/2020,223.9005,0.0000,0.0000,0.0000,0.0000
23/11/2020,221.6088,0.0000,0.0000,0.0000,0.0000
20/11/2020,215.2081,0.0000,0.0000,0.0000,0.0000
19/11/2020,213.2169,0.0000,0.0000,0.0000,0.0000
18/11/2020,211.2901,0.0000,0.0000,0.0000,0.0000
17/11/2020,209.4241,0.0000,0.0000,0.0000,0.0000
16/11/2020,207.6154,0.0000,0.0000,0.0000,0.0000
13/11/2020,202.5040,0.0000,0.0000,0.0000,0.0000
12/11/2020,200.8961,0.0000,0.0000,0.0000,0.0000
11/11/2020,199.3323,0.0000,0.0000,0.0000,0.0000
10/11/2020,197.8106,0.0000,0.0000,0.0000,0.0000
09/11/2020,196.3288,0.0000,0.0000,0.0000,0.0000
06/11/2020,192.1051,0.0000,0.0000,0.0000,0.0000
05/11/2020,190.7660,0.0000,0.0000,0.0000,0.0000
04/11/2020,189.4585,0.0000,0.0000,0.0000,0.0000
03/11/2020,188.1818,0.0000,0.0000,0.0000,0.0000
02/11/2020,186.9361,0.0000,0.0000,0.0000,0.0000
30/10/2020,183.3576,0.0000,0.0000,0.0000,0.0000
29/10/2020,182.2159,0.0000,0.0000,0.0000,0.0000
28/10/2020,181.0983,0.0000,0.0000,0.0000,0.0000
27/10/2020,180.0036,0.0000,0.0000,0.0000,0.0000
23/10/2020,175.8403,0.0000,0.0000,0.0000,0.0000
22/10/2020,174.8495,0.0000,0.0000,0.0000,0.0000
21/10/2020,173.8773,0.0000,0.0000,0.0000,0.0000
20/10/2020,172.9230,0.0000,0.0000,0.0000,0.0000
