正股,創科實業

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,36.9243,50.5450,42.2233,45.6464,39.7580
21/01/2021,37.7764,55.6136,42.4096,45.7359,40.0595
20/01/2021,38.1268,55.0629,42.2535,45.8724,39.9826
19/01/2021,37.3563,55.3578,42.2806,45.8785,40.0199
18/01/2021,40.5984,54.6372,42.1257,45.7727,40.0222
15/01/2021,39.2338,50.1434,40.9059,44.4987,39.1182
14/01/2021,40.4041,50.6675,40.2902,44.4335,39.1175
13/01/2021,38.3055,43.2260,35.5821,42.6248,37.7345
12/01/2021,37.7926,43.4552,36.2872,42.6243,37.7348
11/01/2021,39.4045,43.1688,36.2393,42.5168,37.6723
08/01/2021,36.9728,37.4617,34.3754,42.0717,37.3977
07/01/2021,37.1326,33.6331,35.7484,40.9983,36.8921
06/01/2021,36.6830,35.5040,35.7374,41.0107,36.9155
05/01/2021,36.5361,35.0930,35.6878,40.9856,36.9567
04/01/2021,37.7276,35.0890,36.8056,41.1236,36.9707
31/12/2020,36.2236,32.6537,36.1215,40.5927,36.6543
30/12/2020,34.4349,34.7911,35.1677,40.3325,36.5874
29/12/2020,33.6914,38.3873,34.8237,39.5802,35.9653
28/12/2020,33.5554,38.3873,36.0339,39.6962,36.2062
24/12/2020,32.9041,38.3774,36.0832,39.6966,36.1968
23/12/2020,32.8462,40.7024,36.9545,39.6560,36.1744
22/12/2020,33.3823,39.4393,36.9548,39.2701,35.8451
21/12/2020,32.7716,37.4698,47.8604,39.4172,39.6918
18/12/2020,30.4427,37.0067,48.1612,39.6203,39.8385
17/12/2020,31.7531,37.0965,48.3027,39.6835,40.1779
16/12/2020,32.1016,41.6426,50.1953,39.5941,40.0999
15/12/2020,32.6689,33.5112,48.1607,38.2391,39.3347
14/12/2020,32.5661,26.4594,47.1141,38.0456,38.8408
11/12/2020,30.8168,28.8131,49.3042,38.0646,38.8694
10/12/2020,31.8369,29.0503,49.4830,38.1720,40.3860
09/12/2020,30.9230,21.4282,48.7320,38.3724,39.9911
08/12/2020,30.6249,28.4887,48.3836,38.7035,39.9457
07/12/2020,31.4079,27.6693,48.6412,38.6995,39.9395
04/12/2020,31.4316,27.0141,48.6209,38.7912,39.9775
03/12/2020,32.5327,34.6001,48.5893,38.9054,40.1316
02/12/2020,32.9389,35.4405,48.0355,38.4560,39.9012
01/12/2020,35.3136,35.8893,48.4432,38.7038,40.6490
30/11/2020,36.7743,39.2713,48.4462,38.7020,40.7959
27/11/2020,36.6577,42.8974,48.2472,38.5066,40.8994
26/11/2020,36.4686,43.0642,48.2287,38.5081,41.6578
25/11/2020,36.8622,45.5806,48.5349,38.8078,42.0179
24/11/2020,35.4198,38.0340,46.2211,37.7446,41.6036
23/11/2020,35.8869,67.7536,46.2710,37.7871,41.9215
20/11/2020,34.9935,68.2718,46.2618,37.8691,42.1106
19/11/2020,35.3446,65.0664,45.5315,37.3260,41.8253
18/11/2020,34.7075,69.9174,45.0707,37.1941,41.8238
17/11/2020,36.4825,70.7483,45.2519,37.5069,41.8209
16/11/2020,36.7751,69.0365,44.4355,36.8015,41.3502
13/11/2020,36.7870,71.6866,43.6297,36.5819,41.0486
12/11/2020,37.8469,71.6579,43.5769,36.5362,41.3294
11/11/2020,39.2000,70.4296,42.5316,35.9796,41.6458
10/11/2020,37.5099,69.6548,42.0722,35.5852,41.4165
09/11/2020,33.3220,44.2577,29.0344,34.9837,37.2678
06/11/2020,32.7474,42.5119,28.6220,34.9532,37.1033
05/11/2020,32.2931,41.3662,28.2521,35.1727,36.9500
04/11/2020,34.1988,34.2116,25.3690,34.0237,36.2246
03/11/2020,36.4954,34.2705,25.0098,34.0339,36.2932
02/11/2020,38.0406,33.8532,26.6885,34.0359,36.3008
30/10/2020,38.2572,22.7772,22.7349,32.8106,36.0097
29/10/2020,37.4579,21.4126,22.6212,35.1424,36.0402
