正股,中國海外發展有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,32.5073,50.2354,41.9237,40.8378,35.1688
21/01/2021,34.9748,44.7250,41.3708,40.5551,34.9709
20/01/2021,36.8829,34.9364,42.2302,40.4336,34.6325
19/01/2021,38.9328,45.3865,39.9119,39.1795,33.6253
18/01/2021,40.2597,50.9888,37.8844,37.8577,32.6064
15/01/2021,37.7503,47.2042,34.6291,36.3441,31.4783
14/01/2021,39.5942,48.4724,34.6084,36.2212,31.3907
13/01/2021,41.1761,50.0898,34.8746,36.2555,31.4100
12/01/2021,44.4387,51.4015,35.5901,36.3218,31.4165
11/01/2021,47.6406,48.9087,36.0998,36.0953,31.3327
08/01/2021,47.1653,38.0705,32.3699,34.2683,29.9387
07/01/2021,46.3228,35.6101,33.4306,34.0283,29.7589
06/01/2021,42.6807,33.1883,33.7558,34.1663,29.6849
05/01/2021,37.5086,31.1601,33.4952,33.4646,29.2244
04/01/2021,32.7307,26.5019,33.0418,32.4202,28.6080
31/12/2020,32.2844,26.3722,32.9655,32.2361,28.5239
30/12/2020,29.5680,22.5029,31.8091,31.9565,28.1522
29/12/2020,31.7219,22.2217,31.6604,31.6755,28.0306
28/12/2020,32.0544,23.5457,34.1506,31.5603,27.8657
24/12/2020,31.7197,23.5927,34.2319,31.6270,27.8686
23/12/2020,32.3804,23.1950,35.0755,31.5923,27.8258
22/12/2020,31.3508,23.4014,38.5686,31.8209,27.9277
21/12/2020,33.4468,30.1245,39.9119,31.7858,27.9507
18/12/2020,33.4412,27.7287,39.3655,31.3509,27.6544
17/12/2020,34.9833,29.4920,39.7401,31.5224,27.7711
16/12/2020,34.7806,28.3943,40.9341,31.5254,27.7249
15/12/2020,33.8050,28.6310,40.7325,31.7140,27.6355
14/12/2020,33.6839,29.0634,40.3872,31.6072,27.4894
11/12/2020,30.7232,27.6031,39.8852,31.2778,27.2296
10/12/2020,30.7147,34.6323,40.0400,31.3204,27.2214
09/12/2020,30.5033,36.3705,40.1029,31.3109,27.2243
08/12/2020,31.5158,40.1424,40.0561,31.2861,27.3060
07/12/2020,30.8950,34.1067,39.0190,30.2669,26.5376
04/12/2020,28.9287,39.7925,39.0284,30.2702,26.5626
03/12/2020,31.5288,42.7943,38.4510,29.9705,26.2743
02/12/2020,30.5602,43.6523,38.3315,30.0108,26.2492
01/12/2020,32.6352,43.1160,38.1933,29.8914,26.3154
30/11/2020,33.3807,43.4334,38.0799,29.8116,26.2198
27/11/2020,34.0934,48.4980,37.2800,29.3283,26.2885
26/11/2020,34.3958,43.2313,36.5982,28.9590,25.6388
25/11/2020,34.6431,42.2255,36.4990,28.8645,25.7124
24/11/2020,34.8220,48.0860,35.1620,28.0250,25.1151
23/11/2020,36.5341,50.5422,35.1324,27.7317,24.8511
20/11/2020,37.4762,49.3646,33.9096,27.1272,24.2922
19/11/2020,28.0740,48.0800,32.1194,26.3950,23.5450
18/11/2020,28.3178,50.4975,31.6933,26.2853,23.3775
17/11/2020,31.9208,50.6453,32.0623,26.3286,23.3833
16/11/2020,32.4226,49.5479,31.5382,26.2237,23.2161
13/11/2020,27.0779,39.5759,27.4626,24.1328,21.8070
12/11/2020,28.5250,37.7653,27.3642,23.9957,22.4368
11/11/2020,29.0065,27.5616,24.5433,22.8888,23.5995
10/11/2020,25.9078,21.1171,21.9573,20.6996,22.4076
09/11/2020,23.3928,24.0410,20.3541,19.7256,24.6327
06/11/2020,24.1536,24.3665,20.4305,19.7256,25.1398
05/11/2020,25.9428,23.4741,20.6629,19.6367,25.0013
04/11/2020,24.1003,16.6234,18.5638,18.3279,24.4331
03/11/2020,26.1656,16.6131,19.6206,18.3339,24.4654
02/11/2020,26.5050,16.8810,20.0337,18.3876,24.4839
30/10/2020,26.9715,17.3912,19.9871,18.3441,24.4922
29/10/2020,26.1547,20.1255,19.8114,18.1587,24.7508
