正股,騰訊控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.8510,29.2502,42.6217,43.8384,38.8407
21/01/2021,38.2238,29.6136,42.5754,44.0868,38.9082
20/01/2021,38.3718,44.6795,42.6123,44.7953,38.9079
19/01/2021,36.6051,43.0524,41.6862,44.2560,38.5403
18/01/2021,38.3645,42.3654,41.6603,44.2708,38.5497
15/01/2021,36.6040,42.2929,41.9456,44.1445,38.5545
14/01/2021,37.2651,41.9001,41.5938,43.9055,38.7655
13/01/2021,38.1493,41.4789,39.2298,42.5075,37.8788
12/01/2021,40.3430,41.7840,40.5788,42.4980,37.8857
11/01/2021,43.1897,58.7846,40.6069,43.2649,37.9657
08/01/2021,39.6283,59.0825,40.1137,43.2134,37.7697
07/01/2021,40.2382,58.9404,40.4154,43.1854,38.1437
06/01/2021,36.0919,52.6123,37.8364,42.4488,37.2901
05/01/2021,33.6482,52.2860,37.2895,42.2579,37.1714
04/01/2021,33.3589,51.2836,37.6518,42.0968,37.0593
31/12/2020,30.8695,51.8043,38.2011,42.0852,38.1632
30/12/2020,32.2573,52.8007,38.3317,42.0674,38.2733
29/12/2020,31.4236,43.9984,35.2658,40.9654,37.2301
28/12/2020,33.5199,41.8906,34.4049,40.7900,37.1068
24/12/2020,28.1332,29.8319,31.3783,38.1075,35.2677
23/12/2020,27.8515,27.4906,33.3167,37.6493,34.9615
22/12/2020,28.5871,27.6478,40.3708,37.6513,34.9827
21/12/2020,28.6602,27.6138,42.3468,37.8714,35.1730
18/12/2020,24.7990,27.0852,42.4527,37.7326,35.1421
17/12/2020,25.2963,27.0052,42.6709,37.7825,35.3065
16/12/2020,24.7614,28.4273,46.0122,37.7790,36.2057
15/12/2020,26.5310,26.0070,45.7507,37.5831,37.1206
14/12/2020,28.5810,28.0749,45.4692,37.4733,37.0104
11/12/2020,25.6886,29.8927,45.0193,36.9588,36.8098
10/12/2020,27.2018,28.5320,45.2006,36.8181,36.8525
09/12/2020,26.5901,30.1524,45.1462,37.0458,36.8149
08/12/2020,26.1662,31.9502,45.8642,37.2207,36.8158
07/12/2020,27.0683,31.9921,47.4082,37.2159,36.8802
04/12/2020,28.2428,31.7268,47.3395,37.2205,36.8539
03/12/2020,28.8763,34.2749,47.3765,37.2455,37.5692
02/12/2020,29.7068,34.6968,46.8032,37.0588,37.4398
01/12/2020,30.7326,35.4226,46.7669,37.6099,38.5276
30/11/2020,31.2806,34.0319,46.1947,37.5008,38.6699
27/11/2020,31.4637,29.9983,45.0013,36.8113,38.9833
26/11/2020,32.1364,37.7700,46.4660,36.9078,41.0257
25/11/2020,32.5511,43.0271,46.7857,36.8805,40.8678
24/11/2020,33.1563,58.8308,46.3977,37.2760,40.7945
23/11/2020,34.0409,62.8050,47.2033,37.3335,41.9556
20/11/2020,33.5619,63.5400,47.1930,37.4000,42.3129
19/11/2020,31.1725,61.3977,46.6972,37.0729,42.4281
18/11/2020,33.4989,69.2713,45.9276,38.3214,42.1964
17/11/2020,37.2620,69.3001,45.8463,38.4268,42.4585
16/11/2020,38.2067,68.0883,45.3998,37.9564,42.6369
13/11/2020,38.1259,68.5301,45.2523,38.0068,43.4282
12/11/2020,42.2716,65.4703,43.9105,37.1730,42.8965
11/11/2020,43.8404,59.5268,42.0648,36.0302,42.2348
10/11/2020,39.3525,47.7294,34.5538,32.1260,40.1564
09/11/2020,37.4167,43.3729,31.8201,30.9119,39.8520
06/11/2020,37.5237,43.8888,31.7606,30.9206,40.0046
05/11/2020,37.9025,42.3250,31.3657,30.8946,39.8656
04/11/2020,38.1156,31.4705,27.5010,30.4952,38.7195
03/11/2020,40.4660,29.3601,26.9499,32.2432,38.6865
02/11/2020,40.4605,28.5574,27.3292,32.2920,39.4216
30/10/2020,40.5955,28.0342,27.0706,32.3436,39.6027
29/10/2020,40.2173,33.1138,25.8394,32.1578,39.3517
