正股,中國電信股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,47.9298,59.0851,56.0506,52.3592,49.1398
21/01/2021,50.2953,61.6177,55.8014,52.3792,49.0253
20/01/2021,54.0712,82.6851,55.9545,52.5407,48.9816
19/01/2021,55.5025,81.1902,55.5730,52.5415,48.6690
18/01/2021,59.5359,81.3972,55.6217,53.7407,48.7438
15/01/2021,52.9691,83.3024,54.7418,56.3851,48.4002
14/01/2021,55.8392,83.2427,54.6314,56.2862,48.3160
13/01/2021,56.0508,84.6560,53.8104,56.0156,48.2621
12/01/2021,55.7928,84.1151,54.4736,56.0170,48.2143
11/01/2021,53.7895,65.9149,45.5902,52.1489,45.2967
08/01/2021,60.8267,66.2772,45.1656,52.0720,45.5931
07/01/2021,52.5195,64.8177,44.4622,51.6595,45.3739
06/01/2021,51.8231,39.9270,34.5777,49.0073,42.6118
05/01/2021,47.7620,39.0950,32.7318,48.3902,42.1071
04/01/2021,47.3259,44.2811,30.8522,47.9006,41.6871
31/12/2020,47.6492,42.2199,30.8615,47.5983,41.5111
30/12/2020,47.3890,43.4156,30.8929,47.7051,41.5225
29/12/2020,47.3753,38.3940,29.3609,47.4604,41.1434
28/12/2020,47.4743,37.8233,31.4204,47.4288,41.3105
24/12/2020,41.1270,36.4788,37.7917,47.1876,41.6136
23/12/2020,39.4896,38.0863,39.4187,47.0731,41.6444
22/12/2020,41.0640,38.4650,50.6116,47.1646,43.2725
21/12/2020,41.7547,39.3062,50.6323,47.0958,46.8607
18/12/2020,41.5567,37.3052,49.8411,46.7206,46.4806
17/12/2020,32.8860,22.3510,47.2139,45.6676,45.9130
16/12/2020,37.9594,23.3733,47.9662,45.9667,45.8973
15/12/2020,37.0724,21.6458,47.5652,45.7781,45.8300
14/12/2020,36.6416,21.6658,48.3446,45.7897,46.0865
11/12/2020,32.6356,25.5386,48.5791,45.7990,46.3816
10/12/2020,33.5118,26.1781,48.5750,45.8070,46.3816
09/12/2020,32.1750,25.1692,48.9873,45.7449,46.1572
08/12/2020,33.1494,25.8618,49.2234,45.6995,46.1292
07/12/2020,33.9839,24.9944,49.6226,45.5528,45.9845
04/12/2020,34.5023,22.6363,50.1974,45.2864,45.7785
03/12/2020,34.7593,22.3505,52.5517,45.3986,45.7798
02/12/2020,36.6209,24.9310,58.9194,45.3896,45.7970
01/12/2020,36.8188,24.3517,58.8243,45.3161,45.8420
30/11/2020,38.3058,25.0023,59.0448,45.7156,45.8352
27/11/2020,39.2031,26.3376,58.3048,45.1737,45.3792
26/11/2020,39.8096,47.2188,58.2924,45.2230,45.3799
25/11/2020,41.3828,51.3927,58.4888,45.8915,45.4416
24/11/2020,42.4743,77.9922,58.4720,46.0078,45.4587
23/11/2020,41.6789,77.9814,60.6327,46.3807,45.4831
20/11/2020,41.8312,77.7658,60.6094,46.3325,45.4710
19/11/2020,42.0323,77.9656,60.6357,46.3454,45.4905
18/11/2020,40.4979,78.2457,60.3849,46.1642,45.3587
17/11/2020,45.9382,78.3978,60.5400,46.1641,45.4286
16/11/2020,50.0416,79.8215,60.8783,46.1496,45.4005
13/11/2020,46.2599,77.1698,59.5461,45.6884,44.8778
12/11/2020,46.3983,62.2457,54.0318,43.2493,42.9029
11/11/2020,50.1850,57.4880,51.3324,42.0885,43.1466
10/11/2020,37.6489,31.4494,43.0018,39.1975,39.8611
09/11/2020,39.1600,33.7741,43.0598,44.8458,40.6761
06/11/2020,40.8497,37.2917,43.6375,44.8590,40.6938
05/11/2020,38.1418,47.6649,44.1463,45.1401,40.8369
04/11/2020,39.5775,65.4512,44.4410,44.9066,41.1465
03/11/2020,39.3066,64.8999,44.2014,44.8623,41.0792
02/11/2020,42.7259,64.3926,43.6778,45.0699,40.9910
30/10/2020,41.6532,65.3801,43.5490,45.4127,41.0657
29/10/2020,43.7143,65.1912,43.5447,45.3732,41.1357
