正股,中國國航

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,35.7911,42.8492,31.8223,42.1032,40.3686
21/01/2021,37.7425,39.5912,30.9531,42.0374,39.9101
20/01/2021,38.8306,40.3957,30.9787,42.5917,40.3515
19/01/2021,37.7030,40.1133,31.1652,43.0788,40.4145
18/01/2021,36.9432,30.8285,28.1099,42.2776,39.8447
15/01/2021,32.8677,30.6581,28.6160,42.3739,40.4008
14/01/2021,36.6911,30.4146,28.0908,41.8574,40.0930
13/01/2021,37.6799,28.7977,29.4505,41.5294,40.0641
12/01/2021,34.9044,21.4318,27.0823,41.0639,39.6860
11/01/2021,36.6514,21.5438,27.2884,41.0665,39.6974
08/01/2021,31.3204,19.1850,26.8556,40.8398,39.4341
07/01/2021,32.8920,19.0722,26.8917,40.7990,39.4150
06/01/2021,32.6495,22.0955,28.7346,40.5792,39.2489
05/01/2021,32.3282,26.2639,30.2676,40.8774,39.2350
04/01/2021,31.9149,26.7307,30.2557,40.8860,39.4879
31/12/2020,32.8316,26.7193,30.4749,40.8458,39.5136
30/12/2020,32.1319,28.3467,30.1820,41.2152,39.4634
29/12/2020,32.6966,30.4616,32.5686,41.2396,39.5740
28/12/2020,32.8291,27.5505,33.9216,41.1862,39.5208
24/12/2020,31.4039,32.5126,34.6291,41.1107,39.6265
23/12/2020,31.3989,30.8077,35.1679,41.1900,39.6279
22/12/2020,33.1848,32.8737,35.3958,41.5343,39.6172
21/12/2020,32.6186,30.7475,50.7766,42.1334,39.2669
18/12/2020,31.1168,28.7838,50.1693,41.6913,39.3659
17/12/2020,32.4420,28.7618,49.7857,43.5971,39.6966
16/12/2020,33.0166,29.7023,49.6128,43.9816,39.8158
15/12/2020,33.1343,28.2397,49.4682,43.9657,39.7230
14/12/2020,33.7343,28.8839,48.2981,43.4951,39.3416
11/12/2020,33.5068,28.7071,48.0890,43.3987,39.2685
10/12/2020,33.8099,28.0290,48.2210,43.5507,39.2335
09/12/2020,34.9498,27.0773,47.9403,43.4592,39.0925
08/12/2020,34.6999,26.5872,49.5406,43.4403,39.1127
07/12/2020,35.7607,30.6343,50.6873,44.0929,39.0509
04/12/2020,35.8639,34.6938,50.7734,43.9973,38.8707
03/12/2020,36.9704,35.5064,50.7744,44.0225,39.0077
02/12/2020,37.4618,35.5397,50.8073,44.6350,39.0054
01/12/2020,38.9558,35.2462,50.8042,44.6116,39.2350
30/11/2020,36.4872,37.2413,50.2365,44.3932,38.9103
27/11/2020,37.0306,39.1086,50.0125,44.4306,38.8874
26/11/2020,37.0105,41.0902,49.6410,44.2716,38.8480
25/11/2020,37.2310,43.9438,50.2811,44.2851,38.8240
24/11/2020,38.0903,44.1991,50.3124,44.2952,38.8731
23/11/2020,37.0649,76.0611,49.6697,43.7082,38.4465
20/11/2020,37.0570,71.4235,49.0096,43.0746,37.9417
19/11/2020,37.4679,70.6308,48.8514,43.3662,38.0314
18/11/2020,37.6646,70.5984,48.9174,43.4232,38.0159
17/11/2020,45.2724,70.1738,49.4257,43.4229,38.5934
16/11/2020,41.5731,69.3737,48.4847,42.8346,38.0575
13/11/2020,38.3951,70.0560,47.6784,42.2896,37.6365
12/11/2020,37.7946,67.9017,46.8443,42.1333,37.3895
11/11/2020,40.8305,65.6798,46.0432,41.8268,37.8613
10/11/2020,42.3824,71.0097,46.8904,41.7739,37.8244
09/11/2020,35.3746,34.1603,31.7402,32.2588,31.6816
06/11/2020,32.5680,35.5675,30.5977,32.6234,31.2983
05/11/2020,32.3689,35.7878,35.2990,33.5387,31.4875
04/11/2020,32.6284,36.0067,35.6162,33.6561,31.6338
03/11/2020,36.0594,35.7775,35.5843,33.6803,31.6134
02/11/2020,33.3095,34.3779,34.8606,33.4512,31.5398
30/10/2020,34.5728,35.9778,35.1080,33.4329,31.7388
29/10/2020,34.2037,35.6245,36.5081,33.6218,31.6951
