正股,中國聯合網絡通信(香港)股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,51.8537,49.4500,56.8292,48.5800,54.2310
21/01/2021,54.6685,47.4740,56.4737,49.4626,54.1102
20/01/2021,56.8381,80.8080,56.3886,49.4623,54.0365
19/01/2021,57.5873,81.2950,55.7971,49.9616,53.9194
18/01/2021,62.7385,89.6974,56.0954,55.9113,54.0578
15/01/2021,63.1646,89.6763,55.8209,60.0116,53.9594
14/01/2021,63.4404,90.0595,55.7379,60.1348,54.0713
13/01/2021,69.6392,91.2887,55.3032,59.8758,53.8789
12/01/2021,69.7730,91.1422,56.0409,59.9582,54.1387
11/01/2021,67.8698,88.1411,53.3113,58.6936,53.3207
08/01/2021,58.6588,84.1399,50.5813,57.6307,52.8304
07/01/2021,51.3394,84.3319,50.5545,57.6224,52.8530
06/01/2021,51.0296,50.5789,35.9738,54.2968,50.0006
05/01/2021,51.5434,52.3790,34.6137,53.9885,49.6061
04/01/2021,49.9968,35.6536,24.4819,51.1347,47.5478
31/12/2020,47.1387,35.6551,24.3896,51.3965,47.5488
30/12/2020,46.5026,35.5415,24.1837,51.3680,47.8682
29/12/2020,48.4473,32.5430,23.3212,51.1961,48.0580
28/12/2020,49.4733,32.5381,23.7651,51.1913,49.7583
24/12/2020,44.6627,29.0832,27.9929,50.6805,52.6322
23/12/2020,44.6179,27.4305,28.5588,50.7831,52.4822
22/12/2020,42.8249,27.1478,34.9395,50.7677,52.7684
21/12/2020,40.9731,28.0958,35.1526,50.7848,65.5747
18/12/2020,40.7206,24.7667,34.8618,50.5871,65.4216
17/12/2020,32.3197,17.3518,33.2059,50.2243,65.3595
16/12/2020,34.5762,16.7606,34.4618,50.6676,65.4278
15/12/2020,32.4012,10.7185,33.8229,51.5396,65.3813
14/12/2020,32.9607,11.0699,35.5354,51.5469,65.4407
11/12/2020,30.7249,14.5659,35.5655,51.5369,65.6631
10/12/2020,31.6348,16.2616,37.5681,51.8013,65.6522
09/12/2020,32.8599,16.2615,38.6438,53.0946,65.6384
08/12/2020,33.1480,16.7417,40.8771,53.0788,65.6365
07/12/2020,33.8778,18.2952,40.9377,53.0175,65.6124
04/12/2020,34.7377,18.2741,43.1946,53.1135,65.6718
03/12/2020,36.2341,17.0236,55.0618,53.2754,65.6127
02/12/2020,37.0786,16.9242,64.3204,53.3093,65.6607
01/12/2020,37.8250,16.7746,64.6791,53.4712,65.7594
30/11/2020,38.5180,16.7429,64.6766,53.4717,65.8006
27/11/2020,39.2590,12.3765,64.3439,53.5413,65.6029
26/11/2020,41.2339,34.0823,64.3936,53.7580,65.6004
25/11/2020,42.8560,37.1333,64.7900,54.3384,65.6025
24/11/2020,43.7894,53.2228,64.7900,54.3825,65.6081
23/11/2020,42.4478,52.9712,68.4725,55.7113,65.6271
20/11/2020,41.6999,53.9140,68.7186,55.7118,65.7071
19/11/2020,43.9146,54.3909,68.7032,55.7908,65.7525
18/11/2020,46.3179,56.9196,69.1134,55.8133,65.7517
17/11/2020,53.0591,56.9150,69.1541,56.2742,66.0393
16/11/2020,56.9992,59.4117,69.1931,56.6955,66.0304
13/11/2020,55.9587,58.2821,68.9986,58.7703,65.9551
12/11/2020,51.6146,50.9126,66.1183,61.4565,65.0025
11/11/2020,54.3363,49.6546,65.6355,60.9252,66.5023
10/11/2020,46.2809,47.3643,63.1329,59.8890,65.7720
09/11/2020,46.7118,47.3701,63.1411,76.3793,66.1125
06/11/2020,44.3690,52.5159,63.1233,76.3529,66.0982
05/11/2020,44.5005,78.9648,63.4373,76.5477,66.2885
04/11/2020,46.1962,98.6582,63.5135,76.4325,66.3178
03/11/2020,47.6125,99.5870,65.2573,76.4827,66.3199
02/11/2020,46.9107,97.0651,64.3407,76.3106,66.1482
30/10/2020,43.6758,96.7171,64.3006,76.5712,66.2671
29/10/2020,47.7845,95.0753,63.6229,75.9531,65.8485
