正股,中國鐵塔股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,40.9573,60.5511,46.0266,41.0811,36.7237
21/01/2021,43.5093,61.4130,46.0819,41.0292,36.3537
20/01/2021,46.8486,61.6588,45.8840,40.9027,36.2840
19/01/2021,46.6021,62.3854,44.9187,40.5067,35.9619
18/01/2021,50.3121,54.6566,38.0826,36.7859,33.1130
15/01/2021,39.2194,49.7173,33.2587,34.4682,31.3590
14/01/2021,37.4299,49.8251,33.2824,35.1542,31.3590
13/01/2021,43.5498,49.8251,33.4351,35.5379,31.3990
12/01/2021,44.7711,49.8870,33.4587,35.7277,31.4011
11/01/2021,44.3049,48.4887,33.0301,35.5332,31.1990
08/01/2021,41.1534,42.5434,30.7126,34.6866,30.4376
07/01/2021,38.9981,40.1990,29.1455,34.0170,29.9075
06/01/2021,38.7597,39.5741,29.0151,34.5606,30.0664
05/01/2021,38.0652,39.3077,27.3352,34.0936,29.5655
04/01/2021,28.1644,23.6668,22.0638,32.0537,28.0550
31/12/2020,28.1368,21.4267,19.9286,31.3204,27.7866
30/12/2020,26.7550,25.6880,20.1090,31.3108,27.9064
29/12/2020,28.5168,27.1289,21.0366,31.3108,27.9137
28/12/2020,28.5331,26.8517,21.7905,31.7108,27.8970
24/12/2020,26.7248,26.8517,23.8969,31.7108,28.0622
23/12/2020,26.0744,27.2776,23.8969,31.7108,28.1939
22/12/2020,27.9418,31.5934,24.2814,31.9117,28.5987
21/12/2020,27.8842,31.5797,26.0130,32.6585,28.6482
18/12/2020,26.8907,27.0649,25.8028,32.0222,28.3154
17/12/2020,26.9911,27.0649,30.7345,32.0311,28.8061
16/12/2020,27.5750,25.0664,31.1739,31.8504,28.6235
15/12/2020,26.1681,19.0157,31.1736,31.2736,28.3408
14/12/2020,24.6287,19.3606,35.4119,31.1513,30.2690
11/12/2020,25.5383,19.2992,35.5220,31.1508,30.2786
10/12/2020,25.1951,20.3161,35.5804,31.2110,30.4018
09/12/2020,27.9070,19.2160,36.0593,31.1642,30.3600
08/12/2020,27.8996,10.7838,35.8810,30.5415,29.8868
07/12/2020,28.1357,11.4487,35.8426,30.5325,29.9041
04/12/2020,29.5116,10.6645,36.0106,30.5894,29.9197
03/12/2020,28.5866,13.4692,36.0349,30.5894,29.9197
02/12/2020,29.4514,13.8024,36.2055,30.6528,29.9944
01/12/2020,30.4301,14.3116,37.4876,30.6421,30.0466
30/11/2020,31.2618,17.4469,38.0886,30.6214,30.0007
27/11/2020,31.8625,19.9809,38.4366,30.6128,30.0498
26/11/2020,32.4252,24.1028,38.4412,30.5290,30.6381
25/11/2020,33.4820,24.1028,38.7866,30.5290,30.6507
24/11/2020,33.9969,27.2615,38.7891,30.5204,30.7017
23/11/2020,32.7828,29.2140,39.8473,30.8192,30.8179
20/11/2020,33.2385,33.6334,40.1959,30.8192,30.9669
19/11/2020,35.7696,46.1014,39.9982,30.7744,31.1433
18/11/2020,38.4477,47.9130,39.9660,31.1315,31.1794
17/11/2020,39.8478,50.1505,39.8769,31.2406,31.6878
16/11/2020,41.3103,56.8899,39.3567,30.9285,31.6927
13/11/2020,37.5996,54.7737,39.4257,30.6066,31.8382
12/11/2020,37.3457,49.6898,37.7645,29.9288,32.0638
11/11/2020,37.9455,52.5365,37.7645,30.0903,32.7567
10/11/2020,35.5597,55.8648,38.1346,30.5113,34.5939
09/11/2020,36.4607,51.2897,38.1117,29.6985,35.7319
06/11/2020,36.1645,51.6158,37.5587,29.6011,35.7207
05/11/2020,33.2545,43.2787,33.7821,28.0554,34.8315
04/11/2020,33.1003,40.8267,32.9145,27.5078,34.6303
03/11/2020,37.7920,41.7765,31.9030,27.0638,34.3179
02/11/2020,33.1608,28.6040,26.4134,27.6552,32.8981
30/10/2020,32.3310,30.0135,26.0856,27.5802,32.9875
29/10/2020,31.8026,30.0752,26.1750,27.7720,32.9804
