正股,領展房地產投資信託基金

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,23.7661,11.0787,16.5782,26.9581,23.9064
21/01/2021,23.8644,11.8655,16.6062,27.1071,23.8860
20/01/2021,23.5055,13.5948,16.7090,27.4477,23.8900
19/01/2021,23.7765,13.5135,17.4796,27.4527,23.8492
18/01/2021,24.2934,17.5344,17.3979,27.4471,23.8509
15/01/2021,23.3939,20.1889,23.8313,27.4227,23.8420
14/01/2021,24.6669,20.6805,23.4547,27.2377,23.9777
13/01/2021,25.1319,21.9407,23.6576,27.3121,23.9765
12/01/2021,25.8205,22.7281,23.7337,27.4355,25.1909
11/01/2021,25.6054,24.0525,23.7650,27.4513,25.2603
08/01/2021,25.7176,23.1678,23.5805,27.3800,25.1801
07/01/2021,25.4274,22.1545,23.3298,27.2375,25.1304
06/01/2021,26.2799,19.8369,23.0463,26.8975,25.1660
05/01/2021,26.6255,19.3355,23.9118,27.1371,25.2055
04/01/2021,24.8231,20.1859,24.1784,27.0709,25.0627
31/12/2020,23.1010,18.7501,24.7192,26.9776,25.1927
30/12/2020,23.5301,16.4113,24.4086,26.8469,25.1633
29/12/2020,23.5441,16.6638,25.9669,26.7594,25.3992
28/12/2020,23.2651,16.1013,26.0783,26.7459,25.4423
24/12/2020,22.1643,13.7036,25.6855,26.6206,25.4682
23/12/2020,22.5359,13.7466,26.1157,26.6645,25.5224
22/12/2020,23.0009,12.7299,27.3927,26.5922,25.4970
21/12/2020,23.0843,12.3909,33.6455,26.5475,25.4445
18/12/2020,21.4164,15.4888,33.6307,26.5555,25.6277
17/12/2020,22.2536,14.2275,33.6224,26.4792,25.6124
16/12/2020,22.2294,32.0684,33.7389,26.7967,25.6619
15/12/2020,22.7253,31.9053,33.6635,26.6957,25.6059
14/12/2020,22.5211,32.1205,33.6316,26.6735,25.5993
11/12/2020,21.7638,32.1848,33.4735,26.7422,25.5697
10/12/2020,22.3286,32.3256,34.1894,26.8155,25.6457
09/12/2020,22.3458,32.4485,34.1816,26.9012,25.6711
08/12/2020,22.9900,32.4820,34.5854,26.8917,25.6701
07/12/2020,22.7236,33.1729,35.1010,26.8470,25.7751
04/12/2020,21.9376,33.3354,34.4734,26.4927,25.6648
03/12/2020,22.9643,35.3062,34.4640,26.5114,25.6993
02/12/2020,21.6991,21.2381,30.9411,24.0479,24.0866
01/12/2020,22.1915,21.3759,30.9162,24.4215,24.0697
30/11/2020,24.4068,28.8348,30.8038,24.3316,24.0550
27/11/2020,22.7172,29.8854,30.9266,26.0635,24.3942
26/11/2020,23.2053,29.7924,30.8871,26.1437,24.4262
25/11/2020,23.5113,30.6722,31.0201,26.1291,24.4959
24/11/2020,23.4896,34.4966,31.0196,26.1747,24.4906
23/11/2020,23.5598,48.2481,30.6706,26.3011,24.4658
20/11/2020,22.1920,46.0750,30.4344,26.0080,24.2726
19/11/2020,21.8086,43.7763,30.0249,25.6904,24.0402
18/11/2020,22.0104,39.1387,29.0628,25.5248,23.7273
17/11/2020,26.0398,36.6187,29.1285,25.6024,23.6545
16/11/2020,24.0917,35.6391,27.8298,25.3059,23.5052
13/11/2020,22.8088,36.4602,27.7207,25.3331,23.4222
12/11/2020,23.0273,39.4729,27.7863,25.5583,23.5155
11/11/2020,24.1737,36.6455,27.3476,25.3773,23.7410
10/11/2020,22.3862,38.0245,26.1357,24.7258,23.2163
09/11/2020,18.8610,22.7843,17.0172,20.3109,20.4313
06/11/2020,17.2508,23.3709,16.9652,20.6744,20.4294
05/11/2020,17.6781,20.9220,15.9272,20.4663,20.1121
04/11/2020,18.1728,19.5139,16.0040,20.3284,19.9645
03/11/2020,17.5363,18.8482,15.8538,20.3123,19.9068
02/11/2020,19.0699,18.1181,14.8512,20.0640,19.8260
30/10/2020,20.0213,18.4614,15.5667,20.0626,19.9130
29/10/2020,19.4421,16.4594,15.3305,19.9067,19.7031
