正股,中國石油天然氣股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.1293,34.6227,25.8563,31.8954,31.2462
21/01/2021,34.9127,25.8664,22.1197,30.7807,30.3844
20/01/2021,35.2263,26.0900,22.9192,31.0588,30.5076
19/01/2021,36.5213,27.4375,23.8700,33.4519,30.5316
18/01/2021,36.1694,28.8088,23.9191,33.5409,30.4324
15/01/2021,34.1546,29.0939,23.8597,33.5274,30.4721
14/01/2021,35.8270,29.1256,23.8809,33.6729,30.4722
13/01/2021,35.8445,29.1256,24.0540,33.6704,30.6444
12/01/2021,34.0090,20.8440,27.5058,32.5708,29.9583
11/01/2021,37.6792,20.4680,27.2137,32.6553,29.8861
08/01/2021,38.0947,19.8357,26.9386,33.0108,29.7490
07/01/2021,33.9376,16.7214,27.1171,32.8107,29.6686
06/01/2021,35.5499,22.5801,27.1171,32.8476,29.8891
05/01/2021,33.3613,17.1648,27.3769,32.3280,29.4615
04/01/2021,31.5627,17.3840,27.3684,32.2787,29.4758
31/12/2020,30.4671,17.5119,27.3721,32.2787,29.5120
30/12/2020,30.6565,17.3283,27.3669,32.3007,29.5197
29/12/2020,30.7674,17.9443,30.5004,32.4391,29.6083
28/12/2020,31.7686,18.9663,30.5002,32.4329,29.6373
24/12/2020,30.3032,22.5542,31.4883,33.6411,29.6046
23/12/2020,32.3844,22.9874,31.6455,33.7235,29.7735
22/12/2020,31.3151,22.9416,32.2660,33.7243,29.7724
21/12/2020,31.5933,20.6494,36.5443,33.8704,29.4999
18/12/2020,28.3336,22.8785,36.5950,33.8374,29.5132
17/12/2020,29.2741,22.7970,36.5431,34.0519,29.5435
16/12/2020,32.8355,22.7845,36.8396,34.2749,29.5757
15/12/2020,31.8397,23.4795,36.8819,34.2892,29.8526
14/12/2020,31.1416,23.4653,37.7373,34.2998,29.8329
11/12/2020,30.2663,36.8780,37.7656,34.2041,30.7198
10/12/2020,30.3345,31.1697,37.2057,33.7630,30.5075
09/12/2020,30.3437,33.5873,37.4265,33.6746,30.6559
08/12/2020,29.7414,36.0667,37.8328,33.6680,30.6533
07/12/2020,29.8252,36.0228,37.8648,33.6506,30.5861
04/12/2020,31.4401,39.9511,41.2674,33.4285,30.4127
03/12/2020,32.6147,39.7032,41.3269,33.3534,30.4913
02/12/2020,34.0123,39.5861,41.3270,33.4215,30.8172
01/12/2020,34.1432,39.1826,41.6318,33.3765,31.0145
30/11/2020,33.7521,45.7820,41.4853,33.5588,31.0275
27/11/2020,33.5570,27.8410,36.3168,31.3020,30.0112
26/11/2020,32.6284,32.9243,36.5541,31.2763,29.9909
25/11/2020,34.1494,35.3660,37.6998,31.1933,29.9895
24/11/2020,34.0661,35.8756,37.5749,31.0635,29.9375
23/11/2020,34.2915,46.2952,37.5804,31.3921,30.3594
20/11/2020,34.1990,44.7942,36.6812,30.6742,29.8650
19/11/2020,34.2047,44.1458,36.5259,30.6965,30.1326
18/11/2020,35.7598,43.6696,36.4715,30.7421,30.1386
17/11/2020,36.7895,44.0497,36.4830,30.7571,30.8157
16/11/2020,35.8214,41.6351,34.6954,29.3651,30.0592
13/11/2020,35.0457,41.5646,34.6953,29.3950,30.0562
12/11/2020,32.9427,36.6141,36.0547,28.8882,30.2420
11/11/2020,34.4118,36.1685,35.7274,29.0427,32.5034
10/11/2020,35.1394,39.0650,35.3965,28.7277,32.5521
09/11/2020,30.1971,27.3330,31.5052,25.3949,31.0906
06/11/2020,29.6906,41.3975,31.2251,25.2716,30.9988
05/11/2020,31.0282,42.5645,31.6950,25.4279,31.0905
04/11/2020,33.1922,41.9703,31.5107,25.1329,31.0603
03/11/2020,33.0566,42.7275,31.5875,25.5574,31.1362
02/11/2020,34.9967,39.6589,30.0237,24.4960,30.6322
30/10/2020,34.1487,38.9081,29.6455,26.1814,31.0478
29/10/2020,32.4016,39.3795,29.6458,26.4586,31.0498
