正股,中國海洋石油有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,43.7347,55.1726,43.6074,59.1167,52.3811
21/01/2021,43.2385,44.2270,40.5403,57.9183,51.4768
20/01/2021,44.7725,43.4134,42.0938,58.4444,51.3872
19/01/2021,44.8025,44.6899,43.4257,60.1350,51.4824
18/01/2021,51.4192,45.3558,44.9449,60.3241,51.3593
15/01/2021,46.5865,48.3815,44.6431,60.2504,51.2891
14/01/2021,49.2433,47.5683,44.5478,60.3685,51.2699
13/01/2021,47.6088,42.1782,43.1724,59.1952,50.3684
12/01/2021,51.7916,32.7719,58.5106,58.1631,49.5205
11/01/2021,53.9633,33.2092,57.9251,58.1001,49.4109
08/01/2021,50.7420,34.0153,57.9955,58.4436,49.4234
07/01/2021,51.0788,32.7715,59.7615,58.3358,49.3639
06/01/2021,53.4805,31.6799,59.7273,58.2598,49.6387
05/01/2021,49.2684,22.3026,60.2145,57.5802,49.0749
04/01/2021,48.5630,26.0100,60.1768,57.6074,49.1670
31/12/2020,41.4667,24.5044,60.1083,57.6230,49.0953
30/12/2020,41.8057,24.2694,60.1651,58.0203,49.0983
29/12/2020,43.2615,25.3778,60.4697,57.8744,48.9727
28/12/2020,42.6621,27.4269,60.7026,57.7881,48.9186
24/12/2020,40.2452,37.6240,61.1113,57.6227,48.7820
23/12/2020,41.2553,41.6193,60.9425,57.5492,48.7066
22/12/2020,42.6509,44.8987,63.1388,57.5769,48.7070
21/12/2020,41.8507,50.4087,74.5372,58.0538,48.7568
18/12/2020,42.4974,53.0678,74.5959,58.1260,48.8288
17/12/2020,42.6203,54.0069,74.2440,58.0607,48.9374
16/12/2020,43.2763,53.1232,74.2382,58.1479,48.8900
15/12/2020,42.4163,52.8933,74.2480,58.1561,48.9571
14/12/2020,43.5490,55.7737,74.6273,58.1578,48.8543
11/12/2020,42.1271,83.4592,73.9505,57.7320,48.5620
10/12/2020,41.4840,67.5645,71.8164,56.2580,47.7231
09/12/2020,39.3402,71.3865,71.6317,56.0913,47.5839
08/12/2020,34.7313,81.1023,71.3527,55.8875,47.6204
07/12/2020,35.7876,81.6459,71.4201,55.3508,47.2046
04/12/2020,36.9629,89.3053,73.8769,55.1110,46.9569
03/12/2020,39.6846,88.3699,73.3668,54.5497,46.5101
02/12/2020,41.5728,88.2754,73.4320,54.5952,46.5367
01/12/2020,42.5809,88.6042,73.6868,54.5981,46.5883
30/11/2020,41.9446,87.7868,72.2854,53.9468,45.9401
27/11/2020,36.7769,34.2521,55.3607,43.9391,38.2997
26/11/2020,36.5250,41.4268,55.3312,43.8749,38.2003
25/11/2020,36.9500,41.4260,56.5881,43.8722,38.2062
24/11/2020,37.3878,43.7099,55.7100,43.1353,37.6198
23/11/2020,39.3228,74.8493,55.6670,43.7683,37.7302
20/11/2020,37.9998,73.5452,54.2250,42.5994,36.8910
19/11/2020,37.5723,72.5539,54.1707,42.6551,36.9590
18/11/2020,37.8569,71.7581,54.2484,42.6550,37.1768
17/11/2020,40.5788,72.4167,54.8032,42.6527,37.2627
16/11/2020,40.5471,72.9191,54.8796,42.4302,37.1160
13/11/2020,38.8821,73.7953,54.8546,42.2934,37.0157
12/11/2020,35.7195,68.7526,53.0909,41.4689,36.7548
11/11/2020,38.5732,70.9986,53.1069,41.4440,36.9104
10/11/2020,40.3683,70.5954,51.5593,40.0841,35.9106
09/11/2020,33.3563,32.8081,36.0413,29.1497,29.0365
06/11/2020,33.3576,49.8074,36.0815,29.2379,28.9870
05/11/2020,34.2388,52.0468,36.6047,30.0283,29.0452
04/11/2020,35.8694,52.1339,36.7861,29.9132,29.0053
03/11/2020,37.9233,53.1109,36.8031,30.0657,29.1604
02/11/2020,37.7617,50.0756,35.6021,29.1437,28.4747
30/10/2020,37.8365,50.0762,35.9000,29.3938,28.4743
29/10/2020,36.0191,50.0409,35.7710,29.9996,28.4324
