正股,華能國際電力股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,32.3172,30.7244,27.8104,29.2883,32.1084
21/01/2021,32.5475,24.3030,25.8052,29.4634,31.9064
20/01/2021,32.8887,23.8401,25.9940,29.4234,32.0979
19/01/2021,32.4121,24.0379,26.5712,29.4234,32.1726
18/01/2021,31.6612,19.4452,25.0646,28.6175,31.6715
15/01/2021,29.8039,21.6170,25.0398,28.8263,31.8215
14/01/2021,31.0945,21.2104,25.1818,30.6814,31.8250
13/01/2021,31.8106,21.2213,25.2089,30.6809,31.9193
12/01/2021,31.4508,17.6078,23.8029,30.1709,31.5622
11/01/2021,33.0905,20.2544,23.9012,31.4887,31.5711
08/01/2021,32.4401,16.8000,23.7048,32.8109,31.5551
07/01/2021,33.0624,18.6903,23.6178,32.7285,31.9437
06/01/2021,33.3405,19.6824,24.0070,32.8999,32.3391
05/01/2021,33.2462,21.0931,23.9608,33.8621,32.3631
04/01/2021,34.8844,23.5092,25.2022,33.8441,32.7684
31/12/2020,33.6280,22.9220,24.1594,33.8905,32.5216
30/12/2020,32.7584,22.9157,24.0749,34.7690,32.8026
29/12/2020,32.7348,26.9331,24.0441,34.7804,32.7702
28/12/2020,32.9941,26.7048,24.3725,35.1840,37.9839
24/12/2020,31.9969,25.1321,23.2744,35.0531,37.7124
23/12/2020,31.7412,30.1467,22.7328,34.9509,38.1197
22/12/2020,33.1649,30.3411,27.6728,35.4023,38.1579
21/12/2020,31.6084,30.5039,27.7594,35.4389,38.1742
18/12/2020,31.9685,30.9190,27.7332,35.4266,38.1513
17/12/2020,31.2914,23.1387,26.8836,35.0523,37.7882
16/12/2020,31.6157,23.5606,27.7721,35.2648,37.7940
15/12/2020,31.5876,21.2131,29.0686,35.2950,37.8263
14/12/2020,30.9732,20.6701,31.3200,35.2533,37.6730
11/12/2020,30.6651,17.9428,31.2292,35.2398,37.6393
10/12/2020,28.8966,17.7191,30.8859,35.0866,37.5571
09/12/2020,28.9114,10.8374,31.0144,34.2337,37.0182
08/12/2020,30.8988,10.1588,33.0325,34.6142,37.0256
07/12/2020,31.5770,14.5711,32.8473,34.8679,36.9879
04/12/2020,31.8793,16.1378,32.4603,34.7953,36.9366
03/12/2020,31.8656,20.3186,32.2002,34.7029,36.8789
02/12/2020,32.5072,20.1639,32.5616,34.9165,36.8873
01/12/2020,32.5378,20.0021,35.7878,34.8732,36.9584
30/11/2020,32.4987,20.7361,35.7488,34.9928,37.0233
27/11/2020,32.5785,22.5527,35.7496,34.9607,37.1434
26/11/2020,33.1626,24.7398,37.9923,34.9290,37.1209
25/11/2020,32.8505,24.6103,40.2721,35.0009,38.6908
24/11/2020,32.8180,34.9726,40.0751,35.5447,38.6361
23/11/2020,33.0592,34.6078,40.1852,35.9765,38.5765
20/11/2020,32.4478,34.0957,41.9193,36.0205,38.6333
19/11/2020,32.6722,30.5191,41.0495,36.1601,38.3276
18/11/2020,32.9000,30.7957,41.5582,36.1645,38.4180
17/11/2020,36.2454,37.1484,42.7692,36.5738,38.6306
16/11/2020,36.2614,41.1895,42.9007,36.5405,38.6140
13/11/2020,33.9390,41.7613,43.3477,43.3609,38.8826
12/11/2020,34.3339,39.3364,43.4214,43.1652,39.3849
11/11/2020,35.2665,46.1906,43.3800,43.7213,43.9571
10/11/2020,32.1901,43.4959,42.0300,42.5686,43.2441
09/11/2020,33.5094,43.7994,42.0874,42.5934,43.2315
06/11/2020,34.0299,43.8179,42.1612,42.5926,43.2287
05/11/2020,32.6247,42.6628,42.1337,42.3703,43.1945
04/11/2020,33.2645,42.2377,41.9376,42.1316,43.3096
03/11/2020,37.2321,46.6408,40.9559,41.6869,42.9279
02/11/2020,38.0454,40.3152,39.3382,40.7266,42.5941
30/10/2020,37.5177,40.3732,39.3822,40.7146,42.5852
29/10/2020,37.7381,44.9661,39.3782,40.7287,42.6343
