正股,安徽海螺水泥股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,32.4191,20.8823,28.9889,29.3602,26.3592
21/01/2021,33.9262,25.9287,27.9331,29.3213,26.0605
20/01/2021,34.4168,25.4535,27.3996,29.2530,25.9412
19/01/2021,35.4522,40.1467,28.6722,29.3443,26.3692
18/01/2021,34.6527,39.6408,28.3350,29.1970,26.1932
15/01/2021,34.0882,38.9959,28.1996,29.1375,26.2070
14/01/2021,35.8876,38.0333,28.0147,29.0598,26.1720
13/01/2021,36.8943,37.4056,27.8024,28.9154,26.1196
12/01/2021,38.3050,36.5754,29.0687,28.9632,26.1953
11/01/2021,37.1519,38.9006,28.8648,29.2814,26.1943
08/01/2021,37.2224,37.2477,28.7644,29.4518,26.3646
07/01/2021,33.3023,36.4293,28.9751,28.7564,25.8364
06/01/2021,35.1401,35.4435,29.0043,28.6801,25.7518
05/01/2021,29.6089,21.5240,22.1660,25.5317,23.6675
04/01/2021,29.4664,22.0233,22.1917,25.5066,23.6601
31/12/2020,29.1037,24.2059,23.3626,25.5047,24.5988
30/12/2020,27.9883,24.3061,23.3363,25.6063,24.5989
29/12/2020,27.2323,20.5385,23.5042,24.9652,24.3039
28/12/2020,27.0005,20.7846,24.0208,24.9472,24.4636
24/12/2020,26.7746,19.9248,23.9014,25.0444,24.4116
23/12/2020,26.3687,19.7782,24.3471,25.0496,24.7655
22/12/2020,27.6029,19.5468,28.4687,25.0257,24.7757
21/12/2020,27.5938,19.3814,28.4688,25.2131,24.8204
18/12/2020,24.8649,22.3124,27.8479,24.8634,24.6224
17/12/2020,25.2843,21.6677,27.6549,24.8461,24.5516
16/12/2020,24.5844,17.8710,27.2391,24.6814,24.3944
15/12/2020,24.9057,17.8748,29.6523,24.7403,24.4282
14/12/2020,24.7350,18.5446,29.9504,24.6072,24.3296
11/12/2020,24.5739,21.8159,29.8920,24.5462,24.2836
10/12/2020,25.0930,21.5692,30.1122,24.5068,24.2566
09/12/2020,26.0731,23.3094,30.2176,25.0846,25.3893
08/12/2020,25.7810,26.7147,31.0224,25.0933,25.4455
07/12/2020,26.1133,26.1964,31.2167,25.1081,25.5288
04/12/2020,26.5970,24.0886,30.3620,25.1580,25.4179
03/12/2020,27.2883,24.2082,30.4433,25.1618,25.4330
02/12/2020,28.3105,26.6041,30.4400,25.2310,25.5155
01/12/2020,29.1283,26.4403,30.4512,25.2607,26.0541
30/11/2020,29.8158,31.1180,30.2297,25.1707,25.9493
27/11/2020,30.5189,30.6695,29.3185,24.7560,25.5721
26/11/2020,31.0118,30.7848,30.1168,24.9181,25.5963
25/11/2020,30.5218,30.3774,30.3283,25.1024,28.6481
24/11/2020,30.4914,37.6780,29.0243,24.3528,28.3274
23/11/2020,31.0518,36.8059,28.8471,24.2090,28.2679
20/11/2020,30.0704,36.7424,28.8052,24.5622,28.3860
19/11/2020,30.4678,36.1925,28.6480,24.5266,28.4838
18/11/2020,30.4754,32.1762,27.3994,25.2431,28.2728
17/11/2020,32.5740,34.3336,27.3406,25.2022,28.2701
16/11/2020,29.9039,33.3887,26.2999,24.7795,28.0304
13/11/2020,28.5185,33.9029,25.9339,24.8394,27.9760
12/11/2020,28.2089,34.2500,26.2940,24.8098,27.9258
11/11/2020,30.5156,29.9797,25.5506,24.9884,28.0799
10/11/2020,24.8478,27.7483,21.4685,22.9569,26.9680
09/11/2020,26.6293,29.2208,21.9629,23.0396,28.8169
06/11/2020,27.3270,30.9687,21.9494,23.0845,28.9037
05/11/2020,27.5973,31.4035,22.1509,23.0924,29.0548
04/11/2020,29.3672,30.6189,22.2379,23.0791,29.1319
03/11/2020,29.5537,21.2082,18.5907,21.5032,28.4029
02/11/2020,29.3349,16.4851,17.0471,20.9148,28.2245
30/10/2020,29.2902,18.5694,17.1997,20.9222,28.3716
29/10/2020,28.5126,20.4434,17.0267,20.8282,28.2977
