正股,中國建設銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.3081,21.3412,20.7147,23.9150,25.7539
21/01/2021,26.8255,15.3085,19.3475,23.5272,25.4052
20/01/2021,26.8156,16.4755,20.3970,24.6066,25.5461
19/01/2021,26.8786,14.9369,21.2154,24.5552,25.6855
18/01/2021,27.8341,16.0816,21.0892,24.8940,26.1310
15/01/2021,27.6355,21.3873,21.8931,24.9633,26.1438
14/01/2021,26.7855,20.7103,21.2235,24.8513,26.0442
13/01/2021,27.7954,20.1721,21.9453,25.0320,26.0104
12/01/2021,29.7427,20.8683,21.9685,27.3917,26.2648
11/01/2021,31.4676,22.3258,22.7369,27.4428,26.2381
08/01/2021,31.0920,23.0105,22.1821,27.1397,26.4768
07/01/2021,29.9820,25.7081,22.1840,27.1068,26.4599
06/01/2021,28.2649,24.2212,21.5003,28.9531,26.2770
05/01/2021,28.0278,26.1522,21.6037,28.9567,26.3019
04/01/2021,29.5394,26.0883,22.0101,28.9318,26.3019
31/12/2020,27.8473,23.3507,21.5393,28.5357,26.0675
30/12/2020,29.7532,22.7899,21.5246,28.4714,26.0647
29/12/2020,29.9955,22.9301,21.9044,28.5479,26.6220
28/12/2020,29.1451,22.2189,21.6425,28.4225,26.5488
24/12/2020,27.4126,18.8380,21.8234,28.3053,26.3125
23/12/2020,27.3161,12.1136,20.2167,27.9417,26.0215
22/12/2020,28.2638,12.8228,22.2684,27.7666,25.8851
21/12/2020,27.1524,15.2837,22.8232,28.2323,25.9170
18/12/2020,25.3197,15.8477,22.6165,28.1712,25.7938
17/12/2020,25.2899,16.3518,22.8303,28.1922,26.0345
16/12/2020,25.1203,17.6540,23.9389,28.2457,26.0345
15/12/2020,26.0451,17.1076,23.9373,28.2502,26.1159
14/12/2020,25.2232,21.9949,24.4259,28.3201,26.1240
11/12/2020,25.3483,21.9376,26.1147,28.2521,26.1091
10/12/2020,26.2129,25.6856,27.4128,28.2509,26.4777
09/12/2020,26.6459,25.7918,27.0620,28.0941,26.3433
08/12/2020,27.7312,25.7931,27.4108,28.0921,26.4461
07/12/2020,28.0262,23.9552,28.5586,27.9275,26.3511
04/12/2020,27.2895,20.8844,27.8539,27.8163,26.1350
03/12/2020,26.0780,22.9764,28.5131,28.4670,26.1511
02/12/2020,26.2946,21.4862,27.8248,28.1340,25.9822
01/12/2020,26.7995,21.2686,28.0619,28.1712,26.1422
30/11/2020,25.1161,20.4054,27.9770,27.9424,25.9645
27/11/2020,25.5436,21.5499,31.8164,28.2997,26.0142
26/11/2020,24.5026,22.7928,31.6114,27.9944,25.7678
25/11/2020,25.9772,20.9446,31.4980,28.5557,25.6728
24/11/2020,25.2050,27.2742,31.4769,28.5339,25.6276
23/11/2020,24.7843,28.2813,34.5334,28.5118,25.6073
20/11/2020,24.5705,28.7542,34.5659,28.5212,25.6610
19/11/2020,24.1118,27.7036,34.0306,28.3467,25.5862
18/11/2020,24.6423,28.0089,33.5384,28.1982,25.5757
17/11/2020,26.3952,28.2079,33.5882,28.2140,25.7353
16/11/2020,26.6210,28.4913,33.7258,28.8663,25.6262
13/11/2020,26.6798,29.7509,33.3430,28.8363,25.5661
12/11/2020,25.6087,29.5461,32.3574,28.2917,25.2237
11/11/2020,26.9243,29.3908,32.0718,28.2962,27.1881
10/11/2020,24.2781,29.6503,31.4974,27.5814,26.7041
09/11/2020,24.7927,35.3294,32.4762,27.4732,27.0166
06/11/2020,25.0788,34.8793,32.8916,27.4199,26.9588
05/11/2020,25.1814,36.3661,32.8911,27.6768,26.9513
04/11/2020,27.0778,34.5668,32.3702,27.2069,26.6319
03/11/2020,30.0776,35.0465,32.3689,27.3210,26.6463
02/11/2020,31.1767,35.0371,32.1725,27.0672,26.5125
30/10/2020,31.5523,41.8149,30.5195,26.0369,25.8208
29/10/2020,29.0131,39.3435,29.5109,26.1333,25.6336
