正股,中國移動有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.7148,52.2301,47.2139,41.2042,35.9656
21/01/2021,39.3446,55.9053,46.4163,41.1272,35.6757
20/01/2021,40.3804,71.1608,46.8554,41.1945,35.7347
19/01/2021,40.5396,69.9992,46.5756,41.0641,35.6313
18/01/2021,45.9968,73.1903,46.6575,41.3290,35.6823
15/01/2021,40.3706,71.3839,44.9998,41.0942,34.9052
14/01/2021,43.2908,71.2631,45.1254,41.0946,34.9122
13/01/2021,43.0201,71.4751,44.4830,40.7090,34.6056
12/01/2021,44.5414,71.5202,44.7384,40.5614,34.5534
11/01/2021,46.3148,64.1014,40.2699,38.3711,32.7045
08/01/2021,50.2252,56.4841,36.1548,36.4327,31.4744
07/01/2021,44.3164,52.5586,34.3453,35.4997,30.7573
06/01/2021,39.7910,33.5128,27.3880,32.3528,29.4659
05/01/2021,39.1440,37.9803,27.2933,32.2663,29.4442
04/01/2021,36.5703,31.7849,22.5994,30.3994,28.0797
31/12/2020,31.7798,31.6562,22.5568,30.5839,28.1723
30/12/2020,31.6374,31.5034,22.3994,30.5317,28.2553
29/12/2020,32.7347,29.9709,22.2645,30.3501,28.3130
28/12/2020,30.8981,27.9491,24.0911,30.2301,28.2827
24/12/2020,29.0163,26.8042,26.7426,30.1285,28.2547
23/12/2020,29.1090,25.3447,26.5587,29.9342,28.0945
22/12/2020,30.3376,25.1862,31.4701,29.9951,28.0824
21/12/2020,30.9145,26.3481,31.8808,30.1592,28.8110
18/12/2020,31.7444,22.0465,30.8457,29.6140,28.4195
17/12/2020,29.0838,11.7816,29.6188,28.7973,28.5539
16/12/2020,30.6626,15.1634,32.1509,28.8368,28.7442
15/12/2020,28.7985,16.6816,32.4668,28.7936,28.7145
14/12/2020,29.3760,16.6262,32.7095,28.8711,29.0028
11/12/2020,27.9908,19.2358,34.0519,28.8919,29.3384
10/12/2020,28.6247,18.8866,34.2618,28.7946,29.2914
09/12/2020,27.6151,19.2073,34.6231,28.9582,29.4241
08/12/2020,25.9536,19.6592,35.2333,28.9573,29.4187
07/12/2020,26.8660,21.1166,34.9901,28.8222,29.2726
04/12/2020,26.6637,21.2384,35.0937,28.8409,29.2964
03/12/2020,27.7176,19.9776,35.6939,29.0333,29.2206
02/12/2020,28.4902,19.0082,37.4650,28.9489,29.1687
01/12/2020,28.0886,17.9472,37.2351,28.8208,29.1504
30/11/2020,27.5213,19.1723,37.2376,28.8220,29.1680
27/11/2020,28.6859,23.8451,36.6522,28.5517,29.0671
26/11/2020,30.0678,33.3847,37.0633,28.5663,29.1561
25/11/2020,30.5768,33.4757,37.2241,29.1313,29.1711
24/11/2020,30.8301,46.3121,37.1956,29.1058,29.1737
23/11/2020,29.9851,45.1723,37.0293,30.4419,28.9391
20/11/2020,30.3476,45.2487,37.0038,30.5574,28.9189
19/11/2020,31.1272,46.8026,37.0049,30.6053,28.9790
18/11/2020,31.6779,51.9955,37.3375,30.7433,28.9894
17/11/2020,37.0252,52.8003,37.3233,30.9406,29.2857
16/11/2020,38.3643,52.7161,37.0783,31.0641,29.2161
13/11/2020,33.8448,50.2212,35.4853,30.3539,28.5716
12/11/2020,30.7902,41.7414,32.5753,28.9838,27.6127
11/11/2020,31.2694,40.6990,31.7064,28.5923,29.1053
10/11/2020,26.8808,36.5331,28.1124,26.3702,27.7553
09/11/2020,26.3833,36.5689,28.4446,27.3279,28.5546
06/11/2020,27.4795,36.7804,28.6342,27.3505,28.6004
05/11/2020,26.7282,38.1138,28.2707,28.1596,28.9145
04/11/2020,27.0433,37.9604,25.6517,27.1624,28.5211
03/11/2020,28.3013,36.7924,25.1074,26.8805,28.3516
02/11/2020,28.1580,36.1783,25.0178,27.2449,28.4137
30/10/2020,27.4222,31.3324,23.0768,26.9891,27.9439
29/10/2020,26.4576,31.4247,22.5852,26.7797,27.7760
