正股,聯想集團有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,66.5279,77.5574,56.6577,49.6858,46.0489
21/01/2021,67.6623,78.6422,56.8651,49.9795,46.0616
20/01/2021,65.5026,78.7813,57.0434,49.9549,46.0692
19/01/2021,65.3409,77.4376,55.6085,49.6074,45.7113
18/01/2021,72.2570,77.9779,55.6484,49.7107,45.9873
15/01/2021,68.2115,77.8030,55.1141,49.2421,45.8163
14/01/2021,69.4724,76.9420,55.2722,49.1826,45.8145
13/01/2021,71.7094,77.4741,55.0858,49.4141,45.8041
12/01/2021,66.0334,66.5626,52.8262,47.0458,43.3930
11/01/2021,60.8888,58.4988,47.9056,44.5590,41.2274
08/01/2021,57.8543,45.0614,42.4766,42.5144,39.3857
07/01/2021,54.1764,41.2837,42.0117,41.7727,39.2196
06/01/2021,55.9565,41.4187,42.2736,41.7690,39.2135
05/01/2021,55.5069,39.0483,43.1611,41.7553,39.0129
04/01/2021,54.6328,40.4906,43.0632,41.8273,39.0748
31/12/2020,52.1298,38.9288,42.4346,41.2321,38.6404
30/12/2020,49.2740,38.7461,42.3629,41.1712,38.6934
29/12/2020,49.6838,43.8093,43.9318,41.4850,38.7973
28/12/2020,49.9263,56.0298,43.7069,41.7264,38.8250
24/12/2020,45.5487,52.2053,42.2955,40.3542,38.2662
23/12/2020,47.0782,46.9823,41.0652,39.9962,38.4915
22/12/2020,46.7838,47.4400,41.6470,41.0417,38.5467
21/12/2020,41.8782,47.4400,43.4767,41.2839,39.0073
18/12/2020,46.4661,46.7037,43.3982,41.5606,39.0207
17/12/2020,45.2594,46.5652,42.8320,41.4317,39.2584
16/12/2020,49.9365,42.7536,42.2954,41.9997,39.1879
15/12/2020,50.3840,45.1979,47.0680,42.1642,39.1963
14/12/2020,47.8986,41.7547,45.6825,40.9971,38.5328
11/12/2020,35.6927,30.3292,39.6282,37.9204,35.9352
10/12/2020,35.0332,29.8469,40.7322,38.0700,36.2353
09/12/2020,34.6726,32.8641,40.5965,37.9672,36.1610
08/12/2020,37.5661,34.2319,40.9931,37.9533,36.1758
07/12/2020,36.5188,34.4224,40.9720,38.1285,36.2215
04/12/2020,35.5581,43.4300,41.4135,38.2305,36.4827
03/12/2020,36.5215,43.6028,41.4868,38.5811,36.4831
02/12/2020,35.6369,42.7539,41.1586,38.6452,36.4976
01/12/2020,37.6839,42.5178,41.0852,38.6119,36.7262
30/11/2020,42.7538,49.6277,41.4407,38.5768,36.7370
27/11/2020,43.4434,39.8530,40.3992,37.4025,35.8484
26/11/2020,43.9529,42.0694,41.2713,37.4644,35.9217
25/11/2020,39.6024,40.5775,42.1605,36.9623,35.5909
24/11/2020,39.7571,40.1834,41.7181,37.5585,35.6606
23/11/2020,41.1155,45.2294,41.6360,37.5118,36.0251
20/11/2020,39.4490,37.4630,39.5844,36.1266,35.2727
19/11/2020,40.1137,37.1013,39.7918,36.2185,36.2935
18/11/2020,39.2909,36.9620,39.7330,36.2072,36.2855
17/11/2020,44.0056,53.8445,40.0429,36.4390,36.3303
16/11/2020,39.8252,48.5600,37.6978,34.9880,35.4991
13/11/2020,36.2147,48.6101,38.4246,34.8824,35.9945
12/11/2020,37.4532,49.9683,38.0209,35.6495,35.9367
11/11/2020,38.8433,50.0608,38.1448,36.6245,36.0994
10/11/2020,38.1487,50.1386,39.6524,36.5130,36.2078
09/11/2020,40.4381,45.3419,38.6762,36.4088,37.1709
06/11/2020,41.5036,46.9658,39.5288,36.4263,37.2441
05/11/2020,38.9420,47.3591,39.8666,37.3424,37.9082
04/11/2020,41.1374,47.3817,41.0891,37.3999,37.9221
03/11/2020,39.6096,22.6151,33.4999,33.7440,35.5150
02/11/2020,40.4595,23.7117,33.5422,33.9130,35.5441
30/10/2020,39.7517,25.8689,35.1298,33.7533,35.4546
29/10/2020,41.7036,25.8321,35.0721,33.9017,35.1354
