正股,中信銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,33.6360,30.8483,22.5025,27.5015,27.7059
21/01/2021,36.6931,19.8712,18.9936,26.7026,26.8447
20/01/2021,38.2983,19.9616,20.5684,27.9354,26.8963
19/01/2021,38.2466,17.9047,21.4152,28.2595,26.8480
18/01/2021,40.4400,14.3923,19.6809,27.6242,26.4120
15/01/2021,40.1717,15.9360,19.9708,27.6066,26.4009
14/01/2021,31.6034,12.9640,19.0465,27.2390,26.1390
13/01/2021,33.2490,12.9972,22.5889,27.4799,26.1395
12/01/2021,34.1654,12.4485,24.1752,29.0419,26.1717
11/01/2021,31.8523,13.9415,24.6873,29.0126,26.1289
08/01/2021,31.6787,14.5768,24.8305,28.9308,26.4746
07/01/2021,31.2944,18.7733,25.3552,28.9185,26.4894
06/01/2021,30.3403,18.4857,25.5485,30.2896,26.4528
05/01/2021,29.0379,17.8131,25.4035,30.1620,26.3261
04/01/2021,28.9643,17.8800,25.7798,30.1623,26.3261
31/12/2020,25.1202,18.2186,26.2260,30.2180,26.3119
30/12/2020,26.5881,19.9117,26.3839,30.2180,26.3331
29/12/2020,26.4176,19.9665,26.5728,30.2048,26.4703
28/12/2020,24.0712,20.1429,26.5725,30.2084,26.4818
24/12/2020,24.0926,18.0777,26.9959,30.1556,26.2839
23/12/2020,22.7719,16.9989,26.9604,30.0602,26.2196
22/12/2020,23.8494,17.0243,28.1207,29.7730,26.0420
21/12/2020,23.3826,20.4184,28.6836,30.4470,26.0416
18/12/2020,21.6008,21.9984,28.5742,30.5104,26.0231
17/12/2020,22.7973,23.0909,28.5651,30.5369,26.0258
16/12/2020,22.1387,23.2906,29.3349,30.5963,26.0048
15/12/2020,23.1148,20.7596,29.4945,30.4683,25.9089
14/12/2020,23.5545,31.8846,29.6703,30.4362,25.9134
11/12/2020,22.3721,34.7662,31.5297,30.4387,25.9345
10/12/2020,22.2122,36.4630,32.6026,30.3869,25.9308
09/12/2020,23.6081,36.4669,32.1264,30.1432,25.7743
08/12/2020,23.8458,37.1655,32.7823,30.0591,25.6934
07/12/2020,25.6268,35.7392,33.9647,29.6900,25.3926
04/12/2020,22.1055,33.7741,34.1289,29.3513,25.1956
03/12/2020,26.8700,35.1065,34.1332,29.3584,25.1585
02/12/2020,27.1695,35.9411,33.9270,29.2368,25.0789
01/12/2020,27.7382,35.2733,33.7821,29.1281,25.2432
30/11/2020,27.2551,29.1017,32.0323,27.9258,24.2801
27/11/2020,27.0825,23.8754,33.4186,27.2838,23.8143
26/11/2020,25.1559,26.1634,33.0686,27.0182,23.8449
25/11/2020,24.7693,26.0654,32.8721,27.4629,23.7477
24/11/2020,23.7619,29.1800,32.5228,27.2213,23.5359
23/11/2020,24.5169,30.2220,34.5771,27.1044,23.4102
20/11/2020,24.5594,29.4164,34.4981,26.9833,23.4116
19/11/2020,24.9377,28.4030,34.0456,26.8090,23.4370
18/11/2020,24.5655,28.8726,33.6803,26.5610,23.2690
17/11/2020,28.5541,30.8308,33.6708,26.5245,23.5439
16/11/2020,29.8588,30.8486,33.5986,26.6435,23.5229
13/11/2020,28.4034,35.5722,33.5526,26.6607,23.5316
12/11/2020,30.6234,35.9653,32.7005,26.0998,23.9959
11/11/2020,31.8444,33.0471,31.8825,25.8681,28.6395
10/11/2020,27.1887,34.2964,31.0874,25.1516,28.2693
09/11/2020,27.4556,38.6502,32.3400,24.8691,29.1897
06/11/2020,26.4279,40.9767,32.6553,24.9037,29.2057
05/11/2020,27.6602,41.2826,32.7483,24.9133,29.2459
04/11/2020,29.4896,38.9774,32.3102,24.4057,28.9822
03/11/2020,31.4054,38.0390,31.8206,24.1868,28.8584
02/11/2020,31.9876,38.7411,31.6640,24.0781,28.7790
30/10/2020,32.5491,41.5144,29.7783,22.7663,28.0735
29/10/2020,30.2596,38.4254,28.5553,22.1536,27.6964
