正股,恒安國際集團有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,30.3828,20.0452,25.1764,24.0899,23.7073
21/01/2021,30.7681,20.2649,25.2723,24.8248,23.7270
20/01/2021,30.6496,20.7595,25.4244,24.8252,23.9289
19/01/2021,31.4484,21.4026,26.0605,24.8079,23.9117
18/01/2021,31.5669,29.9440,25.9918,24.8968,23.8224
15/01/2021,28.8556,31.2043,26.0691,24.8195,24.3577
14/01/2021,29.4680,31.0567,26.0296,24.7754,24.3053
13/01/2021,30.7124,29.3517,25.5023,24.6056,24.2913
12/01/2021,31.6684,29.3140,27.8592,24.6052,24.3302
11/01/2021,32.1331,29.0050,27.6976,25.3607,24.2690
08/01/2021,30.5458,24.3414,26.6371,25.9218,24.0730
07/01/2021,30.4683,24.4365,26.8191,25.9144,24.0811
06/01/2021,29.4858,25.5538,26.7884,26.0277,24.0168
05/01/2021,30.0408,25.3246,26.4615,25.8607,24.4251
04/01/2021,28.8909,16.2537,23.7859,24.5446,23.4320
31/12/2020,26.9032,26.8981,23.3550,24.1860,23.1530
30/12/2020,26.9481,27.7585,23.5084,24.2379,23.4253
29/12/2020,27.4839,29.2660,23.7180,24.2116,23.5069
28/12/2020,27.5844,29.3846,23.9576,24.2082,25.1518
24/12/2020,26.9344,29.4005,24.0014,24.6012,25.9207
23/12/2020,27.5031,30.7880,24.0454,24.6053,26.5381
22/12/2020,27.9322,30.9915,27.2818,24.7519,26.5352
21/12/2020,27.2788,30.0977,26.9696,24.6168,26.4347
18/12/2020,24.8635,31.2152,26.8691,24.5341,26.3830
17/12/2020,25.7194,31.7118,26.8691,24.5354,26.3933
16/12/2020,23.4459,21.0205,23.5193,23.0710,25.1342
15/12/2020,23.8802,18.9318,23.1067,22.7324,25.0445
14/12/2020,23.5890,18.4173,22.9620,22.6427,24.9801
11/12/2020,23.1726,25.7659,23.4178,22.6589,25.2811
10/12/2020,24.3583,25.3306,23.5984,23.2541,25.2685
09/12/2020,24.2781,24.6408,23.3798,23.0715,25.1619
08/12/2020,24.7910,24.8311,24.7804,23.0675,25.1736
07/12/2020,24.9914,24.9068,24.6447,23.3027,25.2106
04/12/2020,24.8836,23.6114,23.9213,22.9696,25.0518
03/12/2020,25.8098,22.3778,24.1969,22.8574,25.0380
02/12/2020,27.5128,20.5701,23.8848,23.5273,25.1174
01/12/2020,28.4189,21.2111,23.8337,23.4638,25.1599
30/11/2020,27.1648,22.4041,23.8807,23.5741,25.1873
27/11/2020,27.9882,16.1895,21.3388,22.5284,24.5056
26/11/2020,28.9386,16.3299,23.2516,22.5784,24.8072
25/11/2020,29.0910,16.3225,25.6419,22.8220,24.8542
24/11/2020,28.3767,25.9738,25.4217,22.7837,27.5300
23/11/2020,27.9613,25.7603,25.6953,22.7053,27.5363
20/11/2020,27.3419,26.9378,25.6976,23.4544,27.5527
19/11/2020,26.9019,26.4453,25.6302,23.4378,27.8214
18/11/2020,26.8551,23.9102,25.1227,23.2458,27.7169
17/11/2020,27.2323,23.8867,25.1058,23.5809,28.2012
16/11/2020,28.6921,23.8091,24.9652,23.5857,28.2523
13/11/2020,26.9529,26.5071,24.8029,25.8375,28.5025
12/11/2020,28.3377,26.6372,25.4949,26.9681,28.7777
11/11/2020,29.3177,26.8153,25.4819,27.8572,29.1040
10/11/2020,27.4392,23.2296,22.3426,26.1631,28.1593
09/11/2020,27.9505,22.7837,22.3899,26.1624,28.1529
06/11/2020,28.5773,22.2112,22.3245,26.1491,28.1126
05/11/2020,29.1214,23.7939,22.3211,26.1509,28.1142
04/11/2020,30.4133,22.2980,22.8811,25.9336,28.1075
03/11/2020,31.4960,21.8016,22.5888,26.0163,28.1031
02/11/2020,32.7250,20.7220,22.3929,25.8807,28.1804
30/10/2020,32.3999,19.8345,22.0844,26.2322,28.1094
29/10/2020,30.7873,22.9239,23.1599,26.0991,28.0397
