正股,中國神華能源股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,35.1599,36.8589,27.3844,28.2493,26.0966
21/01/2021,31.3034,31.2884,25.6449,27.9623,25.4716
20/01/2021,33.0537,31.2182,25.5707,27.9556,25.5477
19/01/2021,34.2357,28.3805,27.0305,27.8632,25.4406
18/01/2021,35.5964,28.2646,27.9272,27.8593,25.7122
15/01/2021,31.6542,28.5065,27.9143,27.7414,25.9165
14/01/2021,34.0141,27.8727,28.0075,27.6995,25.9410
13/01/2021,31.1523,29.0539,27.9734,28.0605,25.9810
12/01/2021,30.3249,10.6748,24.0181,25.7922,24.4086
11/01/2021,28.2956,10.6754,23.9959,25.9374,24.4765
08/01/2021,28.6936,10.0927,24.5961,25.9260,24.8440
07/01/2021,26.8739,10.2952,24.5532,25.9131,24.8440
06/01/2021,24.7411,17.5603,25.1361,25.9454,24.8385
05/01/2021,24.0177,15.8221,25.9761,26.2322,24.7582
04/01/2021,23.5359,23.5018,26.0082,26.8597,24.7710
31/12/2020,23.6905,23.5018,26.7035,26.8553,24.7898
30/12/2020,25.3437,23.5018,26.7353,26.8465,24.7801
29/12/2020,28.5680,23.8823,26.7850,26.9729,25.0064
28/12/2020,28.2112,29.3359,27.8951,26.9444,24.9798
24/12/2020,27.3883,30.9051,29.3610,26.9471,25.1158
23/12/2020,27.7951,30.8342,29.4833,27.5522,25.1731
22/12/2020,28.4913,31.4872,31.8073,27.5372,25.2666
21/12/2020,29.3543,26.3035,31.6272,27.1317,24.7615
18/12/2020,29.7099,32.9158,31.7961,27.2045,24.9852
17/12/2020,24.8840,30.4486,30.9533,26.4964,24.5241
16/12/2020,25.5878,30.7407,31.1512,26.5397,24.6943
15/12/2020,27.2020,31.8424,31.1601,26.7994,24.7428
14/12/2020,26.1257,30.8368,30.9725,26.7421,24.8108
11/12/2020,26.2365,29.3489,29.3130,25.8902,24.1969
10/12/2020,25.0386,26.5772,29.5556,25.6531,24.0111
09/12/2020,24.0408,28.9102,29.5567,25.6645,24.0206
08/12/2020,24.3574,27.1643,30.3827,25.5362,23.9044
07/12/2020,22.1672,29.6834,30.4391,25.6913,24.0984
04/12/2020,21.7201,27.9926,29.1301,24.8245,23.3945
03/12/2020,22.8654,25.0239,28.2441,24.7741,23.2121
02/12/2020,23.4176,26.8997,27.8950,25.0793,23.1914
01/12/2020,22.7304,26.5772,27.8305,25.0864,23.3452
30/11/2020,23.8040,26.8352,28.6207,25.1636,23.4186
27/11/2020,23.4335,25.0285,27.4443,24.5664,23.1794
26/11/2020,27.1315,31.2024,27.5779,24.6208,23.1759
25/11/2020,27.2397,30.7946,27.3509,24.9712,23.3942
24/11/2020,26.6260,36.7793,27.3644,24.9896,23.4162
23/11/2020,26.6003,38.3230,27.0050,24.7761,23.3160
20/11/2020,24.3894,37.2771,26.8285,24.2912,22.9366
19/11/2020,24.6261,37.6907,28.0797,24.2681,23.0465
18/11/2020,25.2702,34.9976,27.2677,23.8370,22.7608
17/11/2020,28.8977,34.4856,27.1649,23.7836,23.5237
16/11/2020,27.9933,34.6260,27.5379,24.2175,23.5298
13/11/2020,25.8062,32.9537,26.4352,23.6316,23.0779
12/11/2020,27.2111,29.3828,24.7164,22.8987,22.4831
11/11/2020,28.5282,28.1617,25.7005,22.8652,23.7384
10/11/2020,26.4325,26.7368,23.0179,21.5747,23.6833
09/11/2020,23.1992,21.8696,22.1073,20.7429,24.6936
06/11/2020,23.8923,23.6024,22.1109,21.0732,24.6472
05/11/2020,21.6430,21.8437,21.5533,20.8816,24.5282
04/11/2020,23.0754,20.5453,21.2655,20.9930,24.5212
03/11/2020,24.8539,20.5930,22.0129,21.0698,24.6653
02/11/2020,26.2900,22.3702,22.2000,21.3286,24.7493
30/10/2020,24.8223,22.0966,22.1375,21.2888,25.1941
29/10/2020,23.4337,22.4354,21.5210,20.9420,25.0026
