正股,石藥集團

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.4304,44.0616,38.6349,34.5627,87.9381
21/01/2021,37.9834,41.1988,38.1801,34.2144,87.9058
20/01/2021,39.4307,42.0173,38.7356,34.3513,87.9131
19/01/2021,38.0123,38.9695,37.0336,33.6946,87.4957
18/01/2021,35.3568,23.3088,32.3814,31.0797,86.6750
15/01/2021,32.6376,23.3701,36.3697,31.0822,86.7172
14/01/2021,33.6570,22.6351,36.1875,31.1171,86.7844
13/01/2021,34.5921,22.3903,36.8119,31.6485,86.8517
12/01/2021,35.8724,30.7212,36.9447,33.2753,86.8536
11/01/2021,36.3842,33.1003,36.7718,105.1434,86.7655
08/01/2021,34.9182,31.3104,37.0526,105.1482,86.8173
07/01/2021,35.5195,31.5269,37.0240,105.0342,86.7476
06/01/2021,36.2948,31.8407,38.4048,105.1389,86.8893
05/01/2021,36.2447,29.6818,37.4271,104.8427,87.1389
04/01/2021,35.6603,33.5965,37.3390,104.8820,87.1424
31/12/2020,35.0431,39.6776,37.2901,104.8830,87.1486
30/12/2020,35.9882,40.8027,37.2878,105.2015,87.1743
29/12/2020,37.3760,45.4437,37.2204,105.1619,87.1445
28/12/2020,37.2320,40.2644,34.3943,104.5365,86.6419
24/12/2020,35.8652,40.1696,34.4838,104.5966,86.9083
23/12/2020,36.4018,42.9718,34.5706,104.5777,86.9454
22/12/2020,37.7305,43.6603,34.5666,104.6357,86.9514
21/12/2020,37.3771,44.2594,34.3744,104.6341,86.9666
18/12/2020,35.9269,44.0856,34.3101,104.7207,86.9973
17/12/2020,36.7464,41.0320,33.4514,104.6348,86.9709
16/12/2020,35.0024,46.0915,32.6735,104.0856,86.5951
15/12/2020,35.4988,45.1626,32.0176,103.8982,86.5115
14/12/2020,34.7081,40.3024,29.1224,103.2522,86.0743
11/12/2020,33.4346,38.4629,28.5755,103.1178,85.9853
10/12/2020,34.0221,38.5363,29.5365,103.2827,85.9824
09/12/2020,33.2321,37.8296,28.9761,103.3794,85.9351
08/12/2020,32.9493,37.6103,28.8031,103.4223,86.0017
07/12/2020,33.5044,40.4785,28.6189,103.4096,86.5350
04/12/2020,33.1480,40.4207,29.6255,103.4139,86.5738
03/12/2020,34.4444,40.2444,29.8318,103.4265,86.5746
02/12/2020,33.1368,21.7849,23.3074,102.4351,85.8695
01/12/2020,33.3707,21.6915,23.4865,102.4100,86.1228
30/11/2020,33.8928,20.6713,24.0872,102.4449,86.1681
27/11/2020,33.0617,21.0177,27.4884,102.4641,86.1722
26/11/2020,36.4763,22.6079,142.2468,102.3912,86.2573
25/11/2020,37.9035,22.3108,142.3553,102.5002,86.2317
24/11/2020,37.3987,22.1347,142.4828,102.5495,86.4583
23/11/2020,37.2839,12.7145,142.7834,102.6706,86.6267
20/11/2020,34.7505,13.1833,142.8594,103.3454,86.7092
19/11/2020,34.9506,15.4319,142.9399,103.3492,86.7129
18/11/2020,34.8917,23.5247,143.0034,103.3836,87.5555
17/11/2020,36.6758,23.4721,143.6414,103.4244,87.5753
16/11/2020,38.9296,23.2935,143.7232,103.4233,87.5755
13/11/2020,37.7217,23.0974,143.9548,103.4191,87.5810
12/11/2020,37.8734,27.8347,143.8364,103.6965,87.5341
11/11/2020,37.2958,27.7222,143.6945,103.7187,87.6249
10/11/2020,38.3132,27.6949,143.5898,103.7133,87.7038
09/11/2020,37.8796,28.3948,143.5102,103.7433,87.7012
06/11/2020,38.0688,31.2609,143.7396,103.7686,87.8324
05/11/2020,36.2320,31.3822,143.7670,103.8736,87.9973
04/11/2020,38.0227,22.5404,142.8784,103.4822,88.2327
03/11/2020,39.9824,23.5916,142.8416,103.4829,88.3399
02/11/2020,42.3161,23.6969,142.6176,103.4340,88.4161
30/10/2020,40.4511,30.7288,142.8330,103.4884,88.4371
29/10/2020,38.1217,240.1427,143.2068,103.4076,88.3366
