正股,國藥控股

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,36.6529,24.5255,28.1898,28.8060,29.8416
21/01/2021,36.3803,26.1765,28.2716,28.8015,29.8680
20/01/2021,36.8401,28.1714,28.2559,29.5460,29.8590
19/01/2021,36.7319,28.1857,28.2757,31.1457,29.8465
18/01/2021,38.1533,26.8715,27.8529,30.9484,29.7930
15/01/2021,35.5644,25.8068,27.5386,31.9501,29.7344
14/01/2021,35.6843,30.2139,27.3869,32.0004,29.6961
13/01/2021,34.7862,29.8165,26.6682,31.8797,29.4961
12/01/2021,36.2315,29.4068,27.3876,32.4905,29.9185
11/01/2021,37.4254,27.2278,26.4707,32.2004,29.7133
08/01/2021,36.3083,26.7930,26.1461,32.3143,29.6419
07/01/2021,37.8026,26.6481,30.6554,32.1570,29.5873
06/01/2021,38.9364,24.4732,30.9743,31.8772,29.5459
05/01/2021,38.9289,25.1024,31.0557,31.8490,29.5685
04/01/2021,39.6004,24.7521,31.0058,31.7962,29.5606
31/12/2020,38.9018,26.4604,31.0075,31.8221,29.5533
30/12/2020,36.4928,21.8321,29.6034,31.2455,29.0250
29/12/2020,36.7478,33.1819,28.9420,31.1371,29.0225
28/12/2020,37.5160,33.4894,29.3101,31.3520,29.0251
24/12/2020,36.6665,33.8628,29.5836,31.1305,29.3342
23/12/2020,37.0791,33.3439,29.4892,31.1148,29.4946
22/12/2020,37.8937,33.6750,30.6933,31.1690,29.4170
21/12/2020,37.1095,33.6569,32.1453,32.0429,29.4403
18/12/2020,35.0965,33.4384,32.3099,32.0737,29.5627
17/12/2020,36.9347,33.3291,32.6592,32.6095,29.6345
16/12/2020,35.8173,30.3099,32.3214,32.6777,29.4561
15/12/2020,38.0667,29.8793,32.3488,32.5647,29.3369
14/12/2020,36.4429,15.8294,28.1081,30.6206,28.0136
11/12/2020,36.9784,18.7949,27.6960,30.6539,27.9090
10/12/2020,38.2859,17.6261,29.8794,30.6070,27.8996
09/12/2020,38.5250,17.6521,29.8615,30.8572,28.2974
08/12/2020,34.5616,33.8469,29.7893,30.8618,28.2810
07/12/2020,34.9408,36.2500,31.1765,30.8560,28.2738
04/12/2020,34.6593,36.6608,33.9598,30.8268,28.2779
03/12/2020,35.2025,36.3082,33.6784,30.8802,28.3091
02/12/2020,36.5665,36.2374,35.1468,30.8751,28.2650
01/12/2020,36.8167,36.3516,35.2755,30.9132,28.5143
30/11/2020,37.7128,36.1491,35.6511,30.8992,29.9497
27/11/2020,37.8242,34.0130,36.1343,31.1666,29.6358
26/11/2020,38.2796,36.1641,36.5977,31.3329,29.6189
25/11/2020,40.6247,36.3717,37.0619,31.3375,29.6274
24/11/2020,33.7979,26.9230,33.9371,29.3019,28.2298
23/11/2020,33.9207,28.4668,32.9284,29.0730,29.4714
20/11/2020,33.7028,27.4389,32.5548,29.0536,29.4090
19/11/2020,33.8330,27.8006,32.5466,29.0766,29.6494
18/11/2020,33.8909,26.1795,32.3428,29.0478,29.6314
17/11/2020,35.0126,28.9608,32.3431,28.9418,29.9915
16/11/2020,36.4856,28.4383,32.3542,29.2434,30.1787
13/11/2020,35.5518,28.9156,32.9275,29.1054,30.1461
12/11/2020,35.4666,33.6741,32.0002,29.3807,30.2593
11/11/2020,36.7319,33.6038,31.8552,29.6008,30.8985
10/11/2020,35.3536,30.9296,31.6158,28.9974,30.5010
09/11/2020,34.4380,31.2066,32.4346,28.2743,30.0793
06/11/2020,33.9112,38.7521,32.3870,28.3243,29.9742
05/11/2020,32.7230,38.2345,33.0236,28.1735,29.8885
04/11/2020,34.3576,42.6057,33.3958,28.0997,29.8125
03/11/2020,36.5591,40.8454,33.2992,27.9734,29.9481
02/11/2020,36.7948,42.4389,33.1620,27.9916,30.1261
30/10/2020,36.4979,46.7824,33.4398,28.0039,30.8289
29/10/2020,36.5191,42.4477,31.7777,27.0715,30.3023
