正股,華潤置地有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.5527,59.8307,41.6758,43.5639,40.7420
21/01/2021,39.2712,55.7607,40.5681,43.1268,40.4099
20/01/2021,40.5050,53.8567,40.8484,44.3736,40.3906
19/01/2021,39.7242,54.9405,42.0637,44.4435,40.4863
18/01/2021,34.7488,27.4068,30.9415,39.7110,36.9311
15/01/2021,32.5540,30.3232,31.0616,39.4987,36.8574
14/01/2021,34.0628,30.5693,30.9869,39.4837,37.1022
13/01/2021,34.8315,35.3539,31.3161,39.4402,37.0708
12/01/2021,36.3630,35.6890,31.2697,39.3115,38.2861
11/01/2021,38.7425,35.6507,32.1746,39.3141,38.2887
08/01/2021,35.9217,31.0542,29.9932,38.6540,37.7891
07/01/2021,36.7936,31.3181,30.1902,38.6363,37.8293
06/01/2021,35.0988,31.2878,30.2141,39.1943,37.8288
05/01/2021,35.0229,32.4581,30.3191,39.1751,39.1233
04/01/2021,33.8650,32.4581,31.2577,39.1729,39.3965
31/12/2020,33.2091,27.5724,30.2543,38.7677,39.1973
30/12/2020,33.0359,27.4957,32.1794,39.3702,39.3577
29/12/2020,32.9944,20.3538,30.3345,38.6137,39.0772
28/12/2020,33.6655,18.1068,31.5915,40.3523,38.9575
24/12/2020,33.3669,20.9573,31.8661,40.6698,38.9829
23/12/2020,33.5648,29.9803,31.9110,40.3135,38.7601
22/12/2020,35.6093,29.9749,37.7923,40.6089,38.7432
21/12/2020,35.2344,32.1469,38.7348,40.6090,38.8356
18/12/2020,32.4298,34.2804,38.5346,40.5707,38.7705
17/12/2020,32.9252,34.3901,38.5927,40.5687,39.0257
16/12/2020,32.7201,35.6754,47.7251,40.6351,39.0242
15/12/2020,33.2224,35.0615,47.6821,40.6553,39.0441
14/12/2020,34.3618,37.0896,48.0960,40.9396,39.0287
11/12/2020,31.8701,37.3662,48.1336,41.5005,39.0224
10/12/2020,33.7642,39.5659,47.8734,41.5604,39.0226
09/12/2020,32.6215,29.0086,45.8679,40.3772,38.2261
08/12/2020,33.3098,29.2022,45.9135,40.3570,38.2044
07/12/2020,33.3810,28.7304,47.9197,40.2213,38.0257
04/12/2020,33.7293,26.1872,47.2240,39.8806,37.6675
03/12/2020,34.9738,28.7837,47.4414,39.8352,37.6333
02/12/2020,35.1881,27.0171,46.9658,39.6563,37.3699
01/12/2020,36.0636,34.3594,46.9928,40.0376,37.5914
30/11/2020,36.2978,33.8770,46.7330,39.8866,37.5921
27/11/2020,37.2921,37.6380,46.5389,41.5798,38.1289
26/11/2020,37.2991,34.1073,45.9056,41.2627,38.2373
25/11/2020,38.7641,36.5480,46.2563,41.3225,38.1698
24/11/2020,39.1074,51.9545,46.0509,41.2398,38.0775
23/11/2020,38.9551,53.8738,46.9292,41.2396,38.1686
20/11/2020,38.9405,53.4562,46.7694,42.8786,38.3042
19/11/2020,37.3433,50.6372,45.9017,42.8141,37.9594
18/11/2020,38.6316,66.9365,45.8885,42.9227,38.0217
17/11/2020,39.7908,66.0323,45.7554,42.5633,37.6341
16/11/2020,39.6720,66.3145,45.6751,42.8212,37.7151
13/11/2020,38.9416,61.5857,47.1513,42.0742,37.2484
12/11/2020,39.4791,60.6602,47.3976,41.8587,37.0767
11/11/2020,40.7284,53.4143,45.7653,41.0362,37.6557
10/11/2020,36.3787,49.4792,43.1824,39.0790,36.4776
09/11/2020,34.3559,58.6021,42.6543,38.8930,38.3772
06/11/2020,35.8053,59.1569,42.9543,38.9591,38.4672
05/11/2020,37.6464,60.2584,42.9400,39.2903,38.5508
04/11/2020,33.6630,30.9126,32.6840,34.3153,35.4840
03/11/2020,36.5168,30.2806,32.8445,34.3793,35.5127
02/11/2020,37.1565,24.7861,32.5253,34.0587,35.4029
30/10/2020,35.0644,25.2444,34.1420,34.0262,35.6846
29/10/2020,33.4337,25.6078,34.7777,34.2112,35.6263
