正股,長江實業地產有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,30.7805,29.2788,22.8578,27.9736,24.8663
21/01/2021,30.7327,25.4185,22.2323,27.6999,24.5445
20/01/2021,30.7648,25.7537,22.3061,27.9153,24.5426
19/01/2021,30.1566,25.8867,22.4362,27.7217,24.3983
18/01/2021,26.2521,16.5678,18.6187,26.4932,23.4028
15/01/2021,23.7260,17.0230,18.6192,26.4823,23.4233
14/01/2021,25.8717,16.8180,18.7529,26.5243,23.5908
13/01/2021,27.2631,17.4431,18.9667,26.5226,23.5950
12/01/2021,28.2237,18.7716,20.6003,26.5275,23.5982
11/01/2021,27.6781,16.2456,19.8546,26.7263,23.3443
08/01/2021,25.8122,15.2890,19.8662,26.6577,23.3203
07/01/2021,26.8224,15.2949,19.7631,26.6425,23.3017
06/01/2021,26.9178,19.3549,20.3627,26.6299,23.4522
05/01/2021,26.4206,18.5430,20.0906,26.4401,23.3046
04/01/2021,24.7699,19.0249,19.6092,26.3570,23.2110
31/12/2020,24.1875,19.0316,19.2480,26.4377,23.2984
30/12/2020,24.2584,18.7167,20.0967,26.4632,23.2978
29/12/2020,24.3158,18.7696,21.9201,26.3880,23.3164
28/12/2020,24.3083,18.7899,21.8659,26.2934,23.2788
24/12/2020,23.8280,18.4164,21.8224,26.4254,23.2974
23/12/2020,24.3921,19.8875,22.1835,26.4246,23.3334
22/12/2020,25.3531,22.0379,25.4927,26.4318,23.3131
21/12/2020,25.0534,20.5662,31.9711,26.0402,23.0732
18/12/2020,21.1257,21.1772,31.7611,25.9052,24.1197
17/12/2020,23.9272,20.8645,31.3070,25.7300,24.0033
16/12/2020,24.2537,19.7208,31.6036,26.0421,23.8629
15/12/2020,24.5875,20.2236,31.6057,26.3856,26.7907
14/12/2020,23.3063,15.1872,31.4839,25.8587,26.4709
11/12/2020,21.8357,21.8135,31.2759,25.8800,26.9195
10/12/2020,21.7578,22.4261,31.6800,25.9756,27.1928
09/12/2020,21.9755,22.0527,31.7537,25.9164,27.1723
08/12/2020,22.4019,20.1682,32.2474,25.7971,27.1004
07/12/2020,21.8751,21.8837,32.5613,25.7518,27.0746
04/12/2020,21.6626,20.6692,31.9309,25.4724,27.2028
03/12/2020,22.3975,20.6562,31.9547,25.4965,27.4459
02/12/2020,22.7647,20.6718,31.9373,25.5179,27.5843
01/12/2020,23.4056,22.5601,32.1132,25.7530,27.5669
30/11/2020,23.0697,27.3594,32.1050,25.7044,27.5336
27/11/2020,24.5463,20.5827,30.5009,24.9497,27.4845
26/11/2020,24.5533,21.4698,31.5846,24.8743,27.4271
25/11/2020,25.4806,22.9926,31.3778,24.8060,27.4761
24/11/2020,25.0283,29.9110,31.3895,24.8062,27.5230
23/11/2020,25.3945,43.3462,31.2557,24.9013,27.4595
20/11/2020,25.2146,42.6532,31.1194,24.8022,27.4110
19/11/2020,24.7368,42.0728,31.1337,24.8030,27.4064
18/11/2020,25.5880,41.9230,31.2535,24.9944,27.4064
17/11/2020,27.3606,42.8230,31.0182,24.7504,27.3759
16/11/2020,27.5595,43.4120,29.9834,24.1180,26.9825
13/11/2020,25.7755,43.6679,29.9803,24.1182,26.9621
12/11/2020,26.3239,44.0833,30.1758,24.1284,27.2716
11/11/2020,29.9381,41.8374,29.6221,23.9617,27.6713
10/11/2020,25.2872,41.9920,27.4852,22.3631,26.8679
09/11/2020,21.1371,27.5260,18.7804,17.0026,24.3151
06/11/2020,21.1643,27.5080,18.7355,19.3239,24.3205
05/11/2020,22.5152,27.5376,18.8548,19.3980,24.4422
04/11/2020,21.7317,23.6639,18.1761,18.4487,23.9648
03/11/2020,23.6779,23.9042,18.8775,23.4795,23.9846
02/11/2020,23.6264,13.0126,15.0008,22.0971,23.0956
30/10/2020,24.3008,12.6637,14.9352,23.1071,23.0885
29/10/2020,23.0777,15.7568,15.6013,23.6801,23.1636
