正股,兗州煤業股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.2910,36.1809,33.8020,33.9599,41.7389
21/01/2021,35.9872,27.1635,31.4469,33.3555,41.0837
20/01/2021,35.4551,25.1520,30.7471,35.8088,40.8841
19/01/2021,35.8187,22.5347,30.6491,35.8425,40.8139
18/01/2021,35.9372,23.6154,32.1141,35.9789,40.7266
15/01/2021,33.5959,23.2694,32.2608,35.9435,40.7172
14/01/2021,34.0656,22.7622,32.4518,35.8777,40.7146
13/01/2021,34.3675,19.3536,33.0719,36.1861,40.5655
12/01/2021,33.7659,16.9731,34.8259,35.9347,40.3456
11/01/2021,34.1236,16.7159,34.7478,36.1151,40.3553
08/01/2021,33.1259,15.9209,35.0391,36.1180,40.3182
07/01/2021,32.9929,13.7057,34.9858,35.9633,40.2091
06/01/2021,32.9622,28.6121,35.7212,35.9170,40.1934
05/01/2021,33.0678,27.7176,39.8915,36.7969,40.1644
04/01/2021,33.5834,42.1944,39.7895,36.7071,40.1434
31/12/2020,32.7887,42.5977,39.7991,36.7102,40.1442
30/12/2020,33.4910,42.8955,39.8440,36.9465,40.1540
29/12/2020,34.1527,42.8941,39.8192,47.0345,40.4535
28/12/2020,35.3180,43.8350,40.2297,46.9742,40.3951
24/12/2020,34.2490,45.9771,40.4604,46.9786,40.4092
23/12/2020,34.1154,45.7549,40.3963,47.4638,40.7836
22/12/2020,36.3221,46.3761,41.6366,47.6591,40.7663
21/12/2020,36.3196,36.0495,38.3950,46.3776,39.7688
18/12/2020,39.5822,37.0105,38.3930,46.7740,39.9198
17/12/2020,32.4796,28.4303,35.2534,45.5060,38.8798
16/12/2020,30.9060,28.9601,35.0606,45.4287,38.8265
15/12/2020,31.1460,30.7174,35.1082,45.9088,38.8330
14/12/2020,30.5625,35.1955,35.3190,45.9071,38.8239
11/12/2020,32.0822,40.8293,35.1787,45.7131,38.6481
10/12/2020,30.7786,37.6484,34.6422,45.4580,38.4437
09/12/2020,31.3333,39.3650,34.5113,45.4553,38.4341
08/12/2020,29.2520,38.5120,35.6996,45.3572,38.3543
07/12/2020,28.9506,42.0048,40.5966,45.3478,38.3899
04/12/2020,29.2172,52.6533,40.5980,45.2856,38.3611
03/12/2020,30.0210,48.2148,39.2455,44.6303,37.9200
02/12/2020,30.1800,46.6423,38.6592,44.5065,37.7995
01/12/2020,30.8639,46.2804,38.5781,44.4695,37.9433
30/11/2020,28.5187,44.5786,39.3523,44.0976,37.6704
27/11/2020,31.2007,35.7627,36.3230,43.0036,36.8377
26/11/2020,31.7443,37.4545,36.4724,43.0233,37.2872
25/11/2020,33.3503,37.6930,36.7633,42.9347,38.1058
24/11/2020,33.8990,36.6552,35.8695,42.6955,38.0573
23/11/2020,33.2679,36.0700,35.4668,42.4483,38.0204
20/11/2020,29.0049,24.1973,33.4016,40.6339,36.8252
19/11/2020,28.6597,23.9561,33.3728,40.6527,36.8539
18/11/2020,29.0556,23.1867,33.2575,40.6478,37.1988
17/11/2020,30.5101,24.1560,33.6428,40.6431,38.1943
16/11/2020,32.0052,23.9008,53.9451,41.0977,38.2050
13/11/2020,30.0408,27.1033,53.5786,40.7664,37.9694
12/11/2020,30.4326,25.0950,53.4101,40.6993,38.1094
11/11/2020,31.8904,24.3601,54.2653,41.3125,40.0420
10/11/2020,26.9613,26.0140,53.7188,40.6114,40.1955
09/11/2020,27.5707,42.8967,53.6232,40.4634,40.8320
06/11/2020,27.6056,43.5241,54.1789,40.7101,40.8394
05/11/2020,29.5270,45.3474,54.1664,40.6797,40.7748
04/11/2020,31.2266,45.3533,53.9434,40.5628,40.9621
03/11/2020,32.7819,45.2118,54.9638,40.5855,46.5638
02/11/2020,33.0394,47.3503,54.6532,40.3489,46.4248
30/10/2020,32.4508,46.4948,54.4492,40.1767,46.4513
29/10/2020,32.4478,47.2282,54.5027,40.2248,46.5099
