正股,中國生物製藥

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,43.0442,48.0008,41.6289,43.6107,38.0537
21/01/2021,45.6681,46.6922,41.4042,43.6938,38.0883
20/01/2021,42.5795,45.0251,40.4989,43.0359,37.5186
19/01/2021,37.9842,33.8131,39.4486,41.4197,36.2486
18/01/2021,34.6525,19.8360,37.3165,40.2279,35.3444
15/01/2021,33.0549,26.6952,37.3522,40.2339,35.4996
14/01/2021,33.5632,26.6971,38.7562,40.2294,35.5824
13/01/2021,34.7540,27.0042,53.5736,40.2881,35.5820
12/01/2021,35.3114,27.1749,53.5523,40.0319,36.0291
11/01/2021,36.5454,26.1265,53.3987,40.1338,35.9725
08/01/2021,37.5611,25.0564,53.2666,40.4127,36.2757
07/01/2021,35.6829,26.1111,53.2342,40.3089,36.3171
06/01/2021,33.6404,24.8001,52.9352,40.1803,36.1921
05/01/2021,34.0845,25.4775,53.1230,40.2577,36.2343
04/01/2021,35.8107,24.9235,53.0992,40.2299,36.7599
31/12/2020,31.7012,45.0041,52.6454,39.9992,36.6825
30/12/2020,32.5699,45.8823,52.6844,40.4525,36.6793
29/12/2020,37.4180,49.6947,52.6484,40.4674,36.7828
28/12/2020,35.0739,49.3913,52.1550,40.1296,36.5180
24/12/2020,33.3260,50.5160,52.1518,40.2535,36.7567
23/12/2020,33.8285,50.7192,52.2110,40.2530,36.8136
22/12/2020,36.3037,49.4370,52.0311,40.3420,36.7383
21/12/2020,35.8887,49.7801,52.1846,40.3620,36.7304
18/12/2020,36.1145,50.8064,52.0870,40.6774,36.8211
17/12/2020,39.2357,50.4183,52.0697,40.7282,36.8241
16/12/2020,35.1663,37.7421,47.4711,37.4563,34.8031
15/12/2020,35.1258,42.4460,46.9385,37.0464,34.6348
14/12/2020,33.4820,70.4793,44.5793,35.2015,33.3147
11/12/2020,31.5848,73.1075,44.6123,35.1895,33.2820
10/12/2020,32.6058,73.2223,44.6694,35.3837,33.2659
09/12/2020,33.8088,73.2749,44.6701,35.4447,33.2797
08/12/2020,34.7732,73.2635,45.2639,35.6760,33.2724
07/12/2020,33.7742,73.3680,45.2554,35.6434,33.4172
04/12/2020,31.9699,66.4099,42.7129,34.1237,32.3919
03/12/2020,33.6322,67.4925,42.7041,34.1415,32.3938
02/12/2020,33.2536,67.9176,42.5241,34.2083,32.6220
01/12/2020,35.9433,67.0644,41.7172,33.7719,35.3595
30/11/2020,36.0596,21.9635,20.6090,22.3403,29.8533
27/11/2020,32.1279,15.4042,19.7584,23.3724,29.7880
26/11/2020,32.6721,15.4027,20.4750,23.3863,32.1139
25/11/2020,33.1737,16.3603,21.6875,24.1518,75.5818
24/11/2020,32.4891,16.1484,21.5738,24.3796,76.0616
23/11/2020,32.4367,17.8103,21.7843,24.3819,76.3019
20/11/2020,32.2883,17.1858,21.7102,24.3403,76.3293
19/11/2020,32.2461,15.5049,21.4442,25.4238,76.2853
18/11/2020,32.2366,20.3687,21.7882,25.7658,76.2314
17/11/2020,30.9081,20.8815,23.4852,25.7363,76.3717
16/11/2020,31.4561,22.7213,23.6069,25.9800,76.4172
13/11/2020,31.0182,23.8526,23.5826,25.9605,76.4854
12/11/2020,32.2945,25.1715,24.0155,26.4789,76.6406
11/11/2020,31.6385,25.1531,23.8739,26.5387,76.8496
10/11/2020,32.4007,26.5957,24.5237,26.5495,76.8826
09/11/2020,32.5765,25.6559,24.2880,26.3927,76.9228
06/11/2020,32.1771,25.9072,25.5375,26.6553,76.9033
05/11/2020,33.3083,26.0913,25.7145,26.6793,76.9134
04/11/2020,34.7376,22.1532,24.4808,26.8194,76.7398
03/11/2020,36.6902,21.4750,24.2514,26.9510,76.6929
02/11/2020,37.8684,18.1243,23.0751,26.4082,76.8961
30/10/2020,37.5713,19.7256,22.9980,26.3049,76.9601
29/10/2020,36.3595,20.7849,23.4338,26.2133,77.0367
