正股,中國鐵建股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,39.0984,45.9143,44.5596,43.8919,40.0924
21/01/2021,43.2944,40.9577,44.0161,43.4794,39.7681
20/01/2021,46.1227,42.1994,43.6782,43.6407,39.6131
19/01/2021,47.6710,59.4331,44.1909,45.9026,39.6131
18/01/2021,53.2679,59.4611,44.1809,45.8122,39.5336
15/01/2021,52.2229,60.3577,42.9143,45.3123,39.0961
14/01/2021,59.7290,58.0822,42.3875,45.1525,38.9625
13/01/2021,53.1777,58.8375,42.6650,45.4211,39.0753
12/01/2021,50.4043,56.4812,41.0818,44.1899,38.1320
11/01/2021,47.5508,54.9630,39.5272,43.5837,37.6217
08/01/2021,44.7300,54.1786,38.7401,43.6871,37.6878
07/01/2021,43.7772,54.0386,38.7974,43.6893,37.6910
06/01/2021,46.3915,52.7701,38.1700,43.3177,37.6881
05/01/2021,40.0085,17.8925,24.6159,38.3927,33.8899
04/01/2021,37.2674,23.6363,23.8252,38.2391,33.7886
31/12/2020,35.1643,29.0696,24.5981,38.2238,33.7828
30/12/2020,36.2293,29.8859,24.9539,38.3680,33.9724
29/12/2020,37.3045,30.1587,25.9905,38.3567,33.9637
28/12/2020,37.1411,30.6295,26.5979,38.3199,34.0260
24/12/2020,35.6130,31.5662,28.3549,38.4179,34.6504
23/12/2020,35.8020,30.4945,28.7805,38.8469,35.7272
22/12/2020,36.2140,30.7147,45.6171,38.8612,35.7190
21/12/2020,33.2099,30.3339,46.0606,38.7518,35.9962
18/12/2020,31.9055,28.4984,45.8828,38.8496,35.9348
17/12/2020,30.8307,23.8793,44.6038,38.0783,35.3448
16/12/2020,28.5658,14.6942,44.2562,37.6782,35.3012
15/12/2020,27.8611,15.1344,44.0200,38.2500,35.1970
14/12/2020,29.7967,20.5684,44.0233,38.1671,35.1510
11/12/2020,28.4834,23.5698,44.0950,38.1404,35.1617
10/12/2020,28.0459,24.3400,43.7874,37.9471,35.2045
09/12/2020,28.7478,24.9925,43.7716,37.9398,35.2574
08/12/2020,28.3233,24.6679,43.4824,37.7294,35.1058
07/12/2020,29.5224,24.3383,44.0640,37.6626,35.1731
04/12/2020,29.5323,24.9843,48.3047,37.4435,35.0387
03/12/2020,31.1920,24.9033,48.1392,37.3796,34.9933
02/12/2020,32.6247,27.8661,48.2549,37.4233,35.0087
01/12/2020,32.9647,28.5412,48.4672,37.5060,35.4441
30/11/2020,31.5764,28.7444,48.7430,37.5019,35.3136
27/11/2020,34.1210,25.5603,47.4855,36.8951,34.8914
26/11/2020,34.8542,31.3413,47.5571,36.8880,34.9857
25/11/2020,35.1877,33.1398,48.4328,37.3832,35.8703
24/11/2020,35.7917,70.8019,48.4290,37.3811,35.8642
23/11/2020,36.6332,71.1903,48.2327,37.7316,37.0144
20/11/2020,35.7767,70.9110,48.2788,37.6936,36.9494
19/11/2020,37.1781,70.3724,48.0930,37.6640,36.9037
18/11/2020,35.9077,68.3542,47.3072,37.2732,36.6281
17/11/2020,38.6857,68.5720,47.4237,37.4596,37.4117
16/11/2020,36.4878,68.3350,47.1990,37.2560,37.2730
13/11/2020,38.9725,66.9877,46.4676,37.0501,37.0644
12/11/2020,38.8195,61.5970,44.9339,37.1069,36.4566
11/11/2020,45.0514,56.9113,44.0904,37.9638,40.9433
10/11/2020,29.9894,18.4646,30.3420,29.8177,36.5026
09/11/2020,30.2554,21.5182,30.0868,30.1055,36.8041
06/11/2020,29.9537,42.3213,30.6921,30.1055,37.0412
05/11/2020,29.7397,42.6663,30.8871,30.0870,37.7939
04/11/2020,30.3096,42.1895,30.4447,30.2490,37.8860
03/11/2020,32.8660,43.0062,32.1391,30.2562,38.0986
02/11/2020,33.4579,44.4918,32.0035,30.1868,38.3349
30/10/2020,34.0047,44.1313,31.7772,30.1446,38.3419
29/10/2020,33.6396,44.3823,31.7804,30.4450,38.3443
