正股,比亞迪股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,67.1431,53.8336,61.8785,81.6583,79.7416
21/01/2021,67.0354,53.5038,62.1727,82.1045,80.3167
20/01/2021,60.4083,58.0294,62.2848,82.3255,80.3452
19/01/2021,57.1788,57.2305,61.5724,83.6220,80.6978
18/01/2021,60.2811,58.4998,61.4087,83.8773,80.9474
15/01/2021,63.3645,66.6902,59.3369,83.2041,80.5181
14/01/2021,66.2119,64.9094,65.0516,84.5424,80.8279
13/01/2021,71.4632,56.2326,63.8538,84.0884,80.5866
12/01/2021,76.3734,65.3754,64.7687,84.6410,80.6911
11/01/2021,75.7492,62.6538,64.9704,84.5755,83.0098
08/01/2021,72.3631,64.2005,63.1980,84.0775,82.5879
07/01/2021,71.1516,64.2427,64.3044,84.0739,82.6809
06/01/2021,68.2901,73.9998,62.8526,84.1155,82.4705
05/01/2021,73.6577,87.1558,66.1623,84.6325,82.3012
04/01/2021,75.9581,87.1913,67.5045,85.1300,82.2981
31/12/2020,62.5498,76.6569,62.9986,83.3614,81.1273
30/12/2020,60.2474,74.8761,62.7403,83.1820,80.9986
29/12/2020,60.7922,75.1747,64.9772,83.2025,81.2337
28/12/2020,61.5457,71.6716,64.0545,85.5639,80.8375
24/12/2020,53.0955,71.5161,63.9004,85.5578,80.8134
23/12/2020,58.8741,71.1162,71.8290,85.2481,80.7308
22/12/2020,58.5019,71.5767,86.9629,85.2570,80.7145
21/12/2020,65.0065,59.6455,86.7015,84.3937,79.7239
18/12/2020,53.3053,26.7017,80.3211,81.7642,78.1610
17/12/2020,54.6810,26.9538,80.3255,81.9842,78.2520
16/12/2020,55.2499,26.9080,91.6116,83.9644,78.4728
15/12/2020,57.1205,50.8286,91.5537,83.9576,78.5836
14/12/2020,59.3622,53.7677,91.7450,84.5132,78.5525
11/12/2020,57.0545,51.7768,97.7730,85.1261,78.4701
10/12/2020,58.0967,51.9570,97.9115,87.9858,78.6336
09/12/2020,56.3789,51.5267,98.4624,87.8059,78.4504
08/12/2020,58.9190,53.5363,99.2122,88.4507,78.3532
07/12/2020,62.4351,51.0183,99.5206,88.4571,78.5211
04/12/2020,63.4139,69.6154,102.0798,89.1750,78.5340
03/12/2020,63.4939,75.9406,102.6128,89.6026,78.6467
02/12/2020,71.8965,76.9379,102.6372,89.7144,78.7335
01/12/2020,74.4511,64.0999,101.4692,88.1071,79.1116
30/11/2020,75.1432,70.4044,101.5291,88.2707,79.7335
27/11/2020,76.2543,69.1829,101.8792,88.0609,80.3236
26/11/2020,78.1062,69.3282,101.6292,91.0894,80.2059
25/11/2020,78.5416,88.2133,101.6840,90.9476,82.0408
24/11/2020,79.8855,125.8287,100.6716,90.4934,81.7174
23/11/2020,80.7387,130.5044,101.2531,90.5178,84.9518
20/11/2020,76.8399,122.5619,100.8611,89.5343,84.5325
19/11/2020,71.8682,117.2375,100.8689,89.1340,85.5562
18/11/2020,72.3366,142.5614,100.4630,88.7605,88.6977
17/11/2020,77.0685,141.4247,100.4507,88.7169,88.6960
16/11/2020,81.5942,138.7085,98.5244,87.9369,88.0338
13/11/2020,77.1040,150.1019,102.5899,87.7920,88.0821
12/11/2020,77.0734,150.8246,102.6270,87.8628,88.1042
11/11/2020,76.6565,140.3369,97.8494,85.2934,86.4969
10/11/2020,75.1878,105.5766,82.5423,77.1096,83.7580
09/11/2020,79.6131,93.5590,80.8070,75.5519,82.8624
06/11/2020,81.4555,107.4566,80.7970,76.0527,82.8776
05/11/2020,83.9131,104.5293,80.1978,75.9863,82.7735
04/11/2020,74.2334,83.6119,75.8321,71.1476,79.6767
03/11/2020,75.9153,88.8509,75.7084,71.3326,79.6456
02/11/2020,80.4335,87.3881,75.9574,71.0083,79.4725
30/10/2020,71.1159,76.3027,70.8191,67.4053,77.3777
29/10/2020,69.7485,75.0249,76.2889,67.4583,77.3101
