正股,中國農業銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,24.3959,21.5548,18.7217,27.6685,28.4545
21/01/2021,25.8030,12.5023,16.4666,27.1842,27.9796
20/01/2021,25.8924,12.5023,16.8459,27.8993,28.0256
19/01/2021,26.1845,9.7146,16.8727,27.9315,28.0478
18/01/2021,28.8310,9.8628,16.7624,27.9447,28.7201
15/01/2021,27.1965,13.3829,18.2165,28.1410,28.7277
14/01/2021,27.3540,14.7508,18.4296,28.4525,28.6782
13/01/2021,28.1203,15.0796,20.1079,28.8982,28.6782
12/01/2021,29.2644,15.4172,20.6887,30.0645,28.8287
11/01/2021,28.5403,17.5272,22.9961,30.0855,28.9130
08/01/2021,28.0983,16.7377,22.5351,29.9909,29.4003
07/01/2021,28.3601,18.5524,23.4704,29.9442,29.3643
06/01/2021,27.0274,18.4245,24.6165,31.1943,29.4312
05/01/2021,26.6092,18.3625,26.4307,31.1347,29.3487
04/01/2021,27.2354,20.1315,26.9560,31.2018,29.3437
31/12/2020,26.0461,19.1791,27.2699,31.0830,29.3470
30/12/2020,27.0885,18.2503,27.1156,30.9633,29.3503
29/12/2020,26.7685,19.2571,27.1144,31.0086,29.3563
28/12/2020,27.3193,18.2689,26.9199,30.9865,29.3012
24/12/2020,25.8264,13.9499,27.5017,31.5732,29.0950
23/12/2020,25.3626,13.1137,27.2374,32.1666,29.1384
22/12/2020,26.3731,15.1495,28.2063,32.0773,29.1062
21/12/2020,25.7348,14.8208,28.2035,32.4170,29.1256
18/12/2020,23.5655,15.0140,28.9109,32.4913,29.1256
17/12/2020,22.6984,15.3385,28.7921,32.3384,29.0209
16/12/2020,23.3113,18.2562,29.2662,32.6459,29.0454
15/12/2020,25.1737,18.9743,29.3341,32.7590,29.0668
14/12/2020,24.5728,25.0694,29.2025,32.6104,28.9709
11/12/2020,24.5894,26.0224,34.3413,32.5925,28.9714
10/12/2020,25.2405,32.2466,35.1133,32.5997,29.0493
09/12/2020,25.9904,31.2124,34.6705,32.3479,28.9546
08/12/2020,26.5424,33.2455,35.1013,32.3671,28.9346
07/12/2020,27.3271,35.4843,36.0449,32.3282,28.9839
04/12/2020,25.9991,38.8436,36.0902,32.3504,28.9319
03/12/2020,25.8600,40.5372,36.1598,33.2424,28.9113
02/12/2020,27.0835,39.4741,35.6174,32.8103,28.6352
01/12/2020,28.1466,38.1005,35.9099,32.5867,28.6556
30/11/2020,26.3674,36.2548,35.8436,32.2045,28.3150
27/11/2020,27.0084,34.5774,37.0510,32.1761,28.1909
26/11/2020,26.7937,34.6186,36.0100,31.6185,27.7614
25/11/2020,26.7493,34.3374,36.0722,32.4586,27.7611
24/11/2020,26.6434,34.1642,35.5515,32.0926,27.4453
23/11/2020,25.7550,32.0204,36.4580,31.7474,27.1286
20/11/2020,24.5151,28.0154,35.4229,30.9166,26.4668
19/11/2020,24.9080,27.0596,34.8437,30.6813,26.3540
18/11/2020,25.6312,26.0675,34.1940,30.5414,26.2450
17/11/2020,26.9816,26.4710,34.1243,30.6219,26.6135
16/11/2020,27.7431,27.2289,34.3507,30.6358,26.5907
13/11/2020,27.3468,40.9525,34.3199,30.6358,26.6325
12/11/2020,25.8354,38.8009,34.4840,29.9528,26.4661
11/11/2020,26.6260,38.4711,35.1536,30.0390,29.1366
10/11/2020,25.2457,39.9124,34.9154,29.6862,28.9440
09/11/2020,25.4031,43.5128,35.7660,29.7285,31.0103
06/11/2020,25.7854,42.8035,35.7853,29.4544,30.8165
05/11/2020,26.0155,42.8131,35.8056,29.3762,30.8079
04/11/2020,28.7484,42.8426,36.1668,29.1770,30.6842
03/11/2020,29.4954,44.3171,36.2506,29.1776,30.6791
02/11/2020,31.1241,45.6134,36.0725,29.0985,30.6386
30/10/2020,31.6682,38.5147,31.2787,25.9614,28.6496
29/10/2020,28.5599,36.0808,30.4825,25.7449,28.5385
