正股,新華人壽保險股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,38.9857,56.5591,37.0908,35.8210,36.4818
21/01/2021,40.9102,48.3535,34.3480,34.3463,35.5257
20/01/2021,41.7785,47.7406,34.1745,34.9538,35.4567
19/01/2021,41.2299,47.1916,34.5058,36.0787,35.6654
18/01/2021,40.8112,44.2046,30.4196,34.2353,35.2274
15/01/2021,38.5879,44.1206,30.1668,34.1616,35.3270
14/01/2021,38.7687,44.3685,30.0104,34.3191,35.3940
13/01/2021,40.9623,43.6035,31.5244,34.2552,35.3593
12/01/2021,41.2379,42.6481,33.0779,35.7950,35.2921
11/01/2021,38.6945,21.9024,25.3943,32.6039,33.1207
08/01/2021,37.5728,21.1402,26.8617,32.7733,33.4459
07/01/2021,38.0941,21.4309,27.1942,32.7708,33.4750
06/01/2021,37.5281,23.8471,27.3318,33.7080,33.4665
05/01/2021,37.9245,19.8728,26.3498,33.7643,35.8264
04/01/2021,37.6719,16.7055,25.3769,33.3162,35.5998
31/12/2020,36.6356,21.3648,25.9055,33.3200,35.6959
30/12/2020,35.9674,22.0237,26.1212,33.2364,35.6737
29/12/2020,37.0610,23.9231,26.5698,33.5075,35.6546
28/12/2020,37.6930,24.3497,27.7679,33.4879,35.9609
24/12/2020,36.4117,23.7180,31.3707,33.5087,35.9405
23/12/2020,36.3725,24.4007,31.4427,33.5166,37.9718
22/12/2020,37.5279,24.4716,31.5880,33.5039,38.3321
21/12/2020,36.7826,23.1977,31.3199,33.8823,38.1896
18/12/2020,33.6794,23.8445,31.8230,33.9546,38.2051
17/12/2020,33.7135,23.7625,31.6325,34.1544,38.1785
16/12/2020,33.7953,17.3656,31.5015,34.3851,38.2913
15/12/2020,33.7384,11.3571,31.8337,37.0390,38.2284
14/12/2020,34.7083,22.8622,32.8109,36.7373,38.0365
11/12/2020,33.5512,27.9977,32.6728,36.6313,38.0198
10/12/2020,35.0344,31.2743,34.6715,36.6018,39.1160
09/12/2020,36.6316,34.4818,35.0986,36.4546,39.0001
08/12/2020,36.1829,34.5894,34.9241,36.3816,38.9534
07/12/2020,36.5897,35.2014,36.2954,36.3622,39.0313
04/12/2020,36.3028,33.8355,38.1194,36.5125,38.9593
03/12/2020,37.2936,32.6668,37.8231,37.4637,38.8862
02/12/2020,38.5550,34.6670,37.7629,37.6777,39.1482
01/12/2020,38.9108,35.3992,38.2339,37.8315,39.6955
30/11/2020,37.9767,32.8171,37.1986,37.3276,39.3442
27/11/2020,38.1479,25.5966,38.1642,36.4749,39.6784
26/11/2020,37.7029,39.0900,38.0214,36.2809,39.5395
25/11/2020,37.9376,36.6035,37.9072,36.4200,42.9250
24/11/2020,37.4156,36.1302,37.7768,36.3648,42.9116
23/11/2020,37.7499,36.2420,39.0250,36.2836,43.0293
20/11/2020,37.3456,37.5034,39.8028,39.8934,43.1489
19/11/2020,37.6804,37.8042,39.8087,39.9325,43.3225
18/11/2020,38.1971,37.0716,39.2202,39.8782,43.2410
17/11/2020,40.8941,39.1834,39.0230,39.7855,44.1388
16/11/2020,41.5516,41.8748,39.2145,39.6243,44.0424
13/11/2020,39.9511,39.9832,38.6362,39.6312,43.9097
12/11/2020,37.6545,35.6870,35.1318,38.2442,43.0409
11/11/2020,38.9102,36.7971,34.8646,40.9947,48.8155
10/11/2020,39.4493,36.8077,34.9618,41.4496,48.9565
09/11/2020,40.1170,41.1215,36.4522,41.4187,51.6263
06/11/2020,38.8146,46.1400,36.3987,41.2764,51.5759
05/11/2020,39.5861,45.7711,36.9952,41.3099,51.7845
04/11/2020,41.2760,44.7788,37.5909,41.5129,51.6907
03/11/2020,41.6284,43.6405,41.8269,41.2423,51.5094
02/11/2020,43.2556,40.1894,40.8215,40.6604,51.2406
30/10/2020,42.4418,48.3383,40.7684,40.6817,51.2760
29/10/2020,40.0073,42.3341,38.8796,41.4078,50.8377
