正股,中國人民保險集團股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.2922,44.4732,26.6995,25.2706,24.1945
21/01/2021,36.6418,39.4006,24.5519,24.4019,23.4411
20/01/2021,37.0132,39.5252,24.2897,25.0672,23.3643
19/01/2021,38.1331,39.0862,24.4150,25.2393,23.4534
18/01/2021,32.5882,17.8070,13.8365,20.7754,20.2346
15/01/2021,31.0184,17.9783,13.9867,21.0471,20.2346
14/01/2021,32.3404,18.9454,13.9867,21.0471,20.2794
13/01/2021,34.7953,19.2026,18.4310,21.1940,20.3223
12/01/2021,34.4679,19.4549,20.6704,21.8055,20.4027
11/01/2021,32.2712,12.9686,19.6765,21.1993,19.8358
08/01/2021,31.5073,13.4777,20.3023,21.2003,20.1975
07/01/2021,32.0270,12.8307,20.3197,21.1213,20.1579
06/01/2021,32.1439,11.7440,20.0198,21.3842,20.0685
05/01/2021,31.6797,12.6419,20.3060,21.3763,20.2018
04/01/2021,31.3200,13.2156,20.4277,21.4455,20.2095
31/12/2020,30.9118,13.1451,20.9761,21.4299,20.2512
30/12/2020,29.9976,11.6903,20.7976,21.3293,20.1460
29/12/2020,29.1001,10.7374,20.6845,21.3360,20.2338
28/12/2020,29.6388,10.5770,21.2226,21.4029,20.5491
24/12/2020,27.9921,9.4010,21.6481,21.3691,20.4888
23/12/2020,28.0380,7.7468,21.7483,21.3738,21.0982
22/12/2020,29.0443,8.2399,22.0711,21.4155,21.2722
21/12/2020,29.4933,7.7024,21.9832,22.2808,21.2348
18/12/2020,24.9304,7.6601,22.6698,22.4965,21.2447
17/12/2020,26.0244,9.9682,22.5075,22.5836,21.2402
16/12/2020,26.8715,9.2898,23.2595,22.6350,21.2318
15/12/2020,25.5006,8.4096,23.4374,22.8769,21.2928
14/12/2020,26.9669,24.2926,23.5307,23.0252,21.2979
11/12/2020,26.8053,28.9732,23.6163,23.0409,21.3265
10/12/2020,27.5234,31.4204,24.2627,23.0570,22.5387
09/12/2020,27.8107,32.7025,24.2121,23.0570,22.6263
08/12/2020,30.4635,32.5902,24.6504,23.0097,22.5871
07/12/2020,29.8037,32.5935,26.1417,23.0099,22.6626
04/12/2020,30.7163,32.5079,26.4315,23.0872,22.8763
03/12/2020,31.6924,31.4080,26.0880,22.8564,22.7541
02/12/2020,32.7902,32.6305,26.3032,22.7915,22.7123
01/12/2020,33.5595,32.6362,26.3032,22.8588,23.2030
30/11/2020,34.9953,25.8473,23.9353,21.3436,22.2582
27/11/2020,32.4062,19.0398,22.7530,20.4294,21.8335
26/11/2020,30.9459,20.1971,22.6413,20.0628,21.5612
25/11/2020,31.2002,19.6327,22.2981,20.3125,22.1927
24/11/2020,31.0187,20.2586,22.2048,20.2212,22.1763
23/11/2020,31.8598,20.2586,22.9282,20.2196,22.3902
20/11/2020,30.6559,22.0563,22.7148,20.2234,22.5732
19/11/2020,30.2764,21.4241,22.7303,20.2036,23.0396
18/11/2020,30.9528,20.6546,22.0831,20.0381,22.9202
17/11/2020,30.7150,21.8280,22.0891,19.9722,26.6626
16/11/2020,30.5467,21.9407,22.1715,20.1549,26.6429
13/11/2020,30.3536,21.0591,21.9290,20.2582,26.7204
12/11/2020,31.2045,21.2386,21.3379,20.0297,26.6127
11/11/2020,30.7947,19.4326,21.0152,20.9520,37.7469
10/11/2020,33.2425,21.8029,20.8912,21.0460,38.1901
09/11/2020,33.0945,26.7865,22.9146,21.0191,40.3166
06/11/2020,32.8851,25.8256,22.6732,20.5933,40.1757
05/11/2020,32.7746,26.0111,22.9507,20.6335,42.4702
04/11/2020,34.1006,24.8648,22.0540,20.0740,42.4399
03/11/2020,37.4076,24.6925,22.5741,20.1246,42.4192
02/11/2020,37.5032,25.2696,22.6336,20.0056,42.3899
30/10/2020,36.6019,28.5339,22.4320,19.9054,42.3596
29/10/2020,36.1538,27.8724,22.0119,21.6948,42.3229
