正股,中國信達資產管理股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,30.2039,35.9530,24.1817,24.8080,24.0933
21/01/2021,32.2238,24.7322,19.9841,22.9885,22.8610
20/01/2021,32.0149,22.2922,19.6847,23.5319,22.8833
19/01/2021,32.8521,22.2783,19.9140,23.8272,22.9962
18/01/2021,31.9760,18.9196,18.9708,23.0259,22.4005
15/01/2021,29.6270,16.1673,16.4090,22.0823,21.7315
14/01/2021,27.3157,16.8331,16.5114,22.0823,21.7617
13/01/2021,30.6152,14.0225,17.0608,21.9539,21.6730
12/01/2021,33.3677,14.0157,17.0933,22.9788,21.6470
11/01/2021,32.2945,14.0754,16.7592,22.8823,21.6516
08/01/2021,31.3934,13.6454,16.8712,22.9309,22.3746
07/01/2021,30.5500,17.2814,16.7592,22.8926,22.5779
06/01/2021,31.2893,17.4591,16.3945,22.7241,22.4850
05/01/2021,30.8626,16.9056,15.8542,22.5836,22.3768
04/01/2021,30.0986,16.5441,16.6416,23.6387,22.3589
31/12/2020,28.2108,15.2460,16.6022,23.4600,22.3424
30/12/2020,28.0647,13.3807,16.0014,23.3346,22.2878
29/12/2020,28.3613,10.6421,15.2643,23.3346,22.1406
28/12/2020,27.5447,9.4634,15.0059,23.3333,22.1325
24/12/2020,28.0785,10.7445,17.1705,23.5007,22.3214
23/12/2020,29.5265,11.4436,17.0068,23.8586,22.7163
22/12/2020,27.9023,11.1260,24.5642,23.6806,22.8682
21/12/2020,28.6088,11.1132,24.5304,23.6806,22.9324
18/12/2020,26.1352,14.4997,24.4917,23.6806,23.5816
17/12/2020,27.7933,16.5057,24.6086,23.7231,23.5816
16/12/2020,28.3183,16.6930,25.3341,24.3298,23.9401
15/12/2020,29.4931,16.4974,25.3936,24.7011,23.9705
14/12/2020,29.4780,20.7592,25.7360,24.7011,24.0804
11/12/2020,29.7554,20.7233,26.4532,24.7426,24.1904
10/12/2020,31.6902,20.5882,26.2144,24.5771,24.7494
09/12/2020,33.5949,18.2232,25.8330,24.2527,24.5345
08/12/2020,27.3120,18.2232,25.9231,24.2882,24.5588
07/12/2020,28.3692,17.9547,27.0280,24.4206,24.7840
04/12/2020,28.1197,16.8077,27.3819,24.4353,25.1095
03/12/2020,29.2678,16.8534,26.8056,24.0787,24.8710
02/12/2020,29.6518,18.2389,26.8662,24.0787,25.3176
01/12/2020,30.0470,18.2350,26.7799,24.0803,25.9201
30/11/2020,30.1819,14.2891,26.2475,23.7746,25.7261
27/11/2020,27.9352,14.1550,27.9358,23.7329,25.9051
26/11/2020,25.6876,19.7538,27.9880,23.8540,25.8971
25/11/2020,27.5026,18.6658,28.0193,24.7993,28.1594
24/11/2020,26.2112,37.8819,28.0193,25.1105,28.7165
23/11/2020,27.8161,37.5966,27.9558,25.1072,29.1911
20/11/2020,27.5983,37.5966,28.0297,25.1351,29.3509
19/11/2020,27.8714,36.5057,29.0659,24.8408,29.4472
18/11/2020,27.3019,36.9608,28.7242,24.8319,29.3875
17/11/2020,27.6485,36.9773,28.6326,24.9255,29.5137
16/11/2020,27.9860,37.2613,29.0323,24.9255,30.1699
13/11/2020,28.0127,37.9727,29.0559,24.9656,30.4726
12/11/2020,28.4566,32.5064,27.6285,24.3926,30.6424
11/11/2020,29.2989,32.7345,27.6883,24.8009,35.0976
10/11/2020,25.8103,19.1717,22.5962,22.1144,34.6498
09/11/2020,26.2806,24.2310,22.7487,22.2624,34.9303
06/11/2020,28.6708,26.2208,22.8923,23.2644,34.9482
05/11/2020,27.4550,26.4154,22.9815,23.2236,35.0823
04/11/2020,27.0064,24.4390,23.7107,23.4317,34.9732
03/11/2020,30.5676,24.2036,24.3559,23.4466,36.3574
02/11/2020,30.3061,23.1444,24.0493,23.4333,36.2860
30/10/2020,30.4538,27.3682,23.3551,23.1920,36.1358
29/10/2020,30.3458,27.3651,23.2686,24.2061,36.1351
