正股,中國工商銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.0062,25.6163,28.1028,29.5370,29.7289
21/01/2021,26.0460,18.9877,26.5210,28.9356,29.2743
20/01/2021,26.9292,19.9098,27.2474,30.1756,29.3859
19/01/2021,26.5704,18.5150,28.1721,30.2068,29.3775
18/01/2021,29.6029,20.0928,28.1150,30.5952,30.3091
15/01/2021,28.9047,29.0322,28.5821,30.6087,30.3425
14/01/2021,28.4208,27.9181,27.5642,30.2899,30.1259
13/01/2021,28.6923,27.8889,29.5341,31.0815,30.1274
12/01/2021,30.8937,29.7297,29.4760,32.0180,30.3134
11/01/2021,30.2825,35.8127,31.3391,31.8604,30.1923
08/01/2021,30.0501,35.8774,31.7268,31.8555,30.8452
07/01/2021,29.4471,38.2077,31.7453,31.8204,30.8334
06/01/2021,28.2717,37.8840,31.7001,33.5222,30.7286
05/01/2021,27.7598,39.0922,31.7326,33.5922,30.7675
04/01/2021,29.1627,39.1275,31.7456,33.5101,30.7314
31/12/2020,27.4673,32.6177,30.5840,32.4905,30.0768
30/12/2020,28.3496,33.2212,30.1352,32.3358,29.9119
29/12/2020,28.4896,33.2155,30.2249,32.3779,30.2770
28/12/2020,29.3036,30.8056,29.1351,31.9394,29.8818
24/12/2020,26.1844,16.7262,26.8702,30.7525,28.7726
23/12/2020,25.9246,12.8316,26.8906,30.7410,28.7312
22/12/2020,26.9767,13.4904,28.3855,30.5875,28.6398
21/12/2020,25.4260,15.2925,28.5310,30.9905,28.6415
18/12/2020,24.3012,17.4653,28.3383,30.9697,28.5679
17/12/2020,24.2944,17.7316,28.3517,30.9835,28.7659
16/12/2020,24.4815,18.4659,28.4541,31.0646,28.7465
15/12/2020,25.6325,18.5832,28.1827,30.9184,28.7019
14/12/2020,25.0561,28.6997,28.4946,30.9477,28.7231
11/12/2020,24.9892,29.1042,30.1179,30.8564,28.6426
10/12/2020,26.3846,36.4798,31.5168,30.8314,28.7950
09/12/2020,26.7232,36.5673,31.3856,30.7404,28.7345
08/12/2020,27.3189,36.7024,31.5789,30.7547,28.8384
07/12/2020,27.9878,35.3545,33.2967,30.6219,28.6770
04/12/2020,26.9917,31.0223,32.5878,30.1852,28.3814
03/12/2020,26.9988,31.8773,33.2968,31.5253,28.4208
02/12/2020,29.7162,33.3317,32.7756,31.3334,28.2604
01/12/2020,29.2523,32.9039,32.9414,31.3685,28.3505
30/11/2020,26.8457,29.2121,32.9093,30.6230,27.7138
27/11/2020,25.9322,29.5492,34.6948,30.9646,27.7477
26/11/2020,24.7551,25.8013,32.8948,29.8580,26.8935
25/11/2020,24.2535,23.9942,32.5259,30.5875,26.6819
24/11/2020,24.5672,29.6840,32.4334,30.5370,26.6209
23/11/2020,24.6194,29.9129,35.6428,30.4686,26.5403
20/11/2020,24.0200,29.7402,35.8061,30.4909,26.6135
19/11/2020,24.5961,30.0134,35.6023,30.4379,26.6268
18/11/2020,25.3051,27.5414,34.6053,30.0317,26.3712
17/11/2020,27.7398,27.5455,34.6832,30.0199,26.5405
16/11/2020,27.8898,28.0663,34.7669,30.4793,26.4903
13/11/2020,27.6231,33.0787,34.6674,30.4730,26.4855
12/11/2020,26.3471,32.9911,33.6141,29.8446,26.0977
11/11/2020,26.4616,30.6922,32.7569,29.6307,27.4400
10/11/2020,24.2529,28.8615,32.1582,28.9603,27.0032
09/11/2020,24.7588,36.1917,33.1362,28.9130,27.5598
06/11/2020,25.6989,36.8144,33.4879,28.9132,27.6074
05/11/2020,25.8018,39.0079,33.6843,29.2068,27.5688
04/11/2020,27.2282,39.0164,33.8882,29.1273,27.5556
03/11/2020,29.7693,39.3153,33.8581,29.1811,27.6544
02/11/2020,30.8638,42.6829,33.7045,29.0314,27.5322
30/10/2020,32.2551,43.5017,31.9614,27.8762,28.7226
29/10/2020,28.9953,39.9583,30.6692,27.5490,28.4539
