正股,郵儲銀行

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,37.7332,63.9525,41.9338,41.5434,41.9046
21/01/2021,36.9119,56.8627,39.8258,40.6692,41.3546
20/01/2021,32.4529,58.0476,40.1949,41.4112,41.0111
19/01/2021,33.7514,55.6760,39.8020,41.2774,41.3307
18/01/2021,41.7006,55.7974,40.1139,42.3864,41.8215
15/01/2021,43.6139,56.1207,40.3304,42.5557,41.9420
14/01/2021,31.2811,37.3050,30.6047,38.3435,39.1083
13/01/2021,31.9492,37.0578,34.7795,38.6241,39.1717
12/01/2021,32.9764,35.4031,34.5460,39.4657,39.6455
11/01/2021,32.7057,33.9425,34.1507,39.2690,39.3530
08/01/2021,27.8599,23.4435,29.5859,37.5251,41.0178
07/01/2021,29.0233,24.7972,29.5878,37.5373,41.0762
06/01/2021,28.6984,22.5676,29.8672,38.9475,41.0636
05/01/2021,27.3744,24.9189,29.8965,39.6229,41.0224
04/01/2021,27.7674,26.5586,30.3469,39.6479,41.0426
31/12/2020,27.0237,26.5271,30.4890,39.6705,41.0959
30/12/2020,26.5094,25.8573,31.1426,39.5206,41.0472
29/12/2020,27.3427,26.2963,32.1175,39.6887,41.1316
28/12/2020,28.0432,27.8480,32.1491,39.9675,41.2816
24/12/2020,27.5030,26.0785,34.2393,40.4287,41.1475
23/12/2020,26.7644,18.6614,32.5453,40.2115,40.7934
22/12/2020,27.5468,18.6633,32.9399,40.2117,40.7630
21/12/2020,26.9030,22.8725,33.0940,40.2015,40.7373
18/12/2020,25.8264,23.2368,32.8034,41.0896,40.6575
17/12/2020,26.7298,22.9592,32.5260,41.0066,40.6579
16/12/2020,27.8614,22.6678,32.5389,42.1365,40.6561
15/12/2020,28.8388,21.2357,32.3737,42.1283,40.6156
14/12/2020,28.9980,40.3103,33.7867,42.0991,40.6747
11/12/2020,27.4297,39.8836,41.5977,42.0583,40.6135
10/12/2020,28.4279,42.1409,41.6767,42.2738,40.7874
09/12/2020,28.6729,41.9506,41.7771,42.1682,40.6948
08/12/2020,29.2810,41.9644,41.9217,42.2466,40.7624
07/12/2020,28.3435,38.7271,43.2246,41.7298,40.7605
04/12/2020,28.3262,39.2100,43.2961,42.3324,40.7729
03/12/2020,28.7105,39.9290,45.2328,42.9659,40.7298
02/12/2020,30.0931,39.9717,45.3216,43.0507,40.7071
01/12/2020,28.6122,37.6603,44.7908,42.8724,40.4967
30/11/2020,26.7847,29.0831,42.5770,41.4706,39.3552
27/11/2020,28.3571,28.8662,44.1325,42.2413,39.3558
26/11/2020,28.2978,36.3005,44.0644,41.9845,39.1597
25/11/2020,27.8787,35.1924,44.0385,45.9053,39.0927
24/11/2020,27.0189,36.5735,44.0884,45.9786,39.1042
23/11/2020,27.2390,35.4892,45.7486,45.8773,38.9876
20/11/2020,26.9842,34.9499,47.2546,45.8043,38.9313
19/11/2020,27.2613,33.2286,46.6541,45.6972,38.8518
18/11/2020,26.7495,32.2171,46.4684,45.7241,38.8371
17/11/2020,30.1782,30.4115,46.2209,45.4107,38.6064
16/11/2020,30.5419,32.2446,46.2276,45.1192,38.4067
13/11/2020,29.9571,54.4686,46.4978,45.3049,38.4194
12/11/2020,27.5961,46.4624,45.2243,44.4703,37.8580
11/11/2020,29.1713,48.9779,45.5051,44.5978,39.4268
10/11/2020,29.7775,49.6340,45.5096,44.4191,39.3827
09/11/2020,30.4382,57.0467,45.5013,44.3236,39.3084
06/11/2020,31.7979,57.1653,47.8892,44.2898,39.5923
05/11/2020,33.4004,62.3491,48.1578,44.3650,39.5655
04/11/2020,34.8895,62.9257,50.3105,44.3494,39.6523
03/11/2020,37.2397,63.9304,50.4262,44.3498,39.6446
02/11/2020,36.7107,60.6780,49.1830,43.9614,39.3132
30/10/2020,37.1269,49.7120,43.2174,40.0354,36.4941
29/10/2020,35.5487,50.2223,43.5177,40.2553,36.4016
