正股,中國交通建設股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,42.9678,39.6022,48.2090,41.0834,35.9551
21/01/2021,44.5592,44.4770,48.1558,41.1521,35.9132
20/01/2021,46.6256,45.8422,48.3616,41.1407,35.7953
19/01/2021,47.0238,65.4811,48.6875,41.5233,35.7921
18/01/2021,52.7692,65.9800,48.5631,41.4452,35.8154
15/01/2021,44.8321,67.2927,46.9338,40.5423,35.1298
14/01/2021,47.4796,66.8701,46.8151,40.5340,35.1015
13/01/2021,50.6423,67.7684,46.9528,40.5506,35.1373
12/01/2021,51.5952,66.5809,46.0735,39.9601,34.5472
11/01/2021,49.2539,65.3234,44.3209,39.0945,34.3445
08/01/2021,45.7187,63.4494,42.5053,38.5786,34.0494
07/01/2021,47.6325,60.1294,41.6654,38.0200,33.6311
06/01/2021,49.8481,61.7771,41.2362,37.7265,33.8662
05/01/2021,41.8302,23.8672,24.5339,30.1680,28.3397
04/01/2021,38.8007,31.0728,24.3215,30.4423,28.3938
31/12/2020,36.9958,36.2555,24.4512,30.3146,28.2918
30/12/2020,36.8341,36.6212,24.5063,30.5859,28.3291
29/12/2020,38.1703,36.7669,25.1898,30.5960,28.3584
28/12/2020,36.5114,36.6323,25.0831,30.6647,28.3635
24/12/2020,36.9699,36.9132,26.1593,31.0640,28.3145
23/12/2020,36.7937,33.2575,25.7417,30.7908,28.2330
22/12/2020,36.3595,32.2261,36.9262,30.7657,28.2426
21/12/2020,32.1506,30.4774,36.4238,30.0470,27.9070
18/12/2020,25.3206,30.0630,36.7697,30.0417,27.9162
17/12/2020,29.7145,23.7980,34.6222,28.5591,26.8746
16/12/2020,28.1709,12.9934,33.4569,28.1383,26.7686
15/12/2020,25.9443,13.7747,33.3812,28.6187,26.7230
14/12/2020,26.8970,18.1708,33.5896,28.6191,26.6666
11/12/2020,26.9024,19.9131,33.6766,28.6517,26.6695
10/12/2020,25.7968,19.6633,33.4133,28.4516,26.5623
09/12/2020,25.9544,19.6786,33.2224,28.3829,26.4671
08/12/2020,26.2926,19.8765,33.4437,28.3460,26.4352
07/12/2020,24.7454,17.9236,33.1510,27.9678,26.2700
04/12/2020,25.9218,16.3146,33.7246,27.6955,26.1035
03/12/2020,27.2459,16.6420,33.6999,27.8512,26.1002
02/12/2020,27.5684,18.7389,33.7087,27.8681,26.1363
01/12/2020,28.1728,19.0985,33.8953,27.9326,26.4358
30/11/2020,27.4918,18.8748,33.7620,27.9033,26.3638
27/11/2020,28.7915,15.1018,33.1595,27.3598,26.1436
26/11/2020,29.0846,21.1755,33.1136,28.2768,26.2710
25/11/2020,29.2703,24.9873,34.1252,28.9871,27.1305
24/11/2020,28.9087,52.8950,34.1150,28.9868,27.1354
23/11/2020,29.5858,53.3607,34.0784,29.8032,27.3060
20/11/2020,28.7118,53.6173,34.2166,29.7986,27.3370
19/11/2020,29.3910,53.3815,34.4390,29.8354,27.3677
18/11/2020,30.4203,51.9806,33.7868,29.5551,27.1895
17/11/2020,32.2742,51.0477,33.7473,29.4820,27.7782
16/11/2020,33.2088,51.0710,33.8336,29.4574,27.7062
13/11/2020,33.5732,50.5988,33.7586,29.4711,27.8533
12/11/2020,32.3568,45.2293,33.3398,28.7095,27.5745
11/11/2020,36.1428,37.6234,31.3759,28.0391,29.5513
10/11/2020,28.4854,13.6379,21.2495,22.3177,26.2904
09/11/2020,29.2797,16.8464,21.0138,22.4126,27.1097
06/11/2020,29.2964,21.4676,20.7662,22.2505,27.0426
05/11/2020,29.5094,21.6894,20.8749,22.2372,27.0472
04/11/2020,30.1265,21.7286,21.6702,22.7989,28.0220
03/11/2020,33.5124,22.8331,23.0257,22.8903,28.0042
02/11/2020,32.8759,22.2477,22.9184,22.7192,27.9248
30/10/2020,33.4558,23.8596,22.9177,22.6781,27.9484
29/10/2020,32.6368,23.7720,22.9525,22.7027,29.0087
