正股,小米集團

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,61.6601,73.3650,61.0023,61.3015,58.9811
21/01/2021,63.1642,71.2860,60.8161,60.6421,58.8179
20/01/2021,63.9861,75.3140,60.8997,60.7309,58.5413
19/01/2021,64.7961,75.9093,61.0035,60.9770,58.5714
18/01/2021,71.3868,68.5595,59.6903,60.3135,59.5510
15/01/2021,70.6433,77.0142,60.4097,60.2330,59.5383
14/01/2021,57.3347,55.2779,55.2088,55.3857,56.6084
13/01/2021,59.0415,55.0505,55.2901,56.1743,58.0003
12/01/2021,62.2771,59.9404,54.9940,56.2529,57.9337
11/01/2021,59.8907,60.7319,54.6191,56.3804,59.2161
08/01/2021,58.2021,61.4249,54.7012,56.5086,59.5997
07/01/2021,58.3920,71.6149,56.1687,56.5008,60.1514
06/01/2021,55.4224,61.5068,53.2935,56.9650,61.7065
05/01/2021,51.0057,53.1826,55.1214,56.0533,61.7422
04/01/2021,58.4597,55.8381,55.0545,56.9336,61.8774
31/12/2020,51.1664,51.2330,54.2756,55.9001,61.2383
30/12/2020,53.9484,52.3058,54.4454,56.0701,61.2522
29/12/2020,55.5677,52.1850,56.7604,56.0988,61.2927
28/12/2020,54.5376,53.6965,56.0078,55.4027,60.9818
24/12/2020,55.7831,45.7420,54.8021,54.5639,61.1528
23/12/2020,56.3164,46.1715,55.2232,54.6336,61.6422
22/12/2020,50.4148,36.8733,58.9405,52.9609,60.6377
21/12/2020,50.6307,40.8658,60.7183,54.2101,60.6337
18/12/2020,48.3142,42.4734,60.7288,54.2319,60.6156
17/12/2020,51.8308,39.6370,60.9668,54.0886,60.5283
16/12/2020,56.4301,40.6286,60.9615,56.1930,60.6870
15/12/2020,62.8956,61.0929,64.0086,56.4572,60.9647
14/12/2020,60.3162,62.4457,64.0208,58.3259,61.0095
11/12/2020,55.7588,56.5611,62.2999,57.2902,60.3821
10/12/2020,57.6732,58.0759,62.2375,58.4306,60.5126
09/12/2020,57.4436,58.4682,62.3000,58.4682,60.5205
08/12/2020,57.7269,57.8506,61.4623,58.2613,60.2123
07/12/2020,49.2243,50.8454,61.4864,57.5959,59.8778
04/12/2020,49.1607,67.1248,61.9012,57.6496,59.8345
03/12/2020,50.0292,67.5282,61.9268,59.8192,59.8497
02/12/2020,55.0835,69.0697,60.9757,59.3150,59.8835
01/12/2020,53.2739,55.3085,56.4617,57.4939,59.2411
30/11/2020,58.2437,60.7698,57.9006,59.4292,59.1968
27/11/2020,57.4255,62.8944,58.2964,59.3314,60.1820
26/11/2020,59.4846,62.9794,58.9909,61.7111,60.4527
25/11/2020,63.3518,63.9195,59.1544,62.2289,60.4735
24/11/2020,65.4261,78.1447,57.7886,62.4927,60.1262
23/11/2020,64.8788,81.9955,61.2740,65.9338,61.8175
20/11/2020,56.9941,72.6582,57.7299,65.0762,60.6250
19/11/2020,56.1093,74.3619,59.2680,65.2288,61.0162
18/11/2020,53.1879,70.2747,57.8513,64.6218,60.5509
17/11/2020,64.0278,79.8718,58.2367,64.6069,60.5359
16/11/2020,64.7144,74.2993,56.3607,63.8404,60.3514
13/11/2020,59.7628,72.9837,55.7006,63.7314,61.6125
12/11/2020,55.7959,70.6942,54.7646,64.3623,61.3750
11/11/2020,58.8988,69.2761,54.3204,64.8686,61.6226
10/11/2020,56.8899,47.2432,47.2448,61.9440,60.0693
09/11/2020,57.3051,44.1545,47.8081,60.9761,60.0532
06/11/2020,61.1270,48.1507,47.8429,60.9596,60.1222
05/11/2020,61.6366,46.7569,47.2663,60.8072,60.1761
04/11/2020,60.5663,46.6945,51.8369,61.0623,60.7051
03/11/2020,61.3696,26.5808,47.9544,59.8238,61.1112
02/11/2020,61.3293,33.7474,51.8003,59.9149,61.1202
30/10/2020,57.2933,38.0896,52.0670,59.9145,61.3725
29/10/2020,52.7195,40.8600,54.1133,60.1448,61.4085
