正股,中國廣核電力股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.6953,31.0186,30.6417,28.1924,26.2903
21/01/2021,26.5102,27.2903,31.1122,27.4024,25.5934
20/01/2021,26.1301,26.6854,30.6663,27.9436,25.4507
19/01/2021,25.3926,27.6079,31.1612,27.9849,25.3592
18/01/2021,29.3884,28.3121,30.1332,27.3302,24.8436
15/01/2021,26.2555,29.8626,30.0035,27.3416,24.8107
14/01/2021,25.2051,29.7166,30.0269,27.6182,25.0185
13/01/2021,26.9742,38.1741,30.0473,27.8461,25.3365
12/01/2021,25.3807,37.6220,29.8561,28.0668,25.7257
11/01/2021,25.9132,38.2525,29.0245,27.9149,25.4428
08/01/2021,24.4912,38.5425,29.1210,27.9321,25.9380
07/01/2021,24.9614,37.6501,28.9485,27.8099,25.8639
06/01/2021,25.7393,37.1261,28.2959,27.8822,25.8839
05/01/2021,24.5971,35.6751,27.9959,27.5515,25.6120
04/01/2021,26.4474,31.5728,26.2517,26.6041,24.9020
31/12/2020,24.8349,30.9787,26.9362,26.4774,24.8208
30/12/2020,24.9275,34.5735,26.8634,26.9353,24.7987
29/12/2020,24.0668,27.1784,24.1359,25.4918,23.8099
28/12/2020,24.7939,25.1767,23.9361,25.3997,23.7263
24/12/2020,23.4696,23.0538,23.9958,24.7798,23.2172
23/12/2020,21.8491,23.1488,23.9933,24.8523,23.2804
22/12/2020,22.9686,30.7749,25.4635,24.8342,23.2828
21/12/2020,21.0076,30.0480,25.4371,24.7378,23.3878
18/12/2020,20.0934,32.0096,25.4479,24.6404,23.3996
17/12/2020,20.9109,31.4699,24.9233,24.4289,23.2933
16/12/2020,34.0139,31.4699,25.1651,24.7445,23.3151
15/12/2020,20.0098,26.6908,23.7466,23.9589,22.7579
14/12/2020,18.5786,19.5190,21.6736,23.0303,22.2140
11/12/2020,19.0781,21.3786,21.6736,23.0577,22.2140
10/12/2020,20.3950,20.5080,24.3523,23.1682,22.2883
09/12/2020,19.8753,20.5049,24.5367,23.1657,22.2866
08/12/2020,20.6500,14.6029,23.0440,22.2860,21.6531
07/12/2020,19.4541,14.5615,24.5744,22.2860,21.6528
04/12/2020,20.4533,14.9478,24.6313,21.9943,21.4536
03/12/2020,20.2183,14.9843,24.6313,21.9820,21.3754
02/12/2020,21.1116,19.6441,24.8785,22.0261,21.4039
01/12/2020,20.2253,19.2541,25.3795,22.3309,21.7784
30/11/2020,20.2762,20.1304,25.8780,22.8585,21.8457
27/11/2020,21.3708,18.7586,26.6229,23.5886,21.8297
26/11/2020,23.4461,22.9914,27.1234,23.5875,22.1428
25/11/2020,21.5574,22.9891,27.1162,24.3127,22.4823
24/11/2020,21.8548,28.7668,27.0475,24.2873,22.4811
23/11/2020,22.2328,29.5866,27.9457,24.7874,22.5050
20/11/2020,22.6969,28.6275,27.5640,24.5120,22.2855
19/11/2020,21.8688,27.9628,27.3759,24.4269,22.3823
18/11/2020,21.7630,25.0144,26.3497,23.9224,22.0506
17/11/2020,24.1324,26.2319,27.2131,23.9224,22.5610
16/11/2020,24.3742,25.6967,27.1763,23.8251,22.5528
13/11/2020,25.2387,25.4019,27.1850,23.7946,22.8782
12/11/2020,22.3791,24.4527,25.6608,22.9986,22.6763
11/11/2020,22.7553,25.7517,25.6916,23.0818,23.9798
10/11/2020,22.9451,24.4891,24.4902,22.3388,23.5014
09/11/2020,23.4117,29.1916,24.4343,22.5119,24.5024
06/11/2020,22.6730,30.0600,24.2362,22.5119,24.5205
05/11/2020,22.8129,30.6647,24.3322,22.6520,24.5444
04/11/2020,22.9263,30.6468,24.7371,22.5454,24.6541
03/11/2020,23.6584,31.3646,24.5210,22.4395,24.6521
02/11/2020,26.9704,32.9259,24.5210,22.5787,24.6715
30/10/2020,25.1793,35.1628,24.5993,22.5787,24.7484
29/10/2020,22.5499,30.6052,22.3329,21.3897,24.7018
