正股,百威亞太

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,36.9465,26.7341,32.0265,46.0516,43.1030
21/01/2021,37.2843,33.8098,32.0980,46.0807,43.2529
20/01/2021,38.2899,32.2255,32.1099,45.9527,43.2889
19/01/2021,38.0010,32.6300,32.1179,45.9600,43.2876
18/01/2021,37.0564,38.4462,31.3749,45.6321,43.1219
15/01/2021,34.2960,39.0907,31.4067,45.6321,43.2507
14/01/2021,35.9796,39.3322,31.9372,45.9786,43.3630
13/01/2021,37.5990,43.7628,33.1922,46.0794,43.4080
12/01/2021,37.3536,41.4231,34.0647,45.6973,43.3719
11/01/2021,38.0145,42.7863,34.1140,45.8500,43.5188
08/01/2021,36.1030,40.0206,33.4537,46.5706,43.4788
07/01/2021,35.1554,38.0893,32.8673,46.0856,43.1136
06/01/2021,35.4461,38.3786,33.6963,46.4990,43.0464
05/01/2021,36.1552,37.6393,38.0747,46.7250,43.0592
04/01/2021,35.3749,28.9868,35.9718,46.0303,42.3867
31/12/2020,35.9191,33.8460,39.1317,45.8991,42.4138
30/12/2020,36.0866,34.5871,39.1317,47.9132,42.4099
29/12/2020,34.7933,26.0831,38.5728,47.4312,42.4554
28/12/2020,34.9121,26.0388,42.1342,47.3761,42.5424
24/12/2020,34.4397,27.3547,41.7787,47.2307,42.4524
23/12/2020,34.7373,25.1388,41.7894,47.2034,42.4141
22/12/2020,35.2261,25.8802,43.8014,47.1235,42.5077
21/12/2020,35.6242,27.5212,54.4108,46.9594,42.4457
18/12/2020,32.9599,27.5105,54.3113,46.9281,42.4748
17/12/2020,35.0433,28.8673,54.6166,47.3591,43.1559
16/12/2020,33.5335,22.3480,53.5073,47.0070,42.6452
15/12/2020,34.2234,23.1219,53.6852,46.9292,42.7178
14/12/2020,35.7143,27.9276,54.0746,47.3728,42.7891
11/12/2020,35.2505,34.0555,55.8600,47.5154,42.8213
10/12/2020,35.5146,33.0583,56.1969,47.7302,43.0095
09/12/2020,37.2456,33.6448,56.8706,47.8076,43.0883
08/12/2020,38.4511,35.2321,57.0797,48.0194,43.8726
07/12/2020,40.2576,36.0575,56.8391,48.0659,44.3838
04/12/2020,40.3364,49.3421,56.7938,48.0333,44.3795
03/12/2020,39.1983,48.8381,56.3042,47.8551,45.1334
02/12/2020,39.8239,54.3611,56.1472,47.9972,45.0979
01/12/2020,40.5712,54.1208,56.5486,48.1473,45.1440
30/11/2020,40.4758,56.1535,56.2423,47.9053,45.1725
27/11/2020,41.4490,57.2920,54.7436,47.4673,45.3114
26/11/2020,41.7434,57.4649,55.1367,47.6932,45.4815
25/11/2020,42.3272,57.5029,57.1676,47.9490,45.4888
24/11/2020,43.0898,61.2326,56.2718,47.5075,45.4032
23/11/2020,43.4904,74.8955,56.3902,47.0446,45.9348
20/11/2020,42.1518,72.7559,54.4578,45.6313,45.0241
19/11/2020,41.1316,75.1966,54.5625,45.5059,45.2964
18/11/2020,39.5264,72.8892,52.4539,44.2734,44.6957
17/11/2020,40.6920,73.9992,55.8809,44.2676,44.9360
16/11/2020,39.1068,70.2303,54.9501,44.5713,44.6162
13/11/2020,37.7496,72.5095,52.7310,43.0642,43.7873
12/11/2020,39.5506,73.5816,52.7981,43.0773,43.7898
11/11/2020,41.9628,74.9882,52.7755,42.9871,43.9602
10/11/2020,44.5431,70.7798,50.8254,42.2157,43.2223
09/11/2020,32.5370,38.0362,38.6929,34.9069,38.8717
06/11/2020,32.4875,36.9560,38.6476,34.9413,39.0657
05/11/2020,32.2072,36.9071,39.2789,36.1911,39.0185
04/11/2020,33.0840,30.4771,38.8445,35.5323,38.7824
03/11/2020,34.2711,36.9693,38.7708,35.6851,38.8480
02/11/2020,34.9300,33.9452,38.2934,35.1155,38.7855
30/10/2020,33.6609,28.1956,37.2035,34.2747,38.4629
29/10/2020,33.5186,28.1262,37.4766,34.5246,38.4137
