正股,中國中煤能源股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,40.6214,43.5683,49.4277,41.6425,36.1061
21/01/2021,44.6421,28.1035,46.4500,39.6634,34.5216
20/01/2021,44.8764,33.4969,47.6054,39.7798,34.5157
19/01/2021,44.0881,33.0329,47.4988,39.7127,34.4626
18/01/2021,50.2442,33.7860,47.9013,39.7080,34.4614
15/01/2021,45.5064,31.3819,47.6448,39.3155,34.2865
14/01/2021,50.2714,33.6088,49.8622,39.5250,34.4347
13/01/2021,45.8148,33.6878,50.1779,39.6317,34.4376
12/01/2021,46.4029,34.4742,50.6998,39.4996,34.3774
11/01/2021,43.7282,33.6550,50.2303,39.2658,34.2265
08/01/2021,44.7071,29.6428,49.3731,38.7442,33.8089
07/01/2021,45.7047,29.4211,49.4330,38.7161,33.8149
06/01/2021,41.5173,38.7534,48.0668,38.1935,33.3508
05/01/2021,42.4072,45.7016,49.7348,38.1819,33.6834
04/01/2021,41.8151,55.4740,49.6912,38.5102,33.7313
31/12/2020,40.4829,55.2671,49.7576,38.6404,33.7025
30/12/2020,40.2101,54.1544,49.4839,38.5153,33.5501
29/12/2020,40.3647,57.7466,49.5375,38.7293,33.6733
28/12/2020,41.8662,71.0443,49.4739,38.3824,33.4507
24/12/2020,40.4271,70.5897,49.4432,38.3396,33.3256
23/12/2020,39.0398,71.2946,49.9037,38.4999,33.3362
22/12/2020,41.9019,72.7300,50.9250,38.5171,33.3362
21/12/2020,46.2685,64.7171,46.2262,35.7592,31.2866
18/12/2020,48.0370,62.2055,45.1341,35.2186,30.6446
17/12/2020,42.7311,54.8702,42.2580,33.3302,29.0679
16/12/2020,40.6398,55.6840,42.3405,33.3302,29.1024
15/12/2020,39.1195,62.5733,42.3693,33.4363,29.2482
14/12/2020,37.7843,58.8851,40.6537,32.2464,28.3310
11/12/2020,36.0641,44.9880,32.7333,27.8164,25.2739
10/12/2020,35.8270,44.5671,32.8211,27.7631,25.2481
09/12/2020,34.0297,43.4660,32.5772,27.6323,25.0381
08/12/2020,31.9388,40.9526,32.2934,27.0837,24.6625
07/12/2020,32.9414,37.1909,30.8162,26.1369,24.0550
04/12/2020,32.5839,42.9637,30.8342,26.1172,24.0716
03/12/2020,34.8580,40.9215,30.0577,25.7587,23.8750
02/12/2020,36.2660,38.7604,28.9638,25.5593,23.5379
01/12/2020,31.9946,31.3131,26.2613,23.7990,22.1845
30/11/2020,32.2469,30.4802,26.0294,23.4401,21.9331
27/11/2020,31.6965,27.1829,24.4069,22.7852,21.5898
26/11/2020,33.3909,28.5816,24.4147,22.9358,21.6805
25/11/2020,33.9383,31.7222,24.5520,22.9358,22.2382
24/11/2020,34.4120,35.5453,24.4897,22.8722,22.2464
23/11/2020,35.5355,35.5454,25.2552,23.2843,22.3936
20/11/2020,31.2483,28.9907,22.1625,22.1695,21.1206
19/11/2020,30.9463,29.1364,23.4088,22.2985,21.7404
18/11/2020,31.6591,27.7385,23.6033,22.2263,21.6761
17/11/2020,31.0471,28.0363,23.8613,22.0621,22.5209
16/11/2020,35.7393,27.0388,24.4465,22.2833,22.6359
13/11/2020,32.1908,24.9027,23.2438,21.4958,22.3432
12/11/2020,33.8472,25.0721,23.2869,21.4796,22.6527
11/11/2020,35.7327,20.6496,22.9068,21.1530,25.6643
10/11/2020,30.0349,17.1502,20.5314,19.6384,26.0663
09/11/2020,29.9499,18.3470,20.8307,19.6458,27.5914
06/11/2020,29.0847,18.3772,21.3908,19.6535,27.5540
05/11/2020,27.7773,17.0685,21.2799,19.4467,27.5339
04/11/2020,27.9982,15.1799,20.8202,19.3042,27.7009
03/11/2020,31.3949,17.0685,21.3048,19.5768,28.2574
02/11/2020,30.3911,16.1154,21.1551,19.5756,28.2046
30/10/2020,31.3418,16.0230,21.0120,19.7012,28.3737
29/10/2020,30.3820,16.9071,20.8318,19.7122,29.2166
