正股,融創中國控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,43.6354,58.8084,44.8455,39.9236,36.7705
21/01/2021,46.3001,57.1824,44.7987,40.0296,36.7083
20/01/2021,47.9229,55.0753,44.3666,40.6083,36.5730
19/01/2021,47.6017,49.1507,43.7799,40.1180,36.2924
18/01/2021,42.4004,32.4843,36.9895,35.9433,33.0743
15/01/2021,38.0538,44.1440,34.4917,34.7063,32.1143
14/01/2021,41.0357,44.7802,34.2895,34.6492,32.0843
13/01/2021,43.4168,44.8754,34.3704,34.6865,32.0823
12/01/2021,45.4228,44.1713,34.2978,34.6715,32.0909
11/01/2021,47.0428,45.5089,34.0326,34.3253,31.7351
08/01/2021,44.2735,43.0485,32.3155,33.8603,31.3682
07/01/2021,43.8564,43.8957,32.0986,33.6826,31.2480
06/01/2021,42.6210,44.0863,32.1966,33.6832,31.5627
05/01/2021,41.4317,44.6419,31.0491,33.2043,31.3654
04/01/2021,39.3868,41.6595,30.6131,32.6599,31.0307
31/12/2020,35.8329,30.6973,27.4912,30.6902,30.2291
30/12/2020,35.0513,25.8810,25.9003,30.1301,29.6921
29/12/2020,38.2152,25.9994,25.8811,30.1314,29.7669
28/12/2020,37.6007,28.9908,24.0342,29.5927,29.3240
24/12/2020,36.0870,28.3327,23.9042,29.5003,29.3007
23/12/2020,35.3625,28.4182,23.4103,30.6438,29.1086
22/12/2020,36.5693,28.2284,27.0368,32.4336,29.3122
21/12/2020,36.1545,28.2245,27.0397,32.5326,29.3306
18/12/2020,31.7723,26.2875,26.3171,32.1511,29.0486
17/12/2020,33.6151,28.8919,26.4635,32.1439,29.0598
16/12/2020,33.2156,27.6240,34.6167,32.1648,28.9781
15/12/2020,35.0831,27.7492,35.2277,32.1892,30.0095
14/12/2020,35.5593,27.3657,36.2149,32.2390,30.0098
11/12/2020,30.0568,13.9414,34.6163,31.2299,29.2843
10/12/2020,30.8762,22.0585,34.6033,31.8551,29.2905
09/12/2020,31.2671,20.8348,34.4910,31.6515,29.5232
08/12/2020,31.6782,20.9191,34.7388,31.6020,29.5178
07/12/2020,32.3784,21.0297,36.2601,31.6017,29.6074
04/12/2020,32.4597,20.0388,35.9550,31.4715,29.5889
03/12/2020,32.6110,21.1564,35.4370,31.0714,29.6170
02/12/2020,32.5114,23.6879,35.5025,31.0815,29.7446
01/12/2020,34.1167,26.0575,35.5642,31.1071,30.2070
30/11/2020,34.7034,26.1955,35.5841,31.0895,30.2815
27/11/2020,35.6849,26.1948,35.6213,31.1302,31.5608
26/11/2020,33.1049,20.0399,35.1437,30.7063,31.8303
25/11/2020,33.5641,20.9002,35.8820,31.1234,33.0857
24/11/2020,34.4449,33.2835,35.7414,31.0859,33.1993
23/11/2020,34.7956,33.1998,35.6350,31.5124,33.5470
20/11/2020,35.8507,33.3952,35.6817,31.7707,33.5432
19/11/2020,35.3450,31.1829,34.6248,31.3627,33.7505
18/11/2020,37.6366,47.2595,33.5195,31.6747,33.6785
17/11/2020,36.6439,47.6516,33.6038,31.5391,33.8511
16/11/2020,37.8410,48.5428,33.6222,31.6649,34.1911
13/11/2020,37.0252,47.7660,33.5915,31.6690,34.3067
12/11/2020,38.4702,46.5700,33.5610,31.7056,34.8725
11/11/2020,38.9345,42.5257,34.7512,31.4511,36.3805
10/11/2020,34.7209,43.1931,36.9206,30.5092,36.1226
09/11/2020,34.6943,48.7233,37.1463,30.5368,42.8760
06/11/2020,35.8071,47.5442,37.0644,30.4609,42.9743
05/11/2020,37.4795,45.8510,36.8183,30.3876,42.9582
04/11/2020,34.8711,30.7196,30.0919,26.0292,41.0974
03/11/2020,38.6111,29.6501,29.4398,27.3453,40.9389
02/11/2020,37.5744,26.2415,28.1782,26.6311,40.7312
30/10/2020,36.9690,25.6680,27.8982,26.4937,40.7568
29/10/2020,35.8447,25.7574,29.3449,26.4796,40.9133
